,Transit stations,Transit stations
Date,2020-03-29,2020-04-05
FIPS,,
13319,,
13321,,
15001,-84.0,-88.0
15003,-69.0,-73.0
15007,-83.0,-84.0
15009,-85.0,-88.0
16001,-54.0,-57.0
16005,-28.0,-29.0
16007,,
16009,,
16011,,
16013,-49.0,-59.0
16015,,
16017,,
16019,-21.0,-28.0
16021,,
16027,-15.0,-19.0
16029,,
16031,,
16035,,
16039,-25.0,-19.0
16041,,
16043,,
16045,,
16047,,
16049,,
16051,,
16053,-13.0,-4.0
16055,-18.0,-19.0
16057,,
16059,,
16063,,
16065,,
16067,-11.0,-17.0
16069,-55.0,-55.0
16071,,
16073,,
16075,,
16077,,
16079,,
16081,,
16083,,
16085,,
16087,,
17001,-30.0,-20.0
17003,,
17005,-5.0,-22.0
17007,-65.0,-59.0
17011,,
17015,,
17017,,
17019,-48.0,-41.0
17021,,
17023,-15.0,-24.0
17025,,
17027,,
17029,,
17031,-63.0,-61.0
17033,,
17035,-23.0,-27.0
17037,,
17039,,
17041,,
17045,,
17047,,
17049,-26.0,-29.0
17051,,
17053,,
17055,-34.0,-34.0
17057,,
17059,,
17061,,
17063,-22.0,-14.0
17065,,
17067,,
17071,,
17073,-35.0,-35.0
17075,-39.0,-43.0
17077,,
17079,,
17081,-10.0,-23.0
17083,,
17085,,
17087,,
17089,-46.0,-34.0
17091,-15.0,-21.0
17093,,
17095,-31.0,-28.0
17097,-58.0,-49.0
17101,,
17103,,
17105,,
17107,,
17109,,
17111,-61.0,-46.0
17113,-37.0,-38.0
17115,-20.0,-11.0
17117,,
17119,-24.0,-28.0
17121,,-38.0
17123,,
17125,,
17127,,
17129,,
17131,,
17133,,
17135,,
17137,-14.0,-35.0
17139,,
17141,,
17143,-45.0,-32.0
17145,,
17147,,
17149,,
17153,,
17155,,
17157,,
17159,,
17161,-57.0,-40.0
17163,-26.0,-34.0
17165,,
17167,-38.0,-38.0
17169,,
17173,,
17175,,
17177,,
17179,,
17181,,
17183,-31.0,-29.0
17185,,
17187,,
17189,,
17191,,
17193,,
17195,,
17197,-28.0,-25.0
17199,-16.0,-26.0
17201,-40.0,-35.0
17203,,
18001,,
18003,-44.0,-42.0
18005,-28.0,-35.0
18007,,
18009,,
18011,-19.0,-25.0
18013,,
18015,,
18017,,
18019,-14.0,-18.0
18021,-21.0,-25.0
18023,,
18025,-38.0,-35.0
18027,,
18029,,
18031,-35.0,-45.0
18033,,
18035,1.0,-18.0
18037,,
18039,-19.0,-9.0
18041,,
18043,,
18045,,
18047,,
18049,-54.0,-54.0
18051,-29.0,-38.0
18053,-13.0,-16.0
18055,,
18057,,
18059,-12.0,-15.0
18061,,
18063,-19.0,-23.0
18065,-28.0,-33.0
18067,,
18069,-46.0,-46.0
18071,-6.0,-19.0
18073,-22.0,-25.0
18075,,
18077,,
18079,,
18081,-24.0,-32.0
18083,,
18085,,
18089,-25.0,-25.0
18093,,
18095,-27.0,-28.0
18097,-49.0,-50.0
18099,-26.0,-24.0
18101,,
18103,,
18105,-40.0,-41.0
18107,-35.0,-19.0
18109,,
18111,,
18113,,
18115,,
18117,,
18119,,
18121,,
18123,,
18125,,
18127,-39.0,-39.0
18129,,
18131,,
18133,,
18135,,
18137,,
18139,,
18141,-37.0,-29.0
18143,,
18145,-43.0,-47.0
18147,,
18149,,
18151,-29.0,-32.0
18153,,
18155,,
18157,-27.0,2.0
18159,,
18161,,
18163,-53.0,-45.0
18165,-32.0,-22.0
18167,-9.0,-15.0
18169,,
18171,,
18173,,
18175,,
18177,-18.0,-27.0
18179,,
18181,-22.0,-34.0
18183,,
19001,,
19005,,
19007,,
19009,,
19011,,
19013,-14.0,-5.0
19015,,
19017,,
19019,,
19021,,
19023,,
19025,,
19027,,
19029,,
19031,14.0,8.0
19033,-44.0,-26.0
19035,,
19037,,
19039,-29.0,-38.0
19041,,
19043,,
19045,,
19047,,
19049,,
19051,,
19053,,
19055,,
19057,-32.0,-26.0
19059,,
19061,-63.0,-51.0
19063,,
19065,,
19067,-9.0,-28.0
19069,,
19071,-16.0,-28.0
19073,,
19075,,
19077,,
19079,-39.0,-39.0
19081,,
19083,,
19085,,
19087,-17.0,-29.0
19089,,
19091,,
19093,,
19095,,
19097,,
19099,5.0,-2.0
19101,,
19103,-24.0,-18.0
19105,,
19107,,
19109,,
19111,,
19113,-55.0,-50.0
19115,,
19117,,
19119,,
19121,,
19123,,
19125,,
19127,,
19129,,
19131,,
19133,,
19135,,
19137,,
19139,,
19141,,
19143,,
19145,,
19147,,
19149,,
19151,,
19153,-45.0,-45.0
19155,-4.0,-11.0
19157,-18.0,-20.0
19161,,
19163,-24.0,-26.0
19165,,
19167,,
19169,-38.0,-45.0
19171,,
19173,,
19175,,
19177,,
19179,,
19181,,
19183,,
19185,,
19187,,
19189,,
19191,,
19193,-13.0,-12.0
19195,,
19197,,
20001,,
20003,,
20005,,
20009,,
20011,,
20013,,
20015,,
20021,,
20027,,
20029,,
20031,-29.0,-26.0
20035,,
20037,,
20041,-9.0,-21.0
20043,,
20045,-26.0,-28.0
20051,-17.0,-12.0
20053,,
20055,-24.0,-51.0
20057,-8.0,-17.0
20059,-17.0,-28.0
20061,,
20067,,
20073,,
20077,,
20079,-38.0,-38.0
20085,,
20087,,
20091,-20.0,-25.0
20095,,
20099,,
20103,-43.0,-54.0
20107,,
20111,-31.0,-34.0
20113,-16.0,-26.0
20115,,
20117,,
20121,,
20123,,
20125,,
20127,,
20131,,
20133,-22.0,-54.0
20139,,
20143,,
20145,,
20149,,
20151,,
20155,-16.0,-27.0
20159,,
20161,,
20167,,
20169,-11.0,-24.0
20171,,
20173,-37.0,-44.0
20175,-11.0,-17.0
20177,13.0,12.0
20181,,
20189,,
20191,,
20193,-2.0,-7.0
20195,,
20197,,
20201,,
20205,,
20209,-5.0,-15.0
21001,,
21003,,
21005,,
21007,,
21009,,
21011,,
21013,,
21015,-54.0,-60.0
21017,,
21019,-18.0,-24.0
21021,,
21023,,
21025,,
21027,,
21029,-26.0,-29.0
21031,,
21033,,
21035,,
21037,,
21039,,
21041,,
21043,-13.0,-22.0
21045,,
21047,-17.0,-24.0
21049,,
21051,,
21053,,
21055,,
21059,,
21061,,
21065,,
21067,-46.0,-44.0
21069,,
21071,,
21073,,
21075,,
21077,-89.0,-89.0
21079,,
21081,,
21083,,
21085,,
21087,,
21089,,
21091,,
21093,-34.0,-29.0
21095,,
21097,,
21099,-15.0,-18.0
21101,,
21103,-26.0,-23.0
21107,-37.0,-41.0
21109,,
21111,-37.0,-36.0
21113,-7.0,-8.0
21115,,
21117,-2.0,-4.0
21119,,
21121,,
21123,,
21125,-22.0,-26.0
21127,,
21133,,
21135,,
21137,,
21139,,
21141,,
21143,,
21145,-15.0,-25.0
21147,,
21149,,
21151,-8.0,-24.0
21155,,
21157,-16.0,-21.0
21161,,
21163,,
21165,,
21167,,
21169,,
21171,,
21173,-8.0,-15.0
21175,,
21177,,
21179,,
21181,,
21183,-34.0,-48.0
21185,,
21187,,
21191,,
21193,,
21195,,
21197,,
21199,,
21203,,
21205,,
21207,,
21209,-25.0,-34.0
21211,-35.0,-38.0
21213,-25.0,-38.0
21215,,
21217,,
21219,,
21221,,
21223,,
21225,,
21227,-22.0,-4.0
21229,,
21231,,
21233,,
21235,-4.0,-13.0
21239,,
22001,-36.0,-46.0
22003,,
22005,,
22007,,
22009,,
22011,,
22013,,
22015,-30.0,-47.0
22017,-31.0,-45.0
22019,-38.0,-46.0
22021,,
22023,,
22025,,
22027,,
22029,,
22031,-35.0,-40.0
22033,-44.0,-46.0
22037,,
22039,,
22041,,
22043,,
22045,,
22047,-43.0,-45.0
22049,,
22051,-84.0,-88.0
22053,-47.0,-56.0
22055,-42.0,-48.0
22057,-36.0,-48.0
22059,,
22061,,
22063,-16.0,-16.0
22065,-37.0,-47.0
22067,,
22069,,
22071,-59.0,-58.0
22073,-27.0,-39.0
22075,,
22077,,
22079,-55.0,-55.0
22081,,
22083,-25.0,-29.0
22085,,
22087,,
22089,-18.0,-16.0
22091,,
22093,,
22095,-51.0,-39.0
22097,-40.0,-50.0
22099,-45.0,-40.0
22101,-43.0,-46.0
22103,-21.0,-17.0
22105,-17.0,-29.0
22109,-42.0,-39.0
22111,,
22113,,
22115,,
22117,,
22119,-19.0,-36.0
22121,-37.0,-46.0
22123,,
22125,,
22127,,
23001,,
23003,,
23005,-67.0,-67.0
23007,,
23009,,
23011,-53.0,-53.0
23013,,
23015,,
23017,,
23019,-29.0,-41.0
23021,,
23023,,
23025,,
23027,,
23029,,
23031,-64.0,-71.0
24001,-32.0,-44.0
24003,-76.0,-80.0
24005,-39.0,-33.0
24009,,
24011,,
24013,-50.0,-55.0
24015,-57.0,-58.0
24017,-28.0,-34.0
24019,,
24021,-35.0,-25.0
24023,-17.0,-29.0
24025,-62.0,-70.0
24027,-30.0,-30.0
24029,,
24031,-50.0,-53.0
24033,-50.0,-51.0
24035,,
24037,,
24039,,
24041,,
24043,-22.0,-29.0
24045,-58.0,-64.0
24047,,
25001,-67.0,-46.0
25003,-68.0,-71.0
25005,-54.0,-31.0
25007,-53.0,-58.0
25009,-60.0,-46.0
25011,-39.0,-48.0
25013,-56.0,-50.0
25015,-65.0,-47.0
25017,-73.0,-66.0
25019,,
25021,-61.0,-49.0
25023,-54.0,-29.0
25025,-79.0,-78.0
25027,-66.0,-60.0
26001,,
26003,,
26005,-36.0,-30.0
26007,,
26009,,
26011,,
26013,,
26015,,
26017,,
26019,,
26021,-37.0,-40.0
26023,,
26025,-30.0,-37.0
26027,,
26029,,
26031,,
26033,,
26035,,
26037,-54.0,-57.0
26039,,
26041,,
26043,,
26045,,
26047,,
26049,-48.0,-50.0
26051,,
26053,,
26055,-69.0,-71.0
26057,,
26059,,
26061,,
26063,,
26065,-63.0,-55.0
26067,-47.0,-42.0
26069,,
26071,,
26073,,
26075,-41.0,-43.0
26077,-56.0,-61.0
26079,,
26081,-68.0,-57.0
26085,,
26087,,
26089,,
26091,,
26093,,
26095,,
26097,,
26099,-33.0,-24.0
26101,,
26103,,
26105,,
26107,,
26109,,
26111,,
26113,,
26115,-21.0,-27.0
26117,,
26119,,
26121,,
26123,,
26125,-50.0,-47.0
26127,,
26129,,
26131,,
26133,,
26135,,
26137,,
26139,-20.0,0.0
26141,,
26143,,
26145,-61.0,-59.0
26147,-32.0,-32.0
26149,,
26151,,
26153,,
26155,,
26157,,
26159,,
26161,-49.0,-43.0
26163,-61.0,-60.0
26165,,
27001,,
27003,-45.0,-16.0
27005,,
27007,,
27009,,
27011,,
27013,,
27015,,
27017,,
27019,,
27021,,
27023,,
27025,,
27027,,
27029,,
27031,,
27033,,
27035,,
27037,-43.0,-14.0
27039,,
27041,-20.0,-22.0
27043,,
27045,,
27047,-20.0,-20.0
27049,,
27051,,
27053,-74.0,-71.0
27055,,
27057,,
27059,,
27061,,
27063,,
27065,,
27067,,
27071,,
27073,,
27075,,
27077,,
27079,,
27081,,
27083,,
27085,,
27087,,
27089,,
27091,,
27093,,
27095,,
27097,,
27099,,
27101,,
27103,,
27105,-45.0,-43.0
27107,,
27109,-57.0,-44.0
27111,,
27113,,
27115,,
27117,,
27119,,
27121,,
27123,-43.0,-24.0
27125,,
27127,,
27129,,
27131,-43.0,-27.0
27133,,
27135,,
27137,-56.0,-30.0
27139,,
27141,,
27143,,
27145,-62.0,-61.0
27147,-44.0,-51.0
27149,,
27151,,
27153,,
27157,,
27159,,
27161,,
27163,-38.0,-20.0
27165,,
27167,,
27169,-49.0,-46.0
27171,,
27173,,
28001,,
28003,,
28005,,
28007,,
28009,,
28011,,
28013,,
28015,,
28017,,
28021,,
28023,,
28025,-34.0,-44.0
28027,,
28029,,
28031,,
28035,-27.0,-20.0
28039,,
28041,,
28043,,
28045,,
28047,-41.0,-46.0
28049,-9.0,-21.0
28051,,
28053,,
28057,,
28059,-38.0,-50.0
28061,,
28065,,
