,FIPS,JHU_Orig,JHU_Z_T,JHU_Z_L,JHU_N_T,JHU_N_L,NYT_F_Orig,NYT_F_Z_T,NYT_F_Z_L,NYT_F_N_T,NYT_F_N_L,NYT_F_N_L_L,NYT_W_Orig,NYT_W_Z_T,NYT_W_Z_L,NYT_W_N_T,NYT_W_N_L
1523.0,30051.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0
1524.0,30053.0,1.0,2.0,5.0,2.0,5.0,1.0,2.0,4.0,2.0,4.0,7.0,1.0,2.0,7.0,2.0,7.0
1525.0,30057.0,1.0,2.0,5.0,2.0,5.0,1.0,2.0,4.0,2.0,4.0,7.0,1.0,2.0,7.0,2.0,7.0
1526.0,30059.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0
1527.0,30063.0,1.0,2.0,5.0,2.0,5.0,1.0,2.0,4.0,2.0,4.0,7.0,1.0,2.0,7.0,2.0,7.0
1528.0,30065.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0
1529.0,30067.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0
1530.0,30073.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0
1531.0,30081.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0
1532.0,30083.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0
1533.0,30085.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0
1534.0,30093.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0
1535.0,30095.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0
1536.0,30101.0,1.0,2.0,4.0,2.0,4.0,1.0,2.0,4.0,2.0,4.0,6.0,1.0,2.0,6.0,2.0,6.0
1537.0,30107.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0
1538.0,30111.0,1.0,2.0,6.0,2.0,6.0,1.0,2.0,4.0,2.0,4.0,6.0,1.0,2.0,7.0,2.0,7.0
1539.0,31001.0,1.0,2.0,5.0,2.0,5.0,1.0,2.0,5.0,2.0,5.0,8.0,1.0,1.0,1.0,1.0,2.0
1540.0,31003.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0
1541.0,31005.0,1.0,1.0,2.0,0.0,0.0,,,,,,,,,,,
1542.0,31011.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0
1543.0,31013.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0
1544.0,31019.0,1.0,2.0,5.0,2.0,5.0,1.0,2.0,4.0,2.0,4.0,7.0,1.0,2.0,7.0,2.0,7.0
1545.0,31021.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0
1546.0,31023.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0
1547.0,31025.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0
1548.0,31027.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0
1549.0,31031.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0
1550.0,31033.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0
1551.0,31035.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0
1552.0,31037.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,4.0,2.0,4.0,7.0,1.0,2.0,7.0,2.0,7.0
1553.0,31039.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0
1554.0,31041.0,1.0,2.0,5.0,2.0,5.0,1.0,2.0,4.0,2.0,4.0,6.0,1.0,2.0,6.0,2.0,6.0
1555.0,31043.0,1.0,2.0,5.0,2.0,5.0,1.0,2.0,5.0,2.0,5.0,9.0,1.0,1.0,1.0,1.0,2.0
1556.0,31045.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0
1557.0,31047.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,5.0,2.0,5.0,8.0,1.0,1.0,2.0,1.0,1.0
1558.0,31051.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0
1559.0,31053.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0
1560.0,31055.0,1.0,2.0,6.0,2.0,6.0,1.0,2.0,5.0,2.0,5.0,9.0,1.0,1.0,1.0,1.0,2.0
1561.0,31059.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,4.0,2.0,4.0,7.0,1.0,2.0,7.0,2.0,7.0
1562.0,31061.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0
1563.0,31063.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0
