,FIPS,stay at home,>50 gatherings,>500 gatherings,public schools,restaurant dine-in,entertainment/gym,federal guidelines,foreign travel ban,Score,TCI+,Jobs+,Trips/Week+,Routes,Transit Shed,Transit
98,4015,737515.0,737515.0,737515.0,737500.0,737504.0,,737500.0,737495.0,0.4,0.2,363,26,0,1,0
99,4017,737515.0,737515.0,737515.0,737500.0,737504.0,,737500.0,737495.0,0.1,0.0,24,2,0,0,1
100,4019,737515.0,737515.0,737515.0,737500.0,737504.0,,737500.0,737495.0,3.7,2.5,56905,885,4,20,2
101,4021,737515.0,737515.0,737515.0,737500.0,737504.0,,737500.0,737495.0,0.1,0.0,0,1,0,0,0
102,4023,737515.0,737515.0,737515.0,737500.0,737504.0,,737500.0,737495.0,0.0,0.0,0,0,0,0,0
103,4025,737515.0,737515.0,737515.0,737500.0,737504.0,,737500.0,737495.0,0.4,0.2,879,53,1,1,0
104,4027,737515.0,737515.0,737515.0,737500.0,737504.0,,737500.0,737495.0,2.0,1.1,15567,164,2,10,1
105,5001,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
106,5003,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
107,5005,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
108,5007,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.6,0.3,6197,36,1,2,0
109,5009,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
110,5011,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
111,5013,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
112,5015,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
113,5017,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,1
