,FIPS,Geographic Area Name,Total population,Male,Female,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over,Median age (years),Under 18 years,16 years and over,18 years and over,21 years and over,62 years and over,65 years and over,18 years and over.1,18 years and over!!Male,18 years and over!!Female,65 years and over.1,65 years and over!!Male,65 years and over!!Female,Total population,One race,Two or more races,One race.1,Race_1 White,Race_1 Black or African American,Margin of Error!!Race_1 Black or African American,Race_1 American Indian and Alaska Native,Race_1 American Indian and Alaska Native!!Cherokee tribal grouping,Race_1 American Indian and Alaska Native!!Chippewa tribal grouping,Race_1 American Indian and Alaska Native!!Navajo tribal grouping,Race_1 American Indian and Alaska Native!!Sioux tribal grouping,Race_1 Asian,Race_1 Asian!!Asian Indian,Race_1 Asian!!Chinese,Race_1 Asian!!Filipino,Race_1 Asian!!Japanese,Race_1 Asian!!Korean,Race_1 Asian!!Vietnamese,Race_1 Asian!!Other Asian,Race_1 Native Hawaiian and Other Pacific Islander,Race_1 Native Hawaiian and Other Pacific Islander!!Native Hawaiian,Race_1 Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro,Race_1 Native Hawaiian and Other Pacific Islander!!Samoan,Race_1 Native Hawaiian and Other Pacific Islander!!Other Pacific Islander,Race_1 Some other race,Two or more races.1,Race_2+ White and Black or African American,Race_2+ White and American Indian and Alaska Native,Race_2+ White and Asian,Race_2+ Black or African American and American Indian and Alaska Native,Race_Total Total population,Race_Total White,Race_Total Black or African American,Race_Total American Indian and Alaska Native,Race_Total Asian,Race_Total Native Hawaiian and Other Pacific Islander,Race_Total Some other race,Hispanic: Total population,Hispanic: Hispanic or Latino (of any race),Hispanic: Hispanic or Latino (of any race)!!Mexican,Hispanic: Hispanic or Latino (of any race)!!Puerto Rican,Hispanic: Hispanic or Latino (of any race)!!Cuban,Hispanic: Hispanic or Latino (of any race)!!Other Hispanic or Latino,Hispanic: Not Hispanic or Latino,Hispanic: Not Hispanic or Latino!!White alone,Hispanic: Not Hispanic or Latino!!Black or African American alone,Hispanic: Not Hispanic or Latino!!American Indian and Alaska Native alone,Hispanic: Not Hispanic or Latino!!Asian alone,Hispanic: Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Hispanic: Not Hispanic or Latino!!Some other race alone,Hispanic: Not Hispanic or Latino!!Two or more races,Hispanic: Not Hispanic or Latino!!Race_2+ Two races including Some other race,"Hispanic: Not Hispanic or Latino!!Race_2+ Two races excluding Some other race, and Three or more races",Total housing units
20,17037,"DeKalb County, Illinois",104143,50903,53240,5797,5159,7947,8932,13899,15183,11415,10949,5912,5645,7777,3988,1540,30.9,22273,83927,81870,72369,16671,13305,81870,40028,41842,13305,5649,7656,104143,100896,3247,100896,88945,8124,933,31,N,N,N,N,2767,N,N,N,N,N,N,N,0,N,N,N,N,1029,3247,1779,215,619,0,104143,92165,10105,258,3644,N,1390,104143,11921,N,N,N,N,92222,79348,8013,31,2767,0,0,2063,67,1996,41250
21,17163,"St. Clair County, Illinois",261059,126952,134107,16231,14791,19778,16214,14880,34925,33096,33438,17644,19109,23697,12563,4693,39.6,61162,206632,199897,191307,52062,40953,199897,94762,105135,40953,17572,23381,261059,253913,7146,253913,166252,78982,1648,300,N,N,N,N,3973,1563,1035,246,65,595,28,441,0,N,N,N,N,4406,7146,2911,1175,1514,155,261059,173015,83163,2328,6199,191,4495,261059,10899,7143,783,379,2594,250160,160251,78954,192,3903,0,555,6305,0,6305,120612
22,17199,"Williamson County, Illinois",67056,33990,33066,4161,4586,4013,3422,2928,8675,8398,9035,3554,5722,7234,4104,1224,40.9,14897,53869,52159,50111,15962,12562,52159,26299,25860,12562,5668,6894,67056,65665,1391,65665,60144,2656,937,386,N,N,N,N,928,N,N,N,N,N,N,N,0,N,N,N,N,1551,1391,N,N,N,N,67056,61535,3310,876,1119,N,1607,67056,1848,N,N,N,N,65208,59861,2656,386,928,0,42,1335,0,1335,31375
23,18035,"Delaware County, Indiana",114772,55362,59410,6026,6892,4751,10102,16240,13320,10916,12943,7070,6581,11005,5741,3185,35.0,21430,95928,93342,82846,24283,19931,93342,44035,49307,19931,8329,11602,114772,111804,2968,111804,101710,7989,837,110,N,N,N,N,1718,N,N,N,N,N,N,N,163,N,N,N,N,114,2968,N,N,N,N,114772,104142,9682,782,2328,470,669,114772,2942,N,N,N,N,111830,99560,7939,110,1718,163,0,2340,0,2340,52731
24,18063,"Hendricks County, Indiana",167009,83439,83570,10008,13390,10511,11424,9077,20258,25560,23549,9321,10994,13788,7245,1884,38.2,41779,130596,125230,119772,29018,22917,125230,61435,63795,22917,9830,13087,167009,163264,3745,163264,144714,11473,1656,61,N,N,N,N,5101,N,N,N,N,N,N,N,71,N,N,N,N,1844,3745,N,N,N,N,167009,147621,14201,N,6227,N,N,167009,6725,N,N,N,N,160284,138304,11473,5,5101,71,1585,3745,381,3364,63172
25,18091,"LaPorte County, Indiana",110007,58196,51811,6504,6753,6391,6217,6326,14433,13989,14285,8349,7084,11942,5791,1943,40.4,23422,89123,86585,83001,23978,19676,86585,44997,41588,19676,8822,10854,110007,106430,3577,106430,90465,12635,1114,551,N,N,N,N,69,N,N,N,N,N,N,N,0,N,N,N,N,2710,3577,N,N,N,N,110007,94016,15676,808,280,N,2804,110007,7524,N,N,N,N,102483,86740,12392,462,69,0,356,2464,0,2464,49209
26,18095,"Madison County, Indiana",129641,64211,65430,7304,7250,8796,8006,7917,16842,15393,17100,8605,8790,13697,7050,2891,40.2,28037,105105,101604,96758,29730,23638,101604,50275,51329,23638,10461,13177,129641,126917,2724,126917,113549,11218,1141,241,N,N,N,N,713,N,N,N,N,N,N,N,0,N,N,N,N,1196,2724,1916,372,24,0,129641,116197,13298,666,772,N,1515,129641,5339,3827,640,141,731,124302,109820,11056,241,696,0,127,2362,71,2291,59141
27,19061,"Dubuque County, Iowa",96854,47876,48978,7093,5373,5467,6943,6622,12606,10467,11123,7300,6419,9518,5252,2671,38.4,21527,77985,75327,70571,21476,17441,75327,37484,37843,17441,7617,9824,96854,94297,2557,94297,90011,2548,1214,312,N,N,N,N,1318,N,N,N,N,N,N,N,72,N,N,N,N,36,2557,N,N,N,N,96854,92568,4277,842,1788,N,N,96854,2438,N,N,N,N,94416,87758,2491,312,1262,0,36,2557,0,2557,41514
28,19155,"Pottawattamie County, Iowa",93533,45715,47818,5522,5786,6846,6070,5974,11004,11313,11008,6866,6700,9537,4822,2085,39.3,21687,74371,71846,67567,20698,16444,71846,34405,37441,16444,7118,9326,93533,91533,2000,91533,86911,1818,575,313,N,N,N,N,541,N,N,N,N,N,N,N,62,N,N,N,N,1888,2000,444,470,608,24,93533,88836,2286,807,1282,456,1999,93533,7339,N,N,N,N,86194,81796,1715,313,541,62,0,1767,0,1767,40007
29,20091,"Johnson County, Kansas",597555,294084,303471,37788,39684,42710,38265,34568,81708,83718,77791,38101,36698,52636,22772,11116,37.8,145641,469526,451914,434695,108288,86524,451914,219214,232700,86524,38219,48305,597555,578663,18892,578663,512258,27293,1965,1781,N,N,N,N,30094,13538,4771,662,246,1560,3974,5343,236,N,N,N,N,7001,18892,7749,3695,5173,0,597555,530353,35868,5869,35970,505,8339,597555,46433,36610,929,398,8496,551122,476155,26453,941,30014,183,323,17053,413,16640,244476
30,21117,"Kenton County, Kentucky",166051,81777,84274,11650,13188,8924,9716,10208,25071,21064,20021,11905,10276,14905,6636,2487,36.2,39370,130378,126681,120602,30243,24028,126681,61781,64900,24028,10465,13563,166051,161478,4573,161478,147814,7076,1621,385,N,N,N,N,1936,N,N,N,N,N,N,N,0,N,N,N,N,4267,4573,1801,359,828,60,166051,151956,10256,804,2764,N,4404,166051,5624,2327,354,46,2897,160427,146629,6993,385,1936,0,48,4436,0,4436,69858
31,21227,"Warren County, Kentucky",131264,64686,66578,8051,7605,9503,12145,13299,17980,15343,15486,7953,6537,10748,4963,1651,33.0,30077,104852,101187,90355,20941,17362,101187,49276,51911,17362,7905,9457,131264,125566,5698,125566,105739,9620,1834,190,N,N,N,N,6036,N,N,N,N,N,N,N,1328,N,N,N,N,2653,5698,2922,517,344,939,131264,110498,13785,2043,6380,N,3325,131264,7330,4304,47,170,2809,123934,101945,9544,190,6036,1328,15,4876,193,4683,53976
32,22055,"Lafayette Parish, Louisiana",242782,117790,124992,16857,16181,15041,16844,17005,37160,32162,29349,17165,13154,19487,8983,3394,35.4,57348,191441,185434,175183,39820,31864,185434,88835,96599,31864,13795,18069,242782,237645,5137,237645,167641,63982,1715,467,N,N,N,N,4655,N,N,N,N,N,N,N,0,N,N,N,N,900,5137,2114,1175,574,708,242782,171575,66917,2419,5593,N,1284,242782,11277,5207,503,1175,4392,231505,158553,63696,342,4655,0,35,4224,71,4153,104041
33,24017,"Charles County, Maryland",161503,77505,83998,9703,10969,10224,11161,11026,20860,20140,25704,10755,11044,12206,5389,2322,38.2,38138,128614,123365,117872,25942,19917,123365,58179,65186,19917,8720,11197,161503,153804,7699,153804,68969,77394,2075,1079,N,N,N,N,5200,N,N,N,N,N,N,N,0,N,N,N,N,1162,7699,2503,831,660,1184,161503,73638,82732,4123,7269,N,1874,161503,9754,3424,2509,126,3695,151749,62159,76768,581,5133,0,344,6764,128,6636,61244
34,24021,"Frederick County, Maryland",255648,126543,129105,15098,16857,16653,17478,15266,32605,33575,36628,17546,17122,22016,10175,4629,39.1,59288,202982,196360,187007,47602,36820,196360,96090,100270,36820,16235,20585,255648,246970,8678,246970,207110,26200,1241,304,N,N,N,N,10441,1227,4053,1024,419,933,1196,1589,260,N,N,N,N,2655,8678,2706,1273,3357,0,255648,215162,29364,1835,14278,N,3602,255648,25988,2151,3815,100,19922,229660,185575,25279,91,10365,260,385,7705,243,7462,99032
35,24033,"Prince George's County, Maryland",909308,437625,471683,59540,54858,56125,57990,61596,132468,122060,126065,64956,53025,75705,32980,11940,37.4,201928,727791,707380,666203,153042,120625,707380,335139,372241,120625,50345,70280,909308,880320,28988,880320,142297,566790,4300,2331,N,N,N,N,37029,9850,6567,10918,372,3017,2420,3885,187,N,N,N,N,131686,28988,8211,1840,4443,3041,909308,163198,586711,10591,46063,625,136400,909308,173295,26442,8224,1886,136743,736013,111468,557311,1677,36938,118,5122,23379,692,22687,333858
36,25017,"Middlesex County, Massachusetts",1614714,790337,824377,85643,88292,88462,102800,114506,251457,211815,216837,110101,98741,139129,72937,33994,38.4,318633,1335097,1296081,1230238,303846,246060,1296081,627394,668687,246060,106491,139569,1614714,1560891,53823,1560891,1226390,87875,4099,4164,N,N,N,N,198986,58526,75621,3919,4678,10842,10776,34624,1448,N,N,N,N,42028,53823,15841,3008,19991,856,1614714,1273494,110172,12049,225256,1941,50939,1614714,133371,14349,32889,3353,82780,1481343,1146805,80813,2064,198139,893,10098,42531,4683,37848,641484
37,25025,"Suffolk County, Massachusetts",807252,390462,416790,41775,35981,34328,54446,77678,188770,104403,89156,44039,39724,56509,28760,11683,32.9,133658,688543,673594,623073,118570,96952,673594,322762,350832,96952,41061,55891,807252,750027,57225,750027,443247,175761,4845,2498,N,N,N,N,71303,11263,33872,2226,1261,2702,13748,6231,165,N,N,N,N,57053,57225,36367,1733,6633,1378,807252,494056,218764,6850,80260,704,66054,807252,188744,10820,39551,3297,135076,618508,359296,160450,1708,69917,165,6092,20880,3358,17522,342069
38,26045,"Eaton County, Michigan",109826,54390,55436,5539,6001,6990,6680,6798,13962,13824,13779,7032,8941,12199,6171,1910,40.8,22484,90077,87342,83444,25456,20280,87342,42663,44679,20280,9261,11019,109826,106977,2849,106977,95241,7054,877,509,N,N,N,N,2826,755,426,31,68,248,805,493,0,N,N,N,N,1347,2849,1654,689,288,0,109826,97935,8926,1261,3225,N,1454,109826,6019,5080,419,0,520,103807,90926,7054,509,2826,0,0,2492,0,2492,47669
39,26055,"Grand Traverse County, Michigan",92573,46141,46432,4617,4719,6282,5290,4531,11662,10943,11873,7408,6870,11168,4526,2684,42.6,18916,75878,73657,70560,22595,18378,73657,35975,37682,18378,8362,10016,92573,90402,2171,90402,87687,740,286,802,N,N,N,N,508,N,N,N,N,N,N,N,118,N,N,N,N,547,2171,423,1033,303,0,92573,89753,1163,1835,1048,496,581,92573,2723,N,N,N,N,89850,85700,740,802,508,118,102,1880,34,1846,44513
40,26075,"Jackson County, Michigan",158823,81049,77774,8921,7963,10458,10689,9664,20188,18573,21102,11699,11019,16937,8341,3269,41.5,33802,129716,125021,118057,34742,28547,125021,63777,61244,28547,13125,15422,158823,153822,5001,153822,138207,12464,1234,418,N,N,N,N,1421,N,N,N,N,N,N,N,86,N,N,N,N,1226,5001,2918,1056,441,22,158823,142999,15534,1568,1932,N,1432,158823,5726,3790,389,170,1377,153097,134204,12464,386,1421,86,208,4328,80,4248,69696
