,FIPS,Pop,Density,Area,UrbanRural,EconType,Policies,Movement,Transit,65+,Male,AfricanAmer,CollegePlus,Income,Unemployed,Dems,Hospitals,ICUBeds,HeartDiseaseMort,StrokeMort,Diabetes,Smokers,pLon,pLat
1848,36041,13.175605,0.005599999999999999,0.45194999999999996,20.0,33.333333333333336,17.5,0.5,0.7934870110000001,0.001478194302658162,30.042011457670274,0.0005312652668816163,28.6,31.536499999999997,13.0,24.328666513656188,0.001264964050354171,0.0,30.633333333333333,28.4,8.459999999999999,13.488817693500001,-743.85121,436.12034
1849,36043,0.134225,0.09140000000000001,0.36449000000000004,20.0,33.333333333333336,2.0,-0.3,0.12011222049999999,0.1634064467606341,29.91,0.09839702583244146,29.8,28.347,15.333333333333332,28.47623142120133,0.12416961569503943,0.0,28.849999999999998,32.1,7.739999999999999,14.595249349800001,-749.9503399999998,430.70536
1850,36045,0.321865,0.1832,0.46430499999999997,20.0,26.666666666666664,29.5,-1.35,1.0544507855,0.06407450672903453,31.50617427097223,0.054608954598609,29.1,27.956500000000002,13.666666666666664,33.03757828810021,0.0,0.0,25.71666666666667,31.6,9.9,14.2509103911,-758.9664,440.19125
1851,36047,0.3588,70.7384,0.02423,6.666666666666666,20.0,49.5,-1.9,0.184045713,0.05113055968168578,29.87006782231177,0.14063343347562907,32.6,30.558999999999997,14.000000000000002,23.869959600579314,0.13935340022296544,0.11148272017837235,32.233333333333334,31.8,9.9,13.857807772800001,-739.5481099999997,406.50523
1852,36049,3.7434000000000003,0.0426,0.32249,6.666666666666666,0.0,11.0,-2.1,3.9391515905000003,0.005327423825381984,29.552075651410323,0.005937609140773618,20.0,47.2605,13.0,34.82902000088614,0.044522804580506135,0.37532724261366673,30.300000000000004,25.300000000000004,6.120000000000001,11.3629333203,-754.49321,437.89217
1853,36051,0.2475,0.207,0.160065,40.0,26.666666666666664,12.5,-3.0,0.3671896295,0.07849495144745887,30.850102669404514,0.1747574410344293,32.4,28.8545,15.333333333333332,33.07484473139408,0.13468013468013468,0.202020202020202,31.75,29.4,8.82,14.5296677556,-777.642,427.66357999999997
1854,36053,6.815345000000001,0.22440000000000002,0.16531999999999997,6.666666666666666,33.333333333333336,16.5,-2.8500000000000005,0.0,0.0027686709578098514,29.801144551031324,0.005607907569544003,27.800000000000004,25.5445,12.666666666666666,27.155296834407775,0.0,0.0,29.25,31.200000000000003,9.18,14.0934649698,-757.1738600000001,429.84470999999996
1855,36055,8.269385,2.2651999999999997,0.3416825,20.0,0.0,0.5,7.95,0.23744286399999998,0.0024183631189597737,29.50306291864659,0.0009551080787802064,34.0,25.240000000000002,12.333333333333334,55.18835485596394,0.0020154662851792084,0.009674238168860198,24.699999999999996,32.5,4.86,12.734256231899995,-776.1998800000001,431.61503000000005
1856,36057,1.063375,0.24919999999999998,0.10259000000000001,13.333333333333332,20.0,4.5,3.3,0.08548910200000001,0.020340687595657405,29.725945701912302,0.008680892591696262,28.3,24.569000000000003,10.666666666666666,41.48862785289133,0.04702010109321735,0.11755025273304338,30.4,28.4,6.120000000000001,14.149557138600002,-743.4308799999999,429.33549
1857,36059,1.16162,9.409600000000001,0.1133075,60.0,33.333333333333336,0.0,7.9,0.0,0.017868700402812878,29.433769292753983,0.02513160310545702,30.5,19.8675,15.0,34.041501976284586,0.014347778676905242,0.10330400647371772,25.55,28.3,6.21,12.794420787300002,-736.02242,407.16587
1858,36061,2.338345,138.93679999999998,0.0083975,40.0,26.666666666666664,1.5,0.2,0.0,0.008795027745200763,31.05452775073028,0.013566201605241262,29.5,19.011499999999998,15.0,30.04888145147085,0.0,0.0,27.483333333333334,30.8,9.27,13.819428381599998,-739.6630299999999,407.77958
1859,36063,0.547455,0.8288,0.28491750000000005,46.66666666666667,33.333333333333336,0.0,8.4,0.0,0.03780555536102315,29.764420425719646,0.01856036044959337,32.9,20.932,12.0,27.41907036062193,0.030443902542979177,0.07306536610315002,25.616666666666667,32.1,9.0,14.483170012500004,-788.52109,431.34704
1860,36065,1.89087,0.38739999999999997,0.31441500000000006,53.33333333333333,33.333333333333336,7.0,2.45,0.0,0.01138729940372155,29.070659958132868,0.005671064307549505,32.0,20.850499999999997,12.0,50.64639601745826,0.07932856304240905,0.4733270928197073,24.46666666666667,23.2,5.760000000000001,10.234391418,-753.5910600000002,431.47454000000005
1861,36067,0.20792000000000002,1.2,0.201405,40.0,20.0,47.0,2.25,0.0,0.11043027072475238,32.581927740597145,0.014944299014049336,34.6,23.2055,15.333333333333332,17.912639177780495,0.08015903552648454,0.12023855328972682,30.06666666666667,36.0,9.629999999999999,14.3081215767,-761.6744200000003,430.67188
