,FIPS,Hospitals,ICUBeds,HeartDiseaseMort,StrokeMort,Diabetes,Smokers
75,2100,0.0,0.0,25.383333333333336,32.1,10.170000000000002,12.842954867700001
76,2105,3.1065548306927617,1.3979496738117427,30.45,31.4,8.55,13.968909181800003
77,2110,3.4942755544593123,30.955170500092496,21.71666666666667,29.0,7.379999999999999,12.3177584259
78,2122,0.23003973936497532,1.3802384361898516,38.483333333333334,35.6,9.09,17.4175587333
79,2130,0.9700497150478962,0.8730447435431066,24.483333333333334,27.6,12.240000000000002,18.5507805258
80,2150,2.1781746896101066,21.491323604153052,23.333333333333336,30.1,6.480000000000001,13.424815069200001
81,2164,10.248526774276199,16.910069177555727,20.766666666666666,24.9,10.170000000000002,14.6470261482
82,2170,0.032959245892453984,0.0,22.666666666666664,30.8,5.85,13.1143043358
83,2180,0.6755159252879388,3.9517681629344414,23.71666666666667,30.1,6.480000000000001,15.358797063899999
84,2185,0.34163506542311506,4.3046018243312485,20.616666666666667,29.3,11.61,11.994332264999999
85,2188,0.8641175199827177,0.0,38.666666666666664,49.7,15.57,18.074907359999997
86,2195,1.0178117048346056,1.83206106870229,40.03333333333333,56.89999999999999,11.34,18.406860234299998
87,2198,1.0299191513466193,2.626293835933879,30.45,40.9,11.790000000000001,14.618534295600005
88,2220,1.135073779795687,3.40522133938706,26.349999999999998,40.7,7.739999999999999,14.861841047100002
89,2230,3.2113037893384715,23.12138728323699,43.26666666666667,39.0,10.979999999999999,17.9126949789
90,2240,0.4838631634973629,0.0,44.21666666666667,57.0,12.600000000000001,19.590867423
91,2261,0.0,0.0,39.0,54.1,13.139999999999999,18.5623700904
92,2270,0.975718465413415,0.0,34.38333333333333,39.2,5.67,16.5354602814
93,2275,1.3468013468013469,0.0,43.8,55.0,6.93,20.7930685671
94,2282,4.887585532746822,0.0,41.06666666666666,52.400000000000006,12.600000000000001,17.405526339
95,2290,0.6112843083318051,0.0,40.05,54.900000000000006,11.61,18.2998718811
96,4001,0.0465536344422409,0.0,30.233333333333334,47.2,7.5600000000000005,15.6684582468
97,4003,0.0,0.0,46.06666666666666,52.8,13.139999999999999,17.134703807399998
98,4005,0.024043258630928765,0.04327786553567178,37.333333333333336,63.10000000000001,13.41,18.428782448699998
99,4007,0.0627214852447706,0.0,37.38333333333334,54.2,14.670000000000002,17.100840437100004
100,4009,0.1768346595932803,1.750663129973475,38.800000000000004,44.39999999999999,12.240000000000002,18.6866287542
101,4011,0.3558212354113293,0.8539709649871905,37.849999999999994,39.0,11.880000000000003,17.103759426899998
102,4012,0.16278426201754814,0.0,35.949999999999996,48.8,16.740000000000002,20.9802042018
103,4013,0.0008021495683272206,0.0,39.983333333333334,49.7,13.320000000000004,18.439208469
104,4015,0.016284708821263923,0.0,39.85,52.599999999999994,5.13,17.290715511600006
105,4017,0.06178445873724923,0.0,60.75,53.8,10.350000000000001,21.826663614000005
106,4019,0.0033093176153983868,0.004963976423097581,44.2,48.9,16.2,18.7485297984
107,4021,0.016439108309887054,0.06164665616207646,30.949999999999996,50.5,8.82,18.4815137916
108,4023,0.07190416612738543,0.0,38.75,44.39999999999999,9.99,19.0351655577
109,4025,0.015084867464354456,0.0,34.766666666666666,41.1,9.36,18.0109035675
110,4027,0.048952178616709335,0.20070393232850828,37.199999999999996,48.7,11.520000000000001,17.474260244399996
111,5001,0.0,0.0,32.516666666666666,47.2,13.23,16.4000212407
112,5003,0.16048015662863288,0.3851523759087189,36.83333333333333,49.1,11.880000000000003,17.6599950975
113,5005,0.08111681632719278,0.19468035918526272,40.550000000000004,59.2,14.759999999999998,19.9589923629
114,5007,0.013236810511086489,0.023826258919955684,38.016666666666666,50.7,14.13,18.3001741623
115,5009,0.08957683901250492,0.0,40.38333333333333,50.2,9.81,19.670044451400003
116,5011,0.3031956824934813,1.0915044569765326,44.81666666666666,40.099999999999994,11.07,17.8849899036
117,5013,0.0,0.0,35.93333333333333,36.3,8.91,17.6949803655
118,5015,0.0,0.0,41.733333333333334,44.900000000000006,20.52,19.888311917700005
119,5017,0.3028100775193798,3.0886627906976742,49.73333333333333,47.3,12.600000000000001,19.1986406694
120,5019,0.14818107727643182,0.3556345854634363,36.93333333333334,40.4,10.350000000000001,18.6772187169
121,5021,0.0,0.0,38.61666666666666,52.400000000000006,23.94,18.1309356486
122,5023,0.13143540606968704,0.0,39.0,42.599999999999994,6.749999999999999,17.455177638
123,5025,0.0,0.0,44.0,50.3,13.41,22.2932061135
124,5027,0.0,0.0,47.95,52.3,13.499999999999998,20.2206786219
125,5029,0.1590786166523496,0.0,41.63333333333333,48.6,16.740000000000002,18.958272456600003
126,5031,0.06395129469396107,0.0,38.833333333333336,44.6,14.219999999999999,18.3595105656
127,5033,0.0,0.0,34.56666666666666,47.9,10.89,16.7273754444
128,5035,0.0,0.0,45.78333333333333,33.8,9.09,18.7324814826
129,5037,0.0,0.0,31.65,41.1,11.880000000000003,17.929809548999998
130,5039,0.0,0.0,37.35,62.400000000000006,9.719999999999999,19.330846375500002
131,5041,0.5512375282509233,0.4134281461881925,46.71666666666667,50.8,14.49,21.280241226599998
132,5043,0.0,0.0,42.266666666666666,52.0,12.779999999999998,20.0164151034
