,FIPS,Pop,Density,Area,UrbanRural,EconType,Policies,Movement,Transit
109,4025,1.10486,0.052,2.0319849999999997,26.666666666666664,20.0,0.0,3.15,0.0
110,4027,1.021405,0.07100000000000001,1.3797774999999999,40.0,0.0,0.0,-5.1,0.4436665935
111,5001,0.09176000000000001,0.0384,0.2584375,40.0,0.0,0.0,2.05,0.39255380399999995
112,5003,0.103855,0.047200000000000006,0.2351325,40.0,20.0,0.0,-1.5,0.0
113,5005,0.20546499999999998,0.14980000000000002,0.14667750000000002,46.66666666666667,20.0,0.0,3.2,0.0
114,5007,1.259115,0.5224,0.2209775,60.0,26.666666666666664,1.0,-0.3,0.0
115,5009,0.18606,0.125,0.15045750000000002,40.0,26.666666666666664,0.0,-7.0,0.0
116,5011,0.054970000000000005,0.0354,0.16323000000000001,20.0,26.666666666666664,0.0,-8.55,0.0
117,5013,0.02597,0.016999999999999998,0.15810249999999998,46.66666666666667,20.0,0.0,2.7,0.0
118,5015,0.13891,0.0872,0.15969999999999998,53.33333333333333,0.0,0.0,-8.95,0.0
119,5017,0.055040000000000006,0.0366,0.1726975,40.0,0.0,0.0,-2.8500000000000005,0.3444522075
120,5019,0.112475,0.0532,0.2207075,46.66666666666667,6.666666666666666,7.0,-6.950000000000001,0.0
121,5021,0.07595,0.0504,0.16036,20.0,26.666666666666664,0.0,-1.5,0.0
122,5023,0.126805,0.0938,0.14798,20.0,20.0,7.0,-2.2,0.0
123,5025,0.04166,0.028999999999999998,0.1496875,40.0,0.0,0.0,0.05,0.0
124,5027,0.11996,0.06420000000000001,0.19168749999999998,13.333333333333332,0.0,0.0,3.5999999999999996,0.0
125,5029,0.10477,0.077,0.1416675,13.333333333333332,20.0,0.0,0.95,0.0
126,5031,0.5212300000000001,0.27280000000000004,0.17816749999999998,60.0,20.0,0.0,11.099999999999998,0.0
127,5033,0.310595,0.20880000000000004,0.15106,20.0,0.0,0.0,-4.45,1.093377257
128,5035,0.24639,0.16699999999999998,0.159095,26.666666666666664,20.0,0.0,-10.95,0.0
129,5037,0.08582,0.057999999999999996,0.15557749999999998,46.66666666666667,0.0,0.0,-8.55,0.0
130,5039,0.037925,0.024399999999999998,0.1670275,53.33333333333333,33.333333333333336,4.5,4.5,0.0
131,5041,0.06047,0.0338,0.2048825,46.66666666666667,20.0,0.0,-0.2,0.0
132,5043,0.0931,0.0446,0.20891500000000002,60.0,6.666666666666666,0.0,-0.05,0.0
133,5045,0.60641,0.3496,0.1660175,46.66666666666667,26.666666666666664,1.5,-2.3,0.0
134,5047,0.089015,0.0596,0.15491,13.333333333333332,0.0,1.5,1.9,0.0
135,5049,0.06046,0.039599999999999996,0.1550825,40.0,0.0,0.0,-15.150000000000002,0.0
136,5051,0.48997,0.2834,0.183655,60.0,0.0,0.0,-1.2,0.0
137,5053,0.09037999999999999,0.0566,0.15823249999999997,20.0,0.0,0.0,-2.9,0.0
138,5055,0.220985,0.1458,0.14489,46.66666666666667,0.0,0.0,-1.65,0.0
139,5057,0.11077000000000001,0.062200000000000005,0.185295,33.333333333333336,0.0,0.0,1.05,0.0
140,5059,0.16740000000000002,0.107,0.15554249999999997,53.33333333333333,6.666666666666666,0.0,-8.75,0.0
141,5061,0.06736,0.0468,0.14882749999999997,13.333333333333332,26.666666666666664,0.0,-2.9,0.1297904425
142,5063,0.18548499999999998,0.09599999999999999,0.19288,46.66666666666667,0.0,1.5,9.4,0.0
143,5065,0.067605,0.047200000000000006,0.146005,40.0,26.666666666666664,0.0,-9.6,0.0
144,5067,0.087145,0.05679999999999999,0.160375,13.333333333333332,0.0,0.0,6.15,0.0
145,5069,0.35686500000000004,0.1778,0.228445,40.0,20.0,0.0,-2.15,0.0
146,5071,0.130775,0.0774,0.170685,60.0,0.0,0.0,1.9,0.0
147,5073,0.035255,0.028999999999999998,0.13627,13.333333333333332,20.0,0.0,-2.05,0.8907419295000001
148,5075,0.083885,0.0592,0.148085,40.0,20.0,0.0,-4.05,0.0
149,5077,0.048069999999999995,0.0346,0.15487499999999998,46.66666666666667,0.0,0.0,6.5,0.0
150,5079,0.069425,0.0504,0.143045,60.0,0.0,7.0,-0.5,0.0
151,5081,0.06247,0.0494,0.1411925,46.66666666666667,13.333333333333332,0.0,-2.9,0.0
152,5083,0.10901,0.0632,0.18289,53.33333333333333,0.0,0.0,5.5,0.0
153,5085,0.35784000000000005,0.17740000000000003,0.20071000000000003,13.333333333333332,0.0,0.0,5.25,1.5517372134999998
154,5087,0.07953500000000001,0.0376,0.20927,26.666666666666664,0.0,0.0,-1.9,0.0
155,5089,0.08187,0.0558,0.16008,60.0,0.0,0.0,-7.199999999999999,0.0
156,5091,0.2188,0.13899999999999998,0.1594125,40.0,20.0,0.0,-1.3,0.0
157,5093,0.21767000000000003,0.10320000000000001,0.22995249999999998,6.666666666666666,0.0,0.0,0.2,0.35547226649999997
158,5095,0.0371,0.0268,0.155325,53.33333333333333,33.333333333333336,0.0,-10.35,0.0342936805
159,5097,0.045294999999999995,0.024399999999999998,0.20007250000000001,40.0,26.666666666666664,0.0,12.3,0.445559746
160,5099,0.042640000000000004,0.029199999999999997,0.15516,20.0,0.0,0.0,4.25,1.6587168769999998
161,5101,0.039490000000000004,0.020200000000000003,0.20579750000000002,40.0,33.333333333333336,0.0,1.3,0.3497194565
162,5103,0.12189,0.0712,0.1849375,40.0,6.666666666666666,0.0,-5.65,0.0
163,5105,0.05159999999999999,0.03779999999999999,0.1401325,6.666666666666666,0.0,0.0,0.8,2.6234564165000003
164,5107,0.09759000000000001,0.0626,0.18183500000000002,46.66666666666667,26.666666666666664,11.5,6.65,1.4688767155
