FIPS,Score,TCI+,Jobs+,Trips/Week+,Routes,Transit Shed,Transit
12111,0.9,0.4,3188,58,1,2,0
12113,0.0,0.0,389,2,0,0,0
12115,3.4,2.1,35250,480,3,20,0
12117,2.5,2.0,32162,322,1,9,0
12119,0.0,0.0,0,0,0,0,0
12121,0.0,0.0,0,0,0,0,0
12123,0.0,0.0,0,0,0,0,0
12125,0.0,0.0,0,0,0,0,1
12127,2.9,1.7,20252,423,3,14,1
12129,0.0,0.0,0,0,0,0,0
12131,0.1,0.0,47,5,0,0,0
12133,0.0,0.0,0,0,0,0,0
13001,0.0,0.0,0,0,0,0,0
13003,0.0,0.0,0,0,0,0,0
13005,0.0,0.0,0,0,0,0,1
13007,0.0,0.0,0,0,0,0,0
13009,0.0,0.0,0,0,0,0,0
13011,0.0,0.0,0,0,0,0,0
13013,0.0,0.0,0,0,0,0,0
13015,0.0,0.0,3960,4,0,0,0
13017,0.0,0.0,0,0,0,0,0
13019,0.0,0.0,0,0,0,0,0
13021,2.1,1.1,30609,158,2,18,1
13023,0.0,0.0,0,0,0,0,0
13025,0.0,0.0,0,0,0,0,1
13027,0.0,0.0,0,0,0,0,0
13029,0.0,0.0,0,0,0,0,0
13031,0.0,0.0,0,0,0,0,1
13033,0.0,0.0,0,0,0,0,0
13035,0.0,0.0,0,0,0,0,0
13037,0.0,0.0,0,0,0,0,0
13039,0.0,0.0,0,0,0,0,0
13043,0.0,0.0,0,0,0,0,0
13045,0.0,0.0,0,0,0,0,0
13047,0.0,0.0,0,0,0,0,0
13049,0.0,0.0,0,0,0,0,0
13051,3.3,2.0,36749,471,3,16,2
13053,0.0,0.0,0,0,0,0,0
13055,0.0,0.0,0,0,0,0,0
13057,0.3,0.1,6360,16,0,1,0
13059,3.7,2.5,34713,1432,8,14,4
13061,0.0,0.0,0,0,0,0,0
13063,3.4,1.9,60814,556,2,18,2
13065,0.0,0.0,0,0,0,0,0
13067,1.8,0.7,38884,298,1,8,1
13069,0.0,0.0,0,0,0,0,0
13071,0.0,0.0,0,0,0,0,1
13073,0.1,0.0,324,3,0,0,0
13075,0.0,0.0,0,0,0,0,0
13077,0.0,0.0,788,5,0,0,0
13079,0.0,0.0,0,0,0,0,0
13081,0.0,0.0,0,0,0,0,0
13083,0.0,0.0,0,0,0,0,0
13085,0.0,0.0,0,0,0,0,0
13087,0.0,0.0,0,0,0,0,0
13089,5.7,5.0,109867,1416,4,29,8
13091,0.0,0.0,0,0,0,0,0
13093,0.0,0.0,0,0,0,0,0
13095,2.2,1.2,19415,191,3,11,2
13097,0.4,0.1,32237,67,1,2,0
13099,0.0,0.0,0,0,0,0,0
13101,0.0,0.0,0,0,0,0,0
13103,0.0,0.0,0,0,0,0,0
13105,0.0,0.0,0,0,0,0,0
13107,0.0,0.0,0,0,0,0,1
13109,0.0,0.0,0,0,0,0,0
13111,0.0,0.0,0,0,0,0,0
13113,0.1,0.0,2855,29,0,1,0
13115,0.0,0.0,0,0,0,0,0
13117,0.1,0.0,1090,7,0,0,0
13119,0.0,0.0,0,0,0,0,0
13121,5.6,6.4,171216,2329,8,26,8
13123,0.0,0.0,0,0,0,0,0
13125,0.0,0.0,0,0,0,0,0
13127,0.0,0.0,0,0,0,0,0
13129,0.0,0.0,0,0,0,0,0
13131,0.0,0.0,0,0,0,0,0
13133,0.0,0.0,0,0,0,0,0
13135,1.3,0.5,33970,160,1,7,1
13137,0.0,0.0,0,0,0,0,0
13139,0.8,0.4,10155,49,1,3,0
13141,0.0,0.0,0,0,0,0,1
13143,0.0,0.0,0,0,0,0,0
13145,0.0,0.0,0,0,0,0,0
13147,0.0,0.0,0,0,0,0,0
13149,0.0,0.0,0,0,0,0,0
13151,0.2,0.0,17286,27,0,1,1
13153,0.0,0.0,75,1,0,0,0
13155,0.0,0.0,0,0,0,0,0
13157,0.0,0.0,0,0,0,0,0
13159,0.0,0.0,0,0,0,0,0
13161,0.0,0.0,0,0,0,0,0
13163,0.0,0.0,0,0,0,0,0
13165,0.0,0.0,0,0,0,0,0
13167,0.0,0.0,0,0,0,0,0
13169,0.3,0.1,9284,31,1,5,0
13171,0.0,0.0,0,0,0,0,0
13173,0.0,0.0,0,0,0,0,0
13175,0.0,0.0,0,0,0,0,0
13177,0.0,0.0,629,4,0,0,0
13179,0.0,0.0,0,0,0,0,0
13181,0.0,0.0,0,0,0,0,0
13183,0.0,0.0,0,0,0,0,0
13185,0.0,0.0,0,0,0,0,0
13187,0.0,0.0,0,0,0,0,0
13189,0.0,0.0,0,0,0,0,0
13191,0.0,0.0,0,0,0,0,0
13193,0.0,0.0,0,0,0,0,0
13195,0.0,0.0,0,0,0,0,0
13197,0.0,0.0,0,0,0,0,1
13199,0.0,0.0,0,0,0,0,0
13201,0.0,0.0,0,0,0,0,1
13205,0.0,0.0,0,0,0,0,0
13207,0.1,0.0,684,13,0,0,0
13209,0.0,0.0,0,0,0,0,0
13211,0.0,0.0,0,0,0,0,0
13213,0.0,0.0,0,0,0,0,0
13215,2.2,1.2,28692,160,2,14,1
13217,0.0,0.0,0,0,0,0,0
13219,0.1,0.0,766,21,0,1,0
13221,0.0,0.0,0,0,0,0,0
13223,0.1,0.0,545,13,0,0,0
13225,0.0,0.0,0,0,0,0,1
13227,0.0,0.0,0,0,0,0,0
13229,0.0,0.0,0,0,0,0,0
13231,0.0,0.0,0,0,0,0,0
13233,0.0,0.0,0,0,0,0,0
13235,0.0,0.0,0,0,0,0,0
13237,0.0,0.0,0,0,0,0,0
13239,0.0,0.0,0,0,0,0,0
13241,0.0,0.0,0,0,0,0,0
13243,0.0,0.0,0,0,0,0,0
13245,1.9,1.0,18191,162,1,6,1
13247,0.2,0.0,11078,23,1,1,1
13249,0.0,0.0,0,0,0,0,0
13251,0.0,0.0,0,0,0,0,0
13253,0.0,0.0,0,0,0,0,0
13255,0.0,0.0,0,0,0,0,0
13257,0.2,0.1,0,2,0,0,0
13259,0.0,0.0,0,0,0,0,0
13261,0.0,0.0,0,0,0,0,0
13263,0.0,0.0,0,0,0,0,0
13265,0.0,0.0,0,0,0,0,0
13267,0.0,0.0,0,0,0,0,0
13269,0.0,0.0,0,0,0,0,0
13271,0.0,0.0,0,0,0,0,0
13273,0.0,0.0,0,0,0,0,0
13275,0.0,0.0,0,0,0,0,0
13277,0.0,0.0,0,0,0,0,0
13279,0.0,0.0,0,0,0,0,0
13281,0.0,0.0,0,0,0,0,0
13283,0.0,0.0,0,0,0,0,0
13285,0.0,0.0,0,0,0,0,0
13287,0.0,0.0,0,0,0,0,0
13289,0.0,0.0,0,0,0,0,1
13291,0.0,0.0,0,0,0,0,0
13293,0.0,0.0,0,0,0,0,0
13295,0.1,0.0,1372,17,0,0,0
13297,0.0,0.0,0,0,0,0,0
13299,0.0,0.0,0,0,0,0,1
13301,0.0,0.0,0,0,0,0,0
13303,0.0,0.0,0,0,0,0,0
13305,0.2,0.1,0,2,0,0,0
13307,0.0,0.0,0,0,0,0,0
13309,0.0,0.0,0,0,0,0,0
13311,0.0,0.0,0,0,0,0,0
13313,0.0,0.0,0,0,0,0,0
13315,0.0,0.0,0,0,0,0,0
13317,0.0,0.0,0,0,0,0,0
13319,0.0,0.0,0,0,0,0,0
13321,0.0,0.0,0,0,0,0,0
15001,1.0,0.4,2819,119,2,2,1
15003,6.4,5.9,146342,2575,11,26,8
15005,0.0,0.0,0,0,0,0,0
15007,0.0,0.0,0,0,0,0,0
15009,2.1,1.1,5950,230,2,3,2
16001,2.2,1.2,46228,280,3,10,0
16003,0.0,0.0,0,0,0,0,0
16005,2.7,1.5,19134,347,4,11,1
16007,0.0,0.0,0,0,0,0,0
16009,0.2,0.0,223,37,0,1,0
16011,0.1,0.0,231,2,0,0,2
16013,1.8,0.8,7978,341,4,9,1
16015,0.0,0.0,0,0,0,0,0
16017,0.2,0.1,0,2,0,0,0
16019,1.7,0.8,13047,175,2,4,3
16021,0.0,0.0,0,0,0,0,0
16023,0.0,0.0,0,0,0,0,1
16025,0.0,0.0,0,0,0,0,0
16027,1.2,0.5,13859,124,2,4,0
16029,0.0,0.0,0,0,0,0,0
16031,0.0,0.0,0,0,0,0,0
16033,0.0,0.0,0,0,0,0,0
16035,0.0,0.0,0,0,0,0,0
16037,0.0,0.0,0,0,0,0,1
16039,0.0,0.0,0,0,0,0,0
16041,0.3,0.1,1697,12,0,1,0
16043,0.0,0.0,0,0,0,0,1
16045,0.0,0.0,0,0,0,0,0
16047,0.0,0.0,0,0,0,0,0
16049,0.0,0.0,0,0,0,0,0
16051,0.0,0.0,0,0,0,0,2
16053,0.0,0.0,0,0,0,0,0
16055,1.1,0.5,8579,77,1,3,0
16057,0.0,0.0,0,0,0,0,0
16059,0.0,0.0,0,0,0,0,0
16061,0.0,0.0,0,0,0,0,0
16063,0.0,0.0,0,0,0,0,1
16065,0.0,0.0,0,0,0,0,0
16067,0.0,0.0,0,0,0,0,0
16069,1.0,0.0,3777,7,0,1,0
16071,0.0,0.0,0,0,0,0,0
16073,0.0,0.0,0,0,0,0,0
16075,0.2,0.1,1143,34,1,0,0
16077,0.0,0.0,0,0,0,0,0
16079,0.0,0.0,0,0,0,0,0
16081,0.0,0.0,0,0,0,0,1
16083,0.0,0.0,0,0,0,0,0
16085,0.0,0.0,0,0,0,0,0
16087,0.0,0.0,0,0,0,0,0
17001,1.3,0.7,5599,109,2,2,0
17003,0.0,0.0,0,0,0,0,0
17005,0.0,0.0,0,0,0,0,0
17007,0.0,0.0,0,0,0,0,0
17009,0.0,0.0,0,0,0,0,0
17011,0.3,0.2,217,8,0,0,0
17013,0.0,0.0,0,0,0,0,1
17015,0.0,0.0,0,0,0,0,0
17017,0.0,0.0,0,0,0,0,0
17019,5.4,5.3,46147,3720,11,19,6
17021,0.0,0.0,0,0,0,0,0
17023,0.0,0.0,0,0,0,0,0
17025,0.0,0.0,0,0,0,0,1
17027,0.1,0.1,236,2,0,0,1
17029,0.3,0.2,57,5,0,0,0
17031,7.3,12.5,352561,3722,7,42,19
17033,0.0,0.0,0,0,0,0,0
17035,0.0,0.0,0,0,0,0,0
17037,1.7,1.1,4848,337,2,2,2
17039,0.0,0.0,0,0,0,0,0
17041,0.0,0.0,0,0,0,0,0
17043,3.4,2.3,71087,235,3,19,7
17045,0.0,0.0,0,0,0,0,0
17047,0.0,0.0,0,0,0,0,0
17049,0.4,0.3,140,4,0,0,0
17051,0.0,0.0,0,0,0,0,1
17053,0.0,0.0,0,0,0,0,0
17055,0.0,0.0,0,0,0,0,0
17057,0.0,0.0,0,0,0,0,0
17059,0.0,0.0,0,0,0,0,0
17061,0.0,0.0,0,0,0,0,0
17063,0.0,0.0,0,0,0,0,0
17065,0.0,0.0,0,0,0,0,2
17067,0.0,0.0,0,0,0,0,0
17069,0.0,0.0,0,0,0,0,0
17071,0.0,0.0,0,0,0,0,0
17073,0.5,0.3,552,21,0,1,0
17075,0.1,0.0,216,2,0,0,0
17077,1.9,1.0,7601,210,3,3,1
17079,0.0,0.0,0,0,0,0,0
17081,0.0,0.0,0,0,0,0,0
17083,0.0,0.0,0,0,0,0,0
17085,0.0,0.0,0,0,0,0,1
17087,0.0,0.0,0,0,0,0,0
17089,2.7,1.8,27973,300,2,11,2
17091,2.5,1.5,9858,335,3,6,1
17093,0.1,0.1,131,2,0,0,3
17095,2.3,0.6,7833,152,2,5,0
17097,3.0,2.2,28367,274,2,12,4
17099,0.1,0.1,29,1,0,0,0
17101,0.0,0.0,0,0,0,0,0
17103,0.0,0.0,0,0,0,0,0
17105,0.7,0.5,205,12,0,0,0
17107,0.8,0.6,165,8,0,0,0
17109,2.6,1.6,4321,647,6,2,1
17111,1.5,1.0,9345,78,1,6,2
17113,3.7,2.8,36298,893,4,10,1
