FIPS,Area in square miles - Total area,Area in square miles - Land area,2010 Density per square mile of land area - Population,2010 Density per square mile of land area - Housing units
19159,538.87,535.5,9.6,4.9
19161,578.33,575.01,18.0,9.4
19163,468.21,458.09,360.7,156.8
19165,591.35,590.78,20.6,9.4
19167,768.99,768.33,43.9,16.0
19169,573.65,572.82,156.3,64.2
19171,722.08,721.01,24.6,10.8
19173,534.66,531.9,11.9,5.8
19175,425.8,423.65,29.6,14.0
19177,490.52,484.79,15.6,7.6
19179,436.02,431.83,82.5,37.3
19181,573.35,569.83,81.1,32.2
19183,570.92,568.84,38.2,16.7
19185,527.15,525.44,12.2,6.1
19187,718.43,715.62,53.1,23.8
19189,401.72,400.49,27.1,13.0
19191,690.14,689.87,30.5,12.6
19193,877.77,872.83,117.1,47.5
19195,401.94,400.12,19.0,8.9
19197,582.24,580.42,22.8,11.2
20001,505.33,500.3,26.7,12.4
20003,583.73,579.65,14.0,6.4
20005,433.82,431.17,39.3,16.2
20007,1136.17,1134.07,4.3,2.4
20009,900.63,895.4,30.9,14.2
20011,639.09,635.47,23.9,11.3
20013,572.11,570.87,17.5,8.4
20015,1446.53,1429.86,46.1,18.2
20017,777.73,773.06,3.6,1.9
20019,644.77,638.88,5.7,3.4
20021,591.02,587.57,36.8,16.8
20023,1020.94,1019.89,2.7,1.5
20025,977.18,974.63,2.3,1.2
20027,655.6,645.3,13.2,6.3
20029,717.99,715.34,13.3,6.5
20031,654.09,626.95,13.7,6.3
20033,789.69,788.3,2.4,1.3
20035,1132.43,1125.75,32.3,14.2
20037,595.01,589.76,66.4,30.2
20039,894.15,893.52,3.3,2.0
20041,851.95,847.07,23.3,10.6
20043,398.28,393.41,20.2,9.1
20045,474.64,455.87,243.1,102.5
20047,621.97,621.89,4.9,2.6
20049,650.47,644.26,4.5,2.7
20051,900.37,899.91,31.6,14.3
20053,723.29,715.85,9.1,4.5
20055,1302.67,1301.97,28.2,10.2
20057,1099.08,1098.27,30.8,10.9
20059,577.14,571.76,45.5,19.5
20061,404.49,384.62,89.3,37.7
20063,1071.76,1071.66,2.5,1.3
20065,898.75,898.52,2.9,1.7
20067,575.14,574.8,13.6,5.1
20069,869.3,868.87,6.9,2.7
20071,778.45,778.45,1.6,0.8
20073,1152.63,1143.3,5.9,3.6
20075,997.63,996.51,2.7,1.2
20077,802.78,801.27,7.5,3.9
20079,540.72,539.75,64.3,26.9
20081,577.87,577.52,7.4,2.9
20083,860.31,859.99,2.2,1.1
20085,658.02,656.22,20.5,8.8
20087,556.68,532.57,35.9,15.3
20089,914.36,909.78,3.4,2.2
20091,479.9,473.37,1149.6,478.6
20093,870.98,870.54,4.6,1.8
20095,866.66,863.36,9.1,4.4
20097,722.87,722.64,3.5,1.7
20099,653.12,645.29,33.5,15.6
20101,717.67,717.46,2.4,1.4
20103,468.97,462.83,164.7,62.0
20105,720.46,719.4,4.5,2.6
20107,606.4,594.06,16.3,9.2
20109,1073.1,1072.99,2.6,1.3
20111,855.42,847.47,39.8,18.0
20113,900.6,898.27,32.5,14.2
20115,953.73,944.29,13.4,6.3
20117,905.11,900.18,11.2,5.4
20119,979.35,978.09,4.7,2.0
20121,590.26,575.66,57.0,22.9
20123,719.16,701.79,9.1,4.7
20125,651.48,643.53,55.1,25.8
20127,702.89,695.28,8.5,4.6
20129,729.93,729.73,4.4,2.0
20131,719.44,717.43,14.2,6.4
20133,577.79,571.47,28.9,13.1
20135,1075.01,1074.75,2.9,1.6
20137,881.3,878.13,6.5,2.9
20139,719.85,705.52,23.1,10.6
20141,894.36,892.5,4.3,2.5
20143,721.34,720.73,8.5,3.9
20145,754.65,754.26,9.2,4.2
20147,894.56,885.88,6.4,3.4
20149,861.91,841.02,25.7,10.3
20151,735.72,735.04,13.1,6.1
20153,1069.58,1069.42,2.4,1.4
20155,1272.11,1255.35,51.4,22.5
20157,720.45,717.37,6.9,4.0
20159,727.96,726.24,13.9,6.3
20161,621.96,609.77,116.6,46.3
20163,895.15,890.53,5.8,3.1
20165,717.97,717.76,4.6,2.6
20167,899.44,886.26,7.9,4.4
20169,721.31,720.22,77.2,33.5
20171,717.66,717.54,6.9,3.1
20173,1009.12,997.51,499.6,212.1
20175,640.49,639.5,35.9,12.6
20177,555.73,544.02,327.1,145.5
20179,896.21,895.96,2.9,1.4
20181,1056.28,1056.07,5.7,3.0
20183,896.96,895.46,4.3,2.5
20185,794.92,792.05,5.6,2.9
20187,680.41,680.35,3.3,1.5
20189,727.47,727.29,7.9,3.2
20191,1184.95,1181.94,20.4,9.2
20193,1074.8,1074.69,7.4,3.3
20195,899.63,889.48,3.4,1.9
20197,799.62,794.3,8.9,4.1
20199,913.71,913.65,1.6,0.9
20201,898.67,894.76,6.5,3.3
20203,718.59,718.57,3.1,1.5
20205,575.07,570.42,16.5,8.2
20207,505.25,497.82,6.6,4.1
20209,156.19,151.6,1039.0,440.3
21001,412.4,405.28,46.0,21.1
21003,351.86,344.34,58.0,27.0
21005,204.27,201.83,106.1,45.2
21007,273.69,246.66,33.4,15.8
21009,500.0,487.54,86.5,39.4
21011,284.0,278.79,41.6,19.4
21013,361.12,359.0,79.9,36.6
21015,256.46,246.36,482.3,187.3
21017,291.59,289.72,69.0,30.8
21019,162.02,159.86,309.9,136.4
21021,182.66,180.17,157.8,68.3
21023,208.95,205.61,41.3,18.7
21025,495.27,492.41,28.2,12.7
21027,585.62,567.17,35.4,18.7
21029,300.26,297.02,250.2,98.7
21031,431.47,426.09,29.8,13.8
21033,348.15,344.79,37.7,18.2
21035,410.7,385.02,96.6,46.9
21037,159.42,151.31,597.0,261.2
21039,198.98,189.43,26.9,12.9
21041,137.31,128.57,84.1,36.5
21043,412.12,409.5,67.7,30.1
21045,445.74,444.23,35.9,16.9
21047,724.04,717.5,103.1,41.1
21049,255.16,252.46,141.1,62.2
21051,471.09,469.25,46.3,18.9
21053,205.42,197.25,52.1,26.9
21055,371.14,359.95,25.9,12.7
21057,310.91,305.18,22.5,12.1
21059,476.57,458.35,210.9,90.4
21061,308.0,302.88,40.2,21.4
21063,235.32,234.32,33.5,14.4
21065,255.61,253.08,58.0,27.1
21067,285.55,283.65,1042.8,476.5
21069,351.32,348.54,41.2,19.0
21071,395.71,393.34,100.3,46.2
21073,212.01,207.75,237.2,111.5
21075,230.62,205.5,33.2,16.4
21077,104.72,101.23,84.8,37.4
21079,233.95,230.08,73.5,32.4
21081,260.77,257.96,95.6,38.5
21083,556.79,551.74,67.3,30.4
21085,511.03,496.7,51.8,27.3
21087,288.79,286.03,39.4,18.6
21089,354.45,344.4,107.2,47.4
21091,198.89,187.65,45.6,19.9
21093,630.14,623.28,169.3,69.4
21095,468.15,465.83,62.9,29.0
21097,309.86,306.36,61.5,26.8
21099,417.85,412.09,44.2,20.8
21101,466.28,436.67,105.9,46.5
21103,291.12,286.28,53.9,23.2
21105,253.04,242.27,20.2,9.7
21107,554.42,542.0,86.6,39.1
21109,346.51,345.2,39.1,18.9
21111,397.68,380.42,1948.1,887.5
21113,174.5,172.12,282.3,112.3
21115,264.14,261.95,89.2,40.6
21117,164.35,160.25,996.7,430.4
21119,352.85,351.52,46.5,21.2
21121,387.75,386.3,82.5,37.5
21123,263.63,261.52,54.3,23.6
21125,443.69,433.95,135.6,58.6
21127,420.07,415.6,38.2,17.5
21129,211.26,208.86,37.8,16.5
21131,404.45,400.84,28.2,13.2
21133,339.03,337.91,72.6,34.3
21135,495.38,482.84,28.7,13.4
21137,336.58,334.09,74.1,32.4
21139,342.33,313.13,30.4,15.4
21141,557.03,552.13,48.6,22.3
21143,256.53,213.84,38.9,22.4
21145,268.17,248.74,263.6,124.9
21147,430.95,426.8,42.9,17.6
21149,256.23,252.47,37.8,16.9
21151,443.26,437.29,189.6,80.1
21153,309.16,308.44,43.2,19.3
21155,346.86,343.01,57.8,23.9
21157,340.17,301.25,104.4,52.3
21159,230.6,229.6,56.3,22.5
21161,246.41,240.13,72.8,33.8
21163,324.5,305.42,93.6,38.5
21165,205.93,203.58,31.0,18.4
21167,253.31,248.8,85.7,40.0
21169,291.19,289.65,34.9,16.2
21171,332.06,329.37,33.3,15.8
21173,198.86,197.37,134.3,59.3
21175,383.79,381.13,36.5,15.3
21177,479.4,467.08,67.4,29.3
21179,424.08,417.51,104.0,43.3
21181,196.83,195.17,36.6,16.7
21183,596.23,587.27,40.6,17.4
21185,196.43,187.22,322.2,110.5
21187,354.25,351.1,30.9,16.0
21189,198.29,197.41,24.1,11.8
21191,281.92,277.16,53.7,22.9
21193,342.61,339.67,84.5,37.7
21195,788.67,786.83,82.6,38.5
21197,180.12,178.98,70.5,31.3
21199,677.15,658.41,95.8,47.8
21201,100.1,99.91,22.8,11.0
21203,318.1,316.54,53.9,24.3
21205,286.27,279.8,83.4,36.1
21207,282.88,253.66,69.2,39.4
21209,285.43,281.77,167.4,68.5
21211,385.67,379.64,110.8,43.7
21213,236.47,234.2,74.0,31.7
21215,191.66,186.68,91.4,35.9
21217,276.82,266.33,92.0,40.8
21219,377.06,374.5,33.3,14.1
21221,481.33,441.43,32.5,17.7
21223,156.22,151.65,58.1,25.9
21225,363.38,342.85,43.8,17.9
21227,547.56,541.6,210.1,87.2
21229,301.2,297.27,39.4,17.0
21231,484.16,458.17,45.4,23.9
21233,335.66,331.94,41.0,17.9
21235,445.12,437.83,81.4,34.6
21237,222.75,222.17,33.1,16.5
21239,192.04,188.78,132.1,56.7
22001,657.45,655.12,94.3,38.8
22003,765.95,761.85,33.8,12.8
22005,302.79,289.98,369.7,140.6
22007,364.53,338.66,69.2,30.6
22009,865.74,832.43,50.5,21.7
22011,1165.84,1157.34,30.8,13.0
22013,822.07,811.27,17.7,9.5
22015,867.22,840.06,139.3,58.7
22017,936.82,878.54,290.2,127.5
22019,1094.27,1063.66,181.2,77.1
22021,540.73,529.42,19.1,9.4
22023,1936.67,1284.89,5.3,2.8
22025,739.42,708.03,14.7,6.9
22027,767.42,754.88,22.8,10.3
22029,747.3,696.92,29.9,13.5
22031,894.59,875.58,30.4,14.0
22033,470.24,455.37,966.6,411.4
22035,442.43,420.7,18.4,6.9
22037,455.78,453.41,44.7,17.7
22039,679.62,662.38,51.3,22.1
22041,635.44,624.59,33.2,14.5
22043,664.65,643.03,34.7,13.8
22045,1030.53,574.11,127.6,51.7
22047,652.86,618.63,54.0,20.5
22049,580.28,569.18,28.6,13.5
22051,665.42,295.63,1463.1,639.8
22053,658.56,651.33,48.5,20.4
22055,269.21,268.72,824.6,348.5
22057,1474.31,1068.21,90.2,36.1
22059,662.39,624.68,23.8,10.5
22061,472.47,471.74,99.1,41.3
22063,702.85,648.17,197.5,77.4
22065,650.9,624.44,19.4,7.7
22067,806.08,794.93,35.2,15.6
22069,1298.99,1252.25,31.6,14.8
22071,350.21,169.42,2029.4,1120.8
22073,631.75,610.41,251.8,105.6
22075,2567.2,779.91,29.5,12.3
22077,590.71,557.35,40.9,20.0
22079,1361.66,1317.96,99.9,42.3
22081,402.34,389.09,23.4,10.6
22083,564.52,559.04,37.1,15.4
22085,1011.62,866.66,28.0,16.3
22087,2158.07,377.52,95.1,44.5
22089,410.63,279.08,189.1,71.3
22091,409.49,408.4,27.4,12.6
22093,257.96,241.54,91.5,35.0
22095,347.64,213.07,215.5,82.2
22097,938.98,923.88,90.3,38.6
22099,816.49,737.65,70.7,29.7
22101,1119.42,555.38,98.4,41.5
22103,1124.19,845.55,276.4,112.8
22105,823.27,791.27,153.0,63.3
22107,641.19,602.78,8.7,5.6
22109,2082.07,1231.81,90.8,35.6
22111,905.4,876.99,25.9,12.9
22113,1542.07,1173.2,49.4,21.5
22115,1341.48,1327.91,39.4,16.1
22117,675.88,669.52,70.4,31.4
22119,614.84,593.03,69.5,32.6
22121,203.82,192.39,123.6,48.5
22123,360.57,359.65,32.3,14.0
22125,426.0,403.21,38.8,12.6
22127,956.82,950.09,16.1,7.6
23001,497.12,467.93,230.2,104.9
23003,6827.57,6671.33,10.8,5.9
23005,1217.46,835.24,337.2,166.0
23007,1743.48,1696.61,18.1,12.8
23009,2344.94,1586.89,34.3,25.3
23011,951.17,867.52,140.8,70.3
23013,1143.95,365.13,108.8,65.0
23015,699.6,455.82,75.6,51.5
23017,2175.72,2076.84,27.8,17.4
23019,3557.08,3397.36,45.3,21.7
23021,4377.97,3960.86,4.4,3.9
23023,370.04,253.69,139.1,72.1
23025,4093.53,3924.4,13.3,7.8
23027,852.76,729.92,53.1,29.5
23029,3257.65,2562.66,12.8,9.0
23031,1269.71,990.71,199.0,106.8
24001,429.93,424.16,177.0,78.5
24003,587.8,414.9,1295.9,512.3
24005,681.76,598.3,1345.5,561.0
24009,345.07,213.15,416.3,158.5
24011,325.9,319.42,103.5,42.2
24013,452.69,447.59,373.4,139.4
24015,417.84,346.27,292.0,118.7
24017,642.97,457.75,320.2,120.1
24019,983.0,540.77,60.3,30.6
24021,667.38,660.22,353.5,136.5
24023,655.74,647.1,46.5,29.1
24025,526.64,437.09,560.1,218.6
24027,253.39,250.74,1144.9,435.8
24029,413.45,277.03,72.9,38.1
24031,506.95,491.25,1978.2,765.2
24033,498.84,482.69,1788.8,679.9
24035,510.69,371.91,128.5,54.2
24037,764.25,357.18,294.4,115.6
24039,610.35,319.72,82.8,34.8
24041,476.81,268.54,140.7,72.9
24043,467.34,457.78,322.1,132.8
24045,400.24,374.44,263.7,110.0
24047,694.86,468.28,109.9,119.1
24510,92.05,80.94,7671.5,3665.3
25001,1305.54,393.72,548.3,407.1
25003,946.43,926.82,141.6,73.9
25005,691.23,553.1,991.3,416.8
25007,490.96,103.25,160.2,166.5
25009,828.47,492.56,1508.8,622.8
25011,724.57,699.32,102.1,48.3
25013,634.25,617.14,751.0,311.4
25015,545.21,527.26,299.8,118.7
25017,847.06,817.82,1837.9,748.3
25019,303.66,44.97,226.2,258.4
25021,444.35,396.11,1693.6,682.5
25023,1093.25,659.08,750.9,303.7
25025,120.22,58.15,12415.6,5425.6
25027,1579.19,1510.77,528.6,216.3
26001,1790.58,674.59,16.2,16.4
26003,5047.74,915.07,10.5,7.2
26005,1833.29,825.23,135.0,59.9
26007,1694.92,571.86,51.8,28.1
26009,601.77,475.7,49.6,37.5
26011,680.69,363.19,43.8,27.0
26013,1068.77,898.26,9.9,5.9
26015,577.04,553.09,107.0,48.8
26017,630.72,442.3,243.7,109.0
26019,859.57,319.7,54.8,38.2
26021,1581.47,567.75,276.2,135.5
26023,519.68,506.37,89.4,41.2
26025,718.35,706.23,192.8,86.4
26027,508.32,490.06,106.7,52.8
26029,1390.46,416.34,62.3,41.4
26031,885.38,715.26,36.6,25.6
26033,2698.39,1558.42,24.7,13.6
26035,575.34,564.32,54.8,41.2
26037,574.56,566.41,133.1,54.2
26039,563.24,556.28,25.3,19.9
26041,1991.32,1171.1,31.7,17.3
26043,777.05,761.4,34.4,18.4
26045,579.43,575.17,187.4,81.8
26047,882.0,467.49,69.9,45.6
26049,649.59,636.98,668.5,301.7
26051,515.93,501.78,51.2,35.2
26053,1476.34,1101.85,14.9,9.8
26055,601.31,464.33,187.3,89.6
26057,571.61,568.46,74.7,28.7
26059,607.01,598.13,78.1,36.4
26061,1501.5,1009.1,36.3,18.5
26063,2136.8,835.71,39.6,25.4
26065,560.71,556.12,505.1,218.1
26067,580.05,571.3,111.9,43.4
26069,1890.06,549.1,47.1,37.2
26071,1211.21,1166.15,10.1,7.9
26073,577.68,572.68,122.8,49.6
26075,723.5,701.67,228.4,99.0
26077,580.3,561.66,445.7,195.9
26079,570.71,559.86,30.6,21.7
26081,871.94,846.95,711.5,291.5
26083,5966.19,540.11,4.0,4.6
26085,574.28,567.37,20.3,26.4
26087,662.84,643.01,137.4,56.5
26089,2532.19,347.17,62.5,43.0
26091,761.41,749.55,133.3,58.0
26093,585.4,565.25,320.2,128.8
26095,1912.49,899.08,7.4,4.8
26097,2100.64,1021.57,10.9,10.8
26099,570.85,479.22,1754.9,744.2
26101,1280.56,542.15,45.6,28.9
26103,3424.54,1808.4,37.1,19.0
26105,1242.44,495.07,58.0,34.9
26107,571.19,555.07,77.1,38.1
26109,1338.21,1044.08,23.0,13.6
26111,528.07,516.25,162.0,69.7
26113,573.83,564.73,26.3,16.1
26115,680.02,549.39,276.7,114.6
26117,720.83,705.4,89.8,40.0
26119,562.65,546.66,17.9,17.6
26121,1460.02,499.25,344.9,147.3
26123,861.69,813.2,59.6,30.8
26125,907.29,867.66,1385.7,607.7
26127,1305.95,512.07,51.9,31.1
26129,574.95,563.49,38.5,28.5
26131,3740.82,1311.22,5.2,4.3
26133,573.1,566.39,41.5,24.1
26135,571.58,565.73,15.3,16.1
26137,526.19,514.97,46.9,28.6
26139,1631.41,563.47,468.2,181.9
26141,2572.76,658.72,20.3,15.8
26143,580.03,519.64,47.1,47.1
26145,815.97,800.11,250.2,108.5
26147,836.51,721.17,226.1,99.6
26149,521.03,500.59,122.4,55.5
26151,1589.94,962.57,44.8,23.6
26153,1883.98,1171.36,7.2,5.4
26155,540.95,530.67,133.1,57.1
26157,913.91,803.13,69.4,30.4
26159,1089.9,607.47,125.5,60.6
26161,722.42,705.97,488.4,209.0
26163,672.68,612.08,2974.4,1342.5
26165,575.47,565.0,57.9,29.6
27001,1995.29,1821.66,8.9,8.8
27003,446.11,423.01,782.1,299.5
27005,1445.18,1315.2,24.7,14.3
27007,3055.76,2504.94,17.7,8.2
27009,413.06,408.3,94.2,39.5
27011,528.12,499.02,10.6,6.2
27013,765.59,747.84,85.6,35.0
27015,618.46,611.09,42.4,18.8
27017,875.28,861.38,41.1,18.2
27019,376.11,354.33,256.9,97.5
27021,2414.11,2021.54,14.1,12.3
27023,587.78,581.12,21.4,9.8
27025,442.41,414.86,129.9,51.0
27027,1052.65,1045.37,56.4,22.9
27029,1029.74,998.94,8.7,4.8
27031,3339.55,1452.28,3.6,4.0
27033,648.56,638.61,18.3,8.5
27035,1156.53,999.09,62.6,40.2
27037,586.87,562.17,709.0,283.9
27039,439.59,439.28,45.7,18.1
27041,720.0,637.3,56.5,31.2
27043,721.9,712.48,20.4,10.0
27045,862.09,861.3,24.2,11.3
27047,722.42,707.09,44.2,20.1
27049,780.4,756.84,61.0,26.9
27051,575.48,548.16,11.0,6.1
27053,606.55,553.59,2081.7,920.3
27055,568.84,552.06,34.5,15.6
27057,999.56,925.67,22.1,15.8
27059,451.66,435.79,86.8,35.2
27061,2927.96,2667.72,16.9,10.1
27063,719.23,702.98,14.6,7.1
27065,533.68,521.59,31.1,15.0
27067,862.35,796.78,53.0,24.4
27069,1103.6,1098.8,4.1,2.4
27071,3154.02,3104.07,4.3,2.5
27073,778.01,765.02,9.5,4.8
27075,2990.63,2109.29,5.2,3.6
27077,1774.67,1297.87,3.1,2.8
27079,473.81,448.76,61.7,27.7
27081,548.43,536.76,11.0,5.8
27083,721.67,714.56,36.2,15.5
27085,505.53,491.47,74.6,32.1
27087,582.91,557.88,9.7,5.0
27089,1812.91,1775.07,5.3,2.7
27091,729.58,712.35,29.3,14.1
27093,644.78,608.18,38.3,17.6
27095,681.58,572.31,45.6,22.3
27097,1153.39,1125.06,29.5,14.0
27099,711.57,711.33,55.1,23.9
27101,719.5,704.7,12.4,6.5
27103,466.74,448.49,73.0,28.7
27105,722.56,715.11,29.9,11.9
27107,876.73,872.79,7.9,3.9
27109,654.8,653.35,220.8,92.6
27111,2224.54,1972.07,29.1,18.0
27113,618.25,616.57,22.6,10.2
27115,1434.56,1411.29,21.1,12.2
27117,465.96,465.05,20.6,9.6
27119,1997.79,1971.13,16.0,7.4
27121,717.1,669.71,16.4,9.6
27123,170.08,152.21,3341.6,1426.9
27125,432.5,432.41,9.5,4.5
27127,881.75,878.57,18.3,8.3
27129,987.1,982.91,16.0,7.5
27131,515.94,495.68,129.4,49.3
27133,482.72,482.45,20.1,8.8
27135,1678.14,1671.6,9.3,4.5
27137,6859.5,6247.4,32.0,16.5
27139,368.38,356.48,364.5,132.2
27141,451.04,432.92,204.4,74.8
27143,600.52,588.78,25.9,11.2
27145,1389.95,1343.13,112.2,46.1
27147,432.34,429.65,85.1,35.7
27149,575.32,563.6,17.3,7.4
27151,752.19,742.08,13.2,6.5
27153,979.5,944.98,26.3,13.7
27155,585.85,573.9,6.2,3.6
27157,549.62,522.98,41.4,19.1
27159,543.23,536.27,25.8,12.9
27161,432.97,423.36,45.2,18.7
27163,422.74,384.28,619.7,240.4
27165,439.73,434.95,25.8,11.6
27167,751.17,750.96,8.8,4.1
27169,641.58,626.21,82.2,33.2
27171,714.27,661.46,188.5,74.1
27173,763.23,759.1,13.8,6.3
28001,487.55,462.41,69.8,31.7
28003,401.36,400.04,92.6,42.7
28005,731.6,730.1,18.0,9.1
28007,736.69,734.98,26.6,12.4
28009,408.65,406.62,21.5,10.3
28011,905.82,876.57,39.0,16.1
28013,587.96,586.57,25.5,11.8
28015,634.59,628.24,16.9,8.0
28017,504.25,501.78,34.7,15.0
28019,419.86,418.18,20.4,9.9
28021,501.2,487.41,19.7,8.7
28023,693.53,691.55,24.2,11.4
28025,416.01,410.08,50.3,22.4
28027,583.15,552.44,47.3,19.5
28029,779.46,777.24,37.9,15.7
28031,414.93,413.79,47.3,20.5
28033,497.01,476.15,338.7,129.4
28035,470.23,466.31,160.7,69.2
28037,566.76,563.78,14.4,7.4
28039,483.65,478.71,47.2,19.5
28041,718.7,712.76,20.2,7.2
28043,449.4,422.11,51.9,24.1
28045,552.5,473.75,92.7,46.1
28047,976.17,573.99,326.0,148.4
28049,877.29,869.74,282.0,118.9
28051,764.62,756.7,25.4,11.1
28053,431.23,418.49,22.4,9.2
28055,441.43,413.05,3.4,1.4
28057,540.45,532.79,43.9,19.0
28059,1043.4,722.75,193.2,83.1
28061,677.47,676.24,25.2,12.1
28063,527.26,519.93,14.9,7.1
28065,409.14,408.44,30.6,14.4
28067,699.71,694.8,97.5,40.9
28069,767.02,766.18,13.6,6.2
28071,679.21,631.71,75.0,36.0
28073,500.43,497.06,112.0,48.4
28075,715.15,703.63,114.1,49.3
28077,435.77,430.67,30.0,14.0
28079,585.48,583.0,40.8,16.1
28081,453.17,449.95,184.3,79.7
28083,606.38,592.54,54.5,22.3
28085,588.17,586.11,59.5,26.0
28087,516.46,505.51,118.3,52.5
28089,741.78,714.51,133.2,54.0
28091,548.62,542.38,49.9,21.8
28093,709.77,706.19,52.6,21.1
28095,772.1,765.09,48.3,21.5
28097,407.89,406.98,26.8,12.8
28099,571.61,570.14,52.1,21.7
28101,579.6,578.1,37.6,16.2
28103,699.98,695.14,16.6,7.4
28105,461.93,458.2,104.0,45.7
28107,705.13,685.14,50.7,21.5
28109,818.91,810.86,68.9,29.6
28111,650.2,647.25,18.9,8.5
28113,410.69,409.01,98.8,43.7
28115,501.02,497.69,60.2,25.0
28117,418.2,414.98,60.9,26.6
28119,406.43,405.01,20.3,8.9
28121,806.09,775.48,182.6,72.8
28123,610.39,609.18,46.4,18.8
28125,435.12,431.72,11.4,4.9
28127,590.47,589.16,46.7,20.3
28129,637.27,636.25,25.9,11.4
28131,448.08,445.48,39.9,16.1
28133,706.93,697.75,42.2,13.9
28135,652.14,645.29,23.8,8.6
28137,410.97,404.76,71.4,27.0
28139,459.95,457.81,48.6,21.2
28141,444.52,424.25,46.2,24.3
28143,480.73,454.67,23.7,10.6
28145,416.91,415.6,65.3,27.7
28147,404.41,403.94,38.2,17.7
28149,618.55,588.5,82.9,37.2
28151,761.23,724.74,70.6,30.0
28153,813.52,810.75,25.6,11.4
28155,423.23,420.94,24.4,11.4
28157,687.77,678.11,14.6,7.4
28159,610.09,607.24,31.6,14.4
28161,495.0,467.13,27.1,13.6
28163,934.27,922.95,30.4,10.9
29001,569.44,567.32,45.1,19.9
29003,436.43,432.7,40.0,16.9
29005,550.13,547.3,10.4,5.5
29007,696.82,692.23,36.9,15.7
29009,790.97,778.25,45.7,22.5
29011,596.72,591.92,21.0,9.5
29013,851.38,836.69,20.4,9.4
29015,752.55,704.06,27.1,20.1
29017,621.2,617.91,20.0,9.5
29019,690.98,685.41,237.3,101.5
29021,414.66,408.03,218.6,94.2
29023,698.99,694.67,61.6,28.4
29025,429.64,426.39,22.1,10.8
29027,847.36,834.57,53.1,22.2
29029,708.64,655.92,67.1,62.8
29031,586.32,578.53,130.8,56.4
29033,701.39,694.62,13.4,6.7
29035,509.02,507.36,12.3,6.4
29037,702.49,696.84,142.8,57.4
29039,498.65,474.48,29.5,15.2
29041,766.76,751.18,10.4,5.5
29043,563.81,562.65,137.6,56.1
29045,511.82,504.69,14.1,6.9
29047,408.67,397.3,558.6,236.4
29049,423.48,418.96,49.5,21.2
29051,401.92,393.75,193.0,82.1
29053,569.18,564.77,31.2,13.2
29055,743.75,742.52,33.3,16.1
29057,506.25,490.01,16.1,8.1
29059,542.85,540.77,31.0,14.2
29061,569.05,563.24,15.0,7.5
29063,425.82,421.36,30.6,10.3
29065,754.51,752.79,20.8,9.7
29067,814.6,813.63,16.8,8.0
29069,547.18,541.07,59.1,26.6
29071,930.69,922.68,110.0,47.1
29073,524.44,517.8,29.4,15.8
29075,491.72,491.42,13.7,6.5
29077,677.88,675.3,407.5,185.7
29079,438.03,435.28,23.6,11.5
29081,726.41,722.5,12.4,6.1
29083,732.33,696.95,32.0,15.6
29085,411.71,399.09,24.1,17.1
29087,470.35,462.69,10.6,6.1
29089,471.53,463.85,21.9,9.9
29091,928.37,927.25,43.6,19.4
29093,552.06,550.26,19.3,9.7
29095,616.25,604.46,1115.3,516.3
29097,641.28,638.49,183.9,79.4
29099,664.28,656.63,333.1,133.4
29101,833.19,829.28,63.4,26.0
29103,506.83,504.01,8.2,4.5
29105,768.01,764.72,46.5,20.6
29107,638.94,628.43,53.1,23.4
29109,613.38,611.74,63.2,27.2
29111,510.8,505.04,20.2,9.0
29113,640.46,626.56,83.9,33.5
29115,621.38,615.56,20.7,10.4
29117,538.57,532.33,28.5,12.6
29119,539.68,539.48,42.8,18.4
29121,812.37,801.23,19.4,9.6
29123,497.6,494.39,24.7,12.1
29125,529.93,526.98,17.4,8.7
29127,444.3,436.92,65.9,29.4
29129,455.11,453.84,8.3,4.7
29131,599.99,592.59,41.8,21.5
29133,428.76,411.58,34.9,13.9
29135,418.87,415.03,37.6,14.9
29137,670.16,647.65,13.6,7.4
29139,542.01,536.25,22.8,11.4
29141,614.02,597.63,34.4,26.0
29143,696.57,674.84,28.1,12.6
29145,626.59,624.76,93.0,38.9
29147,877.88,876.96,26.6,10.9
29149,791.54,789.8,13.8,6.9
29151,610.45,604.35,23.0,10.8
29153,755.23,744.97,13.1,7.6
29155,513.43,492.54,37.1,16.6
29157,484.16,474.35,40.0,18.1
29159,686.27,682.22,61.9,26.7
29161,674.32,671.78,67.2,29.1
29163,684.72,670.44,27.6,11.7
29165,426.8,420.19,212.6,93.3
29167,642.41,635.52,49.0,20.9
29169,551.48,547.1,95.5,32.7
29171,519.61,517.32,9.6,5.8
29173,483.83,469.78,21.6,11.0
29175,487.83,482.68,52.7,22.2
29177,573.94,568.81,41.3,17.6
29179,814.41,808.48,8.3,5.0
29181,631.64,629.54,22.4,10.5
29183,592.61,560.44,643.2,251.6
29185,702.05,669.98,14.6,8.4
29186,506.77,499.15,36.4,17.3
29187,454.67,451.89,144.6,63.0
29189,523.02,507.8,1967.2,862.6
29195,766.92,755.5,30.9,13.4
29197,308.16,307.3,14.4,6.8
29199,439.3,436.67,11.1,5.4
29201,425.86,419.99,93.3,40.4
29203,1004.0,1003.82,8.4,4.1
29205,502.32,500.86,12.7,6.4
29207,829.02,823.22,36.4,16.5
29209,510.78,464.03,69.4,43.9
29211,651.5,647.98,10.4,5.2
29213,651.64,632.44,81.7,46.3
29215,1179.22,1177.27,22.1,9.9
29217,836.83,826.4,25.6,11.5
