FIPS,Area in square miles - Total area,Area in square miles - Land area,2010 Density per square mile of land area - Population,2010 Density per square mile of land area - Housing units
38007,1153.48,1148.85,0.7,0.4
38009,1697.35,1668.42,3.9,2.6
38011,1167.05,1161.81,2.7,1.4
38013,1128.92,1103.57,1.8,1.2
38015,1668.3,1632.65,49.8,21.9
38017,1767.9,1764.94,84.9,38.5
38019,1509.96,1488.75,2.7,1.6
38021,1142.13,1131.47,4.7,2.3
38023,1294.23,1260.79,1.6,1.1
38025,2082.04,2008.46,1.8,1.1
38027,644.11,630.17,3.8,2.1
38029,1555.02,1510.43,2.4,1.4
38031,646.82,635.45,5.3,2.8
38033,1002.39,1000.79,1.7,1.0
38035,1439.5,1436.38,46.5,20.4
38037,1665.92,1659.14,1.4,1.0
38039,716.44,708.81,3.4,2.1
38041,1133.78,1132.22,2.2,1.2
38043,1432.91,1351.19,1.8,1.2
38045,1150.89,1145.94,3.6,2.0
38047,1011.24,992.82,2.0,1.2
38049,1911.54,1873.95,2.9,1.6
38051,994.74,974.73,2.9,1.9
38053,2860.78,2760.32,2.3,1.1
38055,2328.02,2110.88,4.2,2.6
38057,1112.49,1042.96,8.1,4.3
38059,1945.45,1926.27,14.3,6.3
38061,1941.57,1825.3,4.2,2.3
38063,1008.82,981.77,3.2,2.0
38065,731.19,722.51,2.6,1.3
38067,1121.4,1118.69,6.6,3.4
38069,1082.33,1018.6,4.3,2.2
38071,1300.91,1186.85,9.6,4.7
38073,863.74,862.36,6.3,3.1
38075,892.75,877.05,2.8,1.6
38077,1445.45,1435.78,11.4,5.2
38079,939.34,903.08,15.4,5.9
38081,866.9,858.51,4.5,2.3
38083,1005.64,972.38,1.4,0.9
38085,1128.25,1094.09,3.8,1.2
38087,1219.16,1214.92,0.6,0.4
38089,1340.19,1334.74,18.1,8.0
38091,715.46,712.22,2.8,1.6
38093,2297.91,2221.72,9.5,4.4
38095,1041.48,1024.56,2.2,1.4
38097,862.51,861.95,9.4,4.4
38099,1294.1,1281.93,8.7,4.3
38101,2055.96,2013.28,30.6,13.3
38103,1290.37,1271.05,3.3,2.0
38105,2147.87,2077.4,10.8,5.0
39001,586.25,583.87,48.9,22.2
39003,406.85,402.5,264.2,111.8
39005,426.8,422.95,125.6,52.3
39007,1367.9,701.93,144.6,65.7
39009,508.44,503.6,128.6,52.4
39011,401.91,401.39,114.5,48.8
39013,541.27,532.13,132.3,61.0
39015,493.45,490.02,91.5,39.4
39017,470.13,467.06,788.2,317.5
39019,398.93,394.61,73.1,34.7
39021,429.83,428.67,93.5,39.1
39023,402.53,397.47,348.0,154.5
39025,459.77,452.1,436.5,178.4
39027,412.29,408.68,102.9,44.4
39029,534.69,531.89,202.7,88.5
39031,567.48,563.91,65.4,29.3
39033,402.7,401.79,109.0,50.2
39035,1245.59,457.19,2800.0,1360.0
39037,599.76,598.1,88.5,38.0
39039,414.19,411.46,94.9,40.7
39041,457.33,443.1,393.2,149.8
39043,625.99,251.56,306.4,150.4
39045,508.56,504.41,289.8,116.3
39047,407.02,406.36,71.4,31.2
39049,543.51,532.19,2186.1,990.6
39051,407.23,405.44,105.3,42.9
39053,471.2,466.53,66.3,29.8
39055,408.29,400.16,233.4,91.4
39057,416.26,413.73,390.5,164.9
39059,528.3,522.25,76.8,36.8
39061,412.63,405.91,1976.7,929.7
39063,533.66,531.36,140.7,62.4
39065,470.65,470.4,68.1,27.8
39067,410.77,402.34,39.4,20.3
39069,419.75,416.01,67.8,28.8
39071,557.79,553.08,78.8,35.0
39073,423.63,421.32,69.7,31.8
39075,423.98,422.53,100.3,32.3
39077,494.82,491.49,121.3,51.3
39079,421.53,420.3,79.0,34.7
39081,410.95,408.33,170.7,80.4
39083,529.63,525.49,115.9,47.8
39085,979.2,227.49,1011.2,444.9
39087,457.27,453.37,137.7,60.9
39089,687.49,682.5,243.9,101.5
39091,466.77,458.43,100.0,50.6
39093,923.33,491.1,613.6,258.7
39095,595.88,340.86,1296.2,594.5
39097,466.63,465.88,93.2,34.2
39099,425.29,411.62,580.2,271.7
39101,404.11,403.76,164.7,68.9
39103,423.02,421.36,409.0,164.2
39105,433.0,430.1,55.3,26.0
39107,473.42,462.45,88.3,38.1
39109,409.66,406.58,252.1,108.8
39111,457.46,455.72,32.1,16.6
39113,464.33,461.55,1159.5,552.0
39115,421.78,416.42,36.2,19.0
39117,407.22,406.08,85.8,34.9
39119,672.58,664.58,129.5,57.3
39121,404.57,398.01,36.8,15.2
39123,585.06,254.92,162.5,109.5
39125,418.85,416.44,47.1,21.0
39127,412.49,407.97,88.4,37.3
39129,506.55,501.32,111.1,42.4
39131,443.98,440.28,65.2,28.3
39133,504.06,487.38,331.2,138.4
39135,426.46,424.12,99.7,42.2
39137,484.3,482.52,71.5,28.5
39139,500.08,495.27,251.3,110.2
39141,693.02,689.19,113.3,46.6
39143,417.71,408.45,149.2,64.6
39145,616.15,610.21,130.3,56.0
39147,552.79,551.02,103.0,43.8
39149,410.69,407.68,121.2,49.5
39151,580.53,575.27,652.9,287.2
39153,420.06,412.75,1312.6,593.8
39155,636.57,618.3,340.1,155.5
39157,571.45,567.64,163.1,70.8
39159,436.87,431.73,121.1,45.0
39161,410.43,409.16,70.3,30.8
39163,414.98,412.36,32.6,15.3
39165,407.31,401.31,530.0,201.2
39167,640.0,631.97,97.8,44.9
39169,556.82,554.93,206.4,82.6
39171,423.09,420.97,89.4,39.6
39173,620.49,617.2,203.3,86.5
39175,407.55,406.86,55.6,24.3
40001,577.05,573.48,39.6,15.9
40003,881.34,866.45,6.5,3.2
40005,989.91,975.52,14.5,6.5
40007,1817.51,1814.67,3.1,1.5
40009,903.94,901.81,24.5,10.7
40011,938.79,928.42,12.9,5.6
40013,943.94,904.47,46.9,21.7
40015,1290.19,1278.29,23.2,10.3
40017,905.6,896.63,128.9,51.1
40019,833.76,822.18,57.8,25.7
40021,776.29,749.41,62.7,28.6
40023,799.57,770.36,19.7,9.8
40025,1840.89,1834.74,1.3,0.9
40027,558.09,538.77,474.7,194.6
40029,521.35,516.68,11.5,5.4
40031,1083.7,1069.29,116.1,47.5
40033,641.96,632.65,9.8,4.8
40035,762.78,761.35,19.7,8.9
40037,969.83,950.14,73.6,31.3
40039,1002.07,988.82,27.8,12.3
40041,792.31,738.18,56.2,33.6
40043,1008.24,999.48,4.8,2.4
40045,1231.88,1231.52,3.4,1.9
40047,1060.06,1058.47,57.2,25.3
40049,813.69,802.12,34.4,16.0
40051,1104.9,1100.5,47.6,20.2
40053,1003.58,1000.87,4.5,2.5
40055,643.63,639.32,9.8,4.3
40057,538.66,537.19,5.4,2.9
40059,1041.05,1039.02,3.5,1.8
40061,625.27,576.52,22.1,10.5
40063,814.88,804.65,17.4,7.7
40065,804.24,802.65,32.9,15.0
40067,774.08,758.83,8.5,4.5
40069,658.24,642.94,17.0,8.0
40071,944.97,919.73,50.6,23.6
40073,906.02,898.16,16.7,7.1
40075,1030.7,1015.23,9.3,5.1
40077,729.11,722.08,15.4,6.9
40079,1608.53,1589.21,31.7,13.5
40081,965.68,952.31,36.0,16.0
40083,748.83,743.83,56.3,23.1
40085,532.39,514.0,18.3,8.8
40087,580.25,570.7,60.5,24.5
40089,1902.38,1850.01,17.9,8.4
40091,712.29,618.5,32.7,21.6
40093,957.94,954.99,7.9,3.8
40095,426.93,371.08,42.7,27.0
40097,683.51,655.39,63.0,29.4
40099,425.09,416.46,32.4,16.2
40101,839.78,810.45,87.6,38.1
40103,742.54,731.9,15.8,7.3
40105,580.78,565.78,18.6,8.5
40107,628.87,618.57,19.7,8.5
40109,718.37,708.82,1013.8,451.2
40111,702.33,697.35,57.5,25.7
40113,2303.97,2246.36,21.1,9.4
40115,484.61,470.82,67.6,29.9
40117,594.76,567.95,29.2,13.6
40119,696.97,684.7,113.0,49.6
40121,1377.83,1305.46,35.1,17.3
40123,725.22,720.44,52.0,23.0
40125,793.4,787.67,88.2,37.0
40127,1422.86,1395.84,8.3,4.4
40129,1146.42,1141.14,3.2,1.7
40131,711.5,675.63,128.6,52.0
40133,640.47,632.84,40.3,18.4
40135,714.15,673.27,63.0,27.7
40137,891.36,870.24,51.8,23.7
40139,2048.68,2041.26,10.1,4.0
40141,879.2,871.13,9.2,4.7
40143,587.02,570.25,1058.1,470.7
40145,590.68,561.56,130.1,52.9
40147,424.27,415.45,122.7,56.4
40149,1008.8,1003.17,11.6,5.5
40151,1289.96,1286.45,6.9,3.5
40153,1246.14,1242.4,16.2,7.1
41001,3088.37,3068.36,5.3,2.9
41003,678.61,675.94,126.6,53.6
41005,1882.61,1870.32,201.0,83.9
41007,1084.38,829.05,44.7,26.0
41009,688.33,657.36,75.1,31.5
41011,1806.36,1596.17,39.5,19.2
41013,2987.27,2979.09,7.0,3.4
41015,1988.34,1627.46,13.7,7.8
41017,3054.77,3018.19,52.3,26.6
41019,5133.77,5036.07,21.4,9.7
41021,1222.84,1204.81,1.6,1.0
41023,4529.27,4528.54,1.6,1.0
41025,10226.41,10133.17,0.7,0.4
41027,533.19,521.95,42.8,17.8
41029,2801.65,2783.55,73.0,32.7
41031,1790.91,1780.78,12.2,5.5
41033,1641.85,1639.67,50.4,23.2
41035,6135.55,5941.05,11.2,5.5
41037,8358.26,8138.98,1.0,0.5
41039,4721.87,4553.12,77.2,34.3
41041,1193.78,979.77,47.0,31.2
41043,2308.96,2290.13,50.9,21.3
41045,9929.7,9887.53,3.2,1.2
41047,1192.5,1182.33,266.7,102.3
41049,2048.51,2031.61,5.5,2.2
41051,465.6,431.3,1704.9,753.2
41053,743.91,740.79,101.8,40.9
41055,831.19,823.69,2.1,1.1
41057,1332.76,1102.58,22.9,16.7
41059,3231.41,3215.51,23.6,9.2
41061,2038.53,2036.61,12.6,5.6
41063,3151.67,3146.19,2.2,1.3
41065,2395.4,2381.52,10.6,4.8
41067,726.42,724.23,731.4,293.3
41069,1715.23,1714.75,0.8,0.5
41071,718.34,715.86,138.6,51.8
42001,521.79,518.67,195.5,78.7
42003,744.52,730.07,1675.6,807.0
42005,663.84,653.2,105.5,49.8
42007,444.04,434.71,392.3,179.9
42009,1016.91,1012.3,49.2,23.7
42011,865.76,856.51,480.4,192.4
42013,527.07,525.8,241.7,107.0
42015,1161.02,1147.4,54.6,26.1
42017,621.87,604.31,1034.7,407.0
42019,794.75,788.6,233.1,99.1
42021,693.63,688.35,208.7,95.4
42023,398.42,396.23,12.8,11.2
42025,387.39,381.46,171.1,89.9
42027,1112.96,1109.92,138.7,57.0
42029,759.23,750.51,664.7,256.4
42031,609.84,600.83,66.6,33.2
42033,1153.96,1144.72,71.3,33.8
42035,896.93,887.98,44.2,21.5
42037,490.16,483.11,139.3,61.1
42039,1037.51,1012.3,87.7,44.1
42041,550.3,545.46,431.6,183.3
42043,558.18,525.05,510.6,229.3
42045,190.6,183.84,3040.5,1212.5
42047,832.31,827.36,38.6,21.3
42049,1558.23,799.15,351.1,149.1
42051,798.31,790.34,172.8,79.4
42053,430.5,427.19,18.1,20.5
42055,772.82,772.22,193.7,81.9
42057,438.06,437.55,33.9,16.3
42059,577.98,575.95,67.2,28.6
42061,889.27,874.64,52.5,25.6
42063,834.29,827.03,107.5,46.2
42065,656.8,652.43,69.3,34.4
42067,393.51,391.35,63.0,28.1
42069,464.91,459.08,467.1,210.9
42071,983.8,943.81,550.4,215.0
42073,362.72,358.18,254.4,114.4
42075,362.5,361.83,369.1,153.6
42077,348.24,345.17,1012.5,413.2
