,totalvotes,totalvotes,totalvotes,totalvotes,totalvotes,Prop_Blue,Prop_Blue,Prop_Blue,Prop_Blue,Prop_Blue
year,2000,2004,2008,2012,2016,2000,2004,2008,2012,2016
FIPS,,,,,,,,,,
1125.0,60114.0,69830.0,78912.0,78590.0,82700.0,0.40945536813387895,0.37873406845195473,0.4156021897810219,0.407787250286296,0.38406287787182586
1127.0,25641.0,28367.0,28652.0,28521.0,29472.0,0.4532194532194532,0.3178341030070152,0.2589697054306855,0.22990077486764138,0.15258550488599348
1129.0,7596.0,8247.0,8775.0,8778.0,8533.0,0.4457609268035808,0.38135079422820417,0.34951566951566954,0.3390293916609706,0.2782139927340912
1131.0,5126.0,5682.0,6494.0,6551.0,6118.0,0.6718689036285603,0.6754663850756776,0.7101940252540807,0.7430926576095253,0.709218698921216
1133.0,9318.0,10423.0,10031.0,9714.0,10313.0,0.28890319811118265,0.21452556845437973,0.17515701325889743,0.13238624665431337,0.08455347619509357
2001.0,6656.0,10417.0,6970.0,7722.0,6638.0,0.19290865384615385,0.35154075069597773,0.372596843615495,0.19658119658119658,0.3876167520337451
2002.0,7388.0,11402.0,7735.0,9058.0,5492.0,0.28167298321602596,0.4350991054201017,0.44835164835164837,0.34179730624862,0.2886016023306628
2003.0,8225.0,11748.0,8767.0,6069.0,7613.0,0.4489969604863222,0.5543922369765066,0.6452606364777005,0.3351458230350964,0.1630106396952581
2004.0,7823.0,10987.0,8736.0,6787.0,9521.0,0.3470535600153394,0.4339674160371348,0.47630494505494503,0.4219832031825549,0.43713895599201763
2005.0,6437.0,10609.0,7123.0,8143.0,7906.0,0.299984464812801,0.44104062588368365,0.47634423697880107,0.44750092103647304,0.40311156083986843
2006.0,6100.0,10310.0,6824.0,7793.0,8460.0,0.25278688524590165,0.3615906886517944,0.3445193434935522,0.27524701655331707,0.29976359338061465
2007.0,8677.0,13221.0,10894.0,7575.0,8294.0,0.21816295954823095,0.3787913168444142,0.39315219386818434,0.259009900990099,0.18205931999035446
2008.0,7978.0,12942.0,10320.0,8242.0,8073.0,0.18776635748307846,0.444908051305826,0.48401162790697677,0.25272991992234894,0.1508732813080639
2009.0,6800.0,11486.0,7143.0,7408.0,8954.0,0.17691176470588235,0.36366010795751347,0.39269214615707687,0.2250269978401728,0.20582979673888765
2010.0,8884.0,10750.0,5615.0,6570.0,9040.0,0.24696082845565062,0.3413953488372093,0.3693677649154052,0.2045662100456621,0.2
2011.0,6980.0,13025.0,9866.0,8631.0,9689.0,0.2926934097421203,0.2582725527831094,0.1950131765659842,0.25744409686015524,0.22107544638249563
2012.0,7601.0,11845.0,7589.0,6482.0,9543.0,0.269832916721484,0.2859434360489658,0.25220714191593097,0.2932736809626658,0.20203290369904642
2013.0,7943.0,16012.0,11526.0,5707.0,6533.0,0.3350119602165429,0.3009617786660005,0.24292903001908728,0.4249167688803224,0.2577682534823205
2014.0,5868.0,15548.0,10456.0,7068.0,10420.0,0.2770961145194274,0.28318754823771547,0.20390206579954093,0.4725523486134692,0.29203454894433784
2015.0,5870.0,15400.0,11086.0,6451.0,4982.0,0.35877342419080066,0.30948051948051947,0.22641169042035,0.508913346767943,0.3669209152950622
2016.0,4685.0,15840.0,10697.0,7181.0,7436.0,0.42027748132337245,0.30246212121212124,0.24642423109282977,0.5588358167386158,0.44298009682625067
2017.0,7704.0,15510.0,9448.0,4589.0,6788.0,0.28946002076843197,0.29954867827208254,0.27995342929720574,0.6217040749618653,0.48467884502062464
2018.0,9882.0,12887.0,6411.0,6930.0,7402.0,0.277170613236187,0.3253666485605649,0.3191389798783341,0.6128427128427129,0.5281005133747636
2019.0,7951.0,13458.0,7372.0,8286.0,4792.0,0.2955603068796378,0.3760588497547927,0.41983179598480735,0.4979483466087376,0.5569699499165276
2020.0,6963.0,11480.0,5138.0,7964.0,7140.0,0.3244291253769927,0.38893728222996515,0.4815103152977812,0.38686589653440484,0.5813725490196079
2021.0,6629.0,14671.0,8675.0,8866.0,8647.0,0.3483179966812491,0.37407129711676096,0.4204034582132565,0.37401308369050307,0.48849311900080955
2022.0,8525.0,13035.0,6634.0,6555.0,8372.0,0.3115542521994135,0.41626390487149983,0.503014772384685,0.43615560640732265,0.39058767319636883
2023.0,4630.0,12985.0,7082.0,8370.0,6924.0,0.27688984881209505,0.4613785136696188,0.5754024286924597,0.3783751493428913,0.41796649335644137
2024.0,7915.0,13251.0,7688.0,7289.0,9080.0,0.25078963992419456,0.3943853294091012,0.4396462018730489,0.42913979969817534,0.39405286343612334
2025.0,8201.0,12778.0,6443.0,8661.0,8127.0,0.20692598463602,0.42534042886210677,0.5017848828185628,0.43170534580302505,0.4156515319306017
2026.0,8590.0,14682.0,8695.0,10491.0,8905.0,0.18719441210710128,0.441084320937202,0.514318573893042,0.30206843961490804,0.3788882650196519
2027.0,10438.0,14112.0,8498.0,10823.0,8783.0,0.21067254263268825,0.3693310657596372,0.36832195810779006,0.4123625612122332,0.42457019241716953
