FIPS,Rural_urban_continuum_code_2013,Urban_influence_code_2013,Metro_2013,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Unemployment_rate_2018,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018
6079,2,2,1,"140,920","136,769","4,151",2.9,"$70,626 ",93.9
6081,1,1,1,"454,875","444,868","10,007",2.2,"$122,930 ",163.4
6083,2,2,1,"216,698","208,261","8,437",3.9,"$75,646 ",100.5
6085,1,1,1,"1,048,804","1,021,522","27,282",2.6,"$125,933 ",167.4
6087,2,2,1,"142,618","135,634","6,984",4.9,"$84,213 ",111.9
6089,3,2,1,"74,215","70,546","3,669",4.9,"$53,908 ",71.6
6091,8,7,0,"1,278","1,201",77,6.0,"$52,308 ",69.5
6093,6,6,0,"17,410","16,244","1,166",6.7,"$47,560 ",63.2
6095,2,2,1,"209,721","201,553","8,168",3.9,"$82,808 ",110.0
6097,2,2,1,"262,348","255,161","7,187",2.7,"$81,002 ",107.6
6099,2,2,1,"243,538","227,940","15,598",6.4,"$59,616 ",79.2
6101,3,2,1,"45,477","42,085","3,392",7.5,"$57,879 ",76.9
6103,4,5,0,"25,626","24,176","1,450",5.7,"$47,572 ",63.2
6105,8,6,0,"4,707","4,439",268,5.7,"$40,680 ",54.1
6107,2,2,1,"204,589","184,940","19,649",9.6,"$48,763 ",64.8
6109,4,5,0,"21,339","20,357",982,4.6,"$56,500 ",75.1
6111,2,2,1,"425,728","409,662","16,066",3.8,"$84,170 ",111.9
6113,1,1,1,"108,518","103,956","4,562",4.2,"$67,804 ",90.1
6115,3,2,1,"29,078","27,215","1,863",6.4,"$47,504 ",63.1
8001,1,1,1,"269,911","260,542","9,369",3.5,"$70,199 ",97.6
8003,7,11,0,"8,447","8,095",352,4.2,"$42,897 ",59.6
8005,1,1,1,"362,692","351,003","11,689",3.2,"$76,665 ",106.6
8007,7,10,0,"6,928","6,692",236,3.4,"$53,337 ",74.1
8009,9,12,0,"2,229","2,188",41,1.8,"$38,294 ",53.2
8011,7,12,0,"2,017","1,953",64,3.2,"$37,659 ",52.3
8013,2,2,1,"193,822","188,303","5,519",2.8,"$83,591 ",116.2
8014,1,1,1,"39,816","38,651","1,165",2.9,"$96,924 ",134.7
8015,7,11,0,"9,708","9,447",261,2.7,"$56,168 ",78.1
8017,9,12,0,"1,166","1,145",21,1.8,"$54,504 ",75.8
8019,1,1,1,"6,075","5,891",184,3.0,"$74,019 ",102.9
8021,9,12,0,"4,080","3,901",179,4.4,"$38,777 ",53.9
8023,9,12,0,"1,910","1,828",82,4.3,"$31,557 ",43.9
8025,8,7,0,"1,533","1,466",67,4.4,"$35,880 ",49.9
8027,8,7,0,"2,106","2,029",77,3.7,"$55,242 ",76.8
8029,6,6,0,"14,851","14,266",585,3.9,"$46,786 ",65.0
8031,1,1,1,"412,817","399,671","13,146",3.2,"$68,069 ",94.6
8033,9,12,0,"1,197","1,163",34,2.8,"$47,482 ",66.0
8035,1,1,1,"191,240","185,768","5,472",2.9,"$120,670 ",167.7
8037,5,8,0,"36,207","35,218",989,2.7,"$86,896 ",120.8
8039,1,1,1,"14,963","14,538",425,2.8,"$98,247 ",136.6
8041,2,2,1,"337,084","323,816","13,268",3.9,"$67,923 ",94.4
8043,4,5,0,"15,342","14,544",798,5.2,"$47,885 ",66.6
8045,5,8,0,"32,479","31,436","1,043",3.2,"$74,421 ",103.4
8047,1,1,1,"3,731","3,636",95,2.5,"$72,949 ",101.4
8049,7,10,0,"9,917","9,651",266,2.7,"$69,214 ",96.2
8051,7,11,0,"11,012","10,727",285,2.6,"$61,268 ",85.2
8053,9,12,0,459,447,12,2.6,"$62,149 ",86.4
8055,6,6,0,"2,619","2,448",171,6.5,"$38,242 ",53.2
8057,9,10,0,"1,029","1,002",27,2.6,"$51,457 ",71.5
8059,1,1,1,"334,242","324,124","10,118",3.0,"$85,550 ",118.9
8061,9,12,0,963,946,17,1.8,"$44,704 ",62.1
8063,7,11,0,"4,487","4,396",91,2.0,"$48,342 ",67.2
8065,6,4,0,"4,894","4,765",129,2.6,"$51,802 ",72.0
8067,4,5,0,"32,091","31,120",971,3.0,"$66,219 ",92.0
8069,2,2,1,"202,449","196,754","5,695",2.8,"$71,306 ",99.1
8071,7,11,0,"6,572","6,261",311,4.7,"$41,485 ",57.7
8073,8,7,0,"2,494","2,433",61,2.4,"$46,690 ",64.9
8075,7,8,0,"11,287","10,958",329,2.9,"$53,168 ",73.9
8077,3,2,1,"76,060","72,949","3,111",4.1,"$51,132 ",71.1
8079,9,12,0,507,494,13,2.6,"$60,210 ",83.7
8081,7,8,0,"7,579","7,302",277,3.7,"$59,500 ",82.7
8083,6,6,0,"13,338","12,706",632,4.7,"$50,180 ",69.7
8085,4,5,0,"21,941","21,136",805,3.7,"$52,576 ",73.1
8087,6,3,0,"16,473","15,990",483,2.9,"$55,387 ",77.0
8089,6,6,0,"8,635","8,205",430,5.0,"$40,064 ",55.7
8091,9,10,0,"2,400","2,316",84,3.5,"$68,900 ",95.8
8093,1,1,1,"10,859","10,545",314,2.9,"$72,121 ",100.2
8095,9,10,0,"2,693","2,642",51,1.9,"$52,367 ",72.8
8097,7,8,0,"11,363","10,926",437,3.8,"$89,034 ",123.7
8099,7,11,0,"6,387","6,175",212,3.3,"$42,455 ",59.0
8101,3,2,1,"75,912","72,186","3,726",4.9,"$48,308 ",67.1
8103,9,10,0,"2,854","2,727",127,4.4,"$63,411 ",88.1
8105,7,11,0,"5,643","5,370",273,4.8,"$44,171 ",61.4
8107,7,8,0,"16,301","15,861",440,2.7,"$81,033 ",112.6
8109,9,12,0,"3,638","3,469",169,4.6,"$36,869 ",51.2
8111,9,10,0,519,503,16,3.1,"$46,878 ",65.2
8113,9,12,0,"5,520","5,326",194,3.5,"$69,458 ",96.5
8115,9,10,0,"1,253","1,221",32,2.6,"$40,009 ",55.6
8117,5,8,0,"22,315","21,819",496,2.2,"$80,078 ",111.3
8119,2,2,1,"12,651","12,182",469,3.7,"$64,850 ",90.1
8121,9,10,0,"3,225","3,147",78,2.4,"$47,869 ",66.5
8123,2,2,1,"165,290","160,320","4,970",3.0,"$75,629 ",105.1
8125,7,11,0,"6,142","6,017",125,2.0,"$53,253 ",74.0
9001,2,2,1,"480,767","461,750","19,017",4.0,"$91,183 ",119.4
9003,1,1,1,"480,319","459,939","20,380",4.2,"$73,037 ",95.6
9005,4,3,0,"105,014","101,000","4,014",3.8,"$76,304 ",99.9
9007,1,1,1,"93,078","89,811","3,267",3.5,"$88,709 ",116.2
9009,2,2,1,"458,747","438,576","20,171",4.4,"$67,720 ",88.7
9011,2,2,1,"137,463","132,032","5,431",4.0,"$67,790 ",88.8
9013,1,1,1,"86,499","83,402","3,097",3.6,"$89,584 ",117.3
9015,2,2,1,"63,426","60,560","2,866",4.5,"$65,182 ",85.4
10001,3,2,1,"78,124","74,885","3,239",4.1,"$54,980 ",84.0
10003,1,1,1,"298,915","287,977","10,938",3.7,"$69,562 ",106.3
10005,2,2,1,"105,426","101,475","3,951",3.7,"$59,821 ",91.4
11001,1,1,1,"404,610","382,140","22,470",5.6,"$82,533 ",100.0
12001,2,2,1,"137,339","132,846","4,493",3.3,"$51,026 ",92.0
12003,1,1,1,"11,869","11,467",402,3.4,"$52,804 ",95.3
12005,3,2,1,"89,251","85,703","3,548",4.0,"$51,777 ",93.4
12007,6,4,0,"11,304","10,933",371,3.3,"$45,075 ",81.3
12009,2,2,1,"276,558","266,812","9,746",3.5,"$57,612 ",103.9
12011,1,1,1,"1,036,212","1,001,293","34,919",3.4,"$57,200 ",103.2
12013,6,6,0,"5,082","4,873",209,4.1,"$38,323 ",69.1
12015,3,2,1,"70,953","68,108","2,845",4.0,"$52,724 ",95.1
12017,3,2,1,"47,799","45,314","2,485",5.2,"$41,556 ",75.0
12019,1,1,1,"106,276","102,789","3,487",3.3,"$62,835 ",113.4
12021,2,2,1,"177,351","171,255","6,096",3.4,"$70,649 ",127.4
12023,4,3,0,"29,540","28,434","1,106",3.7,"$46,195 ",83.3
12027,6,5,0,"13,955","13,419",536,3.8,"$37,233 ",67.2
12029,6,7,0,"5,773","5,529",244,4.2,"$37,148 ",67.0
12031,1,1,1,"487,844","470,411","17,433",3.6,"$55,733 ",100.5
12033,2,2,1,"145,298","140,151","5,147",3.5,"$50,644 ",91.4
12035,2,2,1,"47,077","45,173","1,904",4.0,"$58,975 ",106.4
12037,6,6,0,"4,840","4,673",167,3.5,"$40,297 ",72.7
12039,2,2,1,"18,500","17,654",846,4.6,"$42,259 ",76.2
12041,2,2,1,"6,869","6,611",258,3.8,"$42,186 ",76.1
12043,6,4,0,"5,206","4,998",208,4.0,"$38,680 ",69.8
12045,3,2,1,"6,122","5,852",270,4.4,"$45,426 ",81.9
12047,6,6,0,"4,296","4,114",182,4.2,"$36,299 ",65.5
12049,6,3,0,"8,789","8,322",467,5.3,"$39,169 ",70.7
12051,4,3,0,"15,599","14,652",947,6.1,"$44,391 ",80.1
12053,1,1,1,"70,465","67,280","3,185",4.5,"$45,884 ",82.8
12055,3,2,1,"36,472","34,716","1,756",4.8,"$39,994 ",72.1
12057,1,1,1,"735,690","710,804","24,886",3.4,"$58,361 ",105.3
12059,6,6,0,"6,983","6,706",277,4.0,"$38,040 ",68.6
12061,3,2,1,"65,104","62,318","2,786",4.3,"$58,228 ",105.0
12063,6,6,0,"17,542","16,846",696,4.0,"$39,545 ",71.3
12065,2,2,1,"5,582","5,373",209,3.7,"$46,332 ",83.6
12067,9,12,0,"2,847","2,756",91,3.2,"$42,689 ",77.0
12069,1,1,1,"155,273","149,818","5,455",3.5,"$52,447 ",94.6
12071,2,2,1,"342,684","331,050","11,634",3.4,"$56,343 ",101.6
12073,2,2,1,"154,655","149,478","5,177",3.3,"$51,046 ",92.1
12075,6,6,0,"16,926","16,277",649,3.8,"$39,037 ",70.4
12077,8,7,0,"2,643","2,543",100,3.8,"$40,814 ",73.6
12079,6,6,0,"7,348","7,062",286,3.9,"$38,249 ",69.0
12081,2,2,1,"177,777","171,752","6,025",3.4,"$59,587 ",107.5
12083,2,2,1,"135,746","129,921","5,825",4.3,"$44,517 ",80.3
12085,2,2,1,"74,159","71,563","2,596",3.5,"$61,592 ",111.1
12086,1,1,1,"1,383,302","1,330,023","53,279",3.9,"$52,043 ",93.9
12087,4,3,0,"45,307","44,120","1,187",2.6,"$67,094 ",121.0
12089,1,1,1,"39,910","38,629","1,281",3.2,"$66,898 ",120.7
12091,3,2,1,"96,270","93,435","2,835",2.9,"$62,779 ",113.3
12093,4,3,0,"17,697","17,037",660,3.7,"$42,258 ",76.2
12095,1,1,1,"750,160","726,303","23,857",3.2,"$58,037 ",104.7
12097,1,1,1,"177,919","171,463","6,456",3.6,"$50,473 ",91.1
12099,1,1,1,"731,004","704,955","26,049",3.6,"$61,735 ",111.4
12101,1,1,1,"231,983","223,077","8,906",3.8,"$53,788 ",97.0
