FIPS,staffed_beds,licensed_beds,icu_beds
18005,225,0,17
18009,15,0,0
18011,68,0,8
18017,165,0,5
18019,253,0,22
18021,25,0,0
18023,25,0,0
18027,42,0,5
18029,102,0,8
18031,25,0,0
18033,37,0,8
18035,368,0,36
18037,111,0,26
18039,338,0,35
18043,269,236,16
18049,25,0,4
18051,25,0,5
18053,347,0,19
18055,25,0,5
18057,1033,0,25
18059,73,0,24
18061,25,0,4
18063,266,0,28
18065,48,0,10
18067,250,0,21
18069,36,0,0
18071,91,0,7
18073,25,0,4
18075,25,0,0
18077,238,0,6
18079,25,0,0
18081,195,0,6
18083,99,0,30
18085,88,0,14
18087,25,0,0
18089,2067,0,181
18091,278,0,34
18093,50,0,6
18095,303,0,38
18097,4230,0,318
18099,157,0,7
18103,25,0,4
18105,357,0,24
18107,29,0,5
18109,199,0,0
18113,47,0,0
18117,24,0,0
18123,25,0,4
18127,340,0,32
18131,25,0,0
18133,25,0,6
18135,25,0,0
18137,25,0,7
18139,25,0,0
18141,1582,0,74
18143,25,0,4
18145,46,0,6
18149,15,0,1
18151,25,0,2
18153,25,0,4
18157,576,0,30
18159,25,0,0
18163,1053,0,127
18165,25,0,6
18167,494,0,54
18169,18,0,0
18171,16,0,0
18173,454,0,24
18175,25,0,0
18177,376,0,30
18179,62,0,7
18181,25,0,0
18183,30,0,0
19001,25,25,0
19003,22,22,0
19005,25,25,0
19007,25,45,3
19009,25,25,0
19011,25,25,0
19013,384,675,29
19015,25,42,0
19017,37,50,0
19019,85,120,0
19021,25,35,0
19025,25,25,2
19027,66,116,6
19029,25,33,4
19033,205,346,18
19035,61,83,0
19037,8,18,0
19039,25,25,0
19041,49,99,0
19043,40,50,0
19045,120,265,10
19047,25,25,0
19049,25,25,0
19051,25,25,0
19053,11,25,0
19055,25,25,0
19057,136,213,12
19059,44,49,0
19061,257,470,18
19063,22,25,0
19065,50,50,0
19067,25,25,0
19069,25,25,0
19071,25,25,0
19073,25,25,0
19075,25,80,0
19077,25,25,0
19079,25,25,0
19081,25,25,0
19083,19,35,0
19085,25,25,0
19087,25,74,0
19089,18,19,0
19091,17,49,0
19093,25,25,0
19095,25,25,0
19097,25,25,0
19099,48,68,0
19101,25,25,0
19103,1152,1383,18
19105,22,22,0
19107,25,25,0
19109,24,25,0
19111,99,121,3
19113,495,994,36
19117,25,25,0
19119,11,0,0
19121,25,25,0
19123,25,33,0
19125,50,50,3
19127,41,125,0
19131,25,25,0
19133,25,25,0
19135,25,25,0
19137,25,25,8
19139,45,48,5
19141,39,39,0
19143,25,25,0
19145,50,50,2
19147,24,47,0
19149,25,25,0
19151,25,25,0
19153,1869,1781,84
19155,255,514,29
19157,49,49,5
19159,16,16,0
19161,25,25,0
19163,496,641,39
19165,25,25,0
19167,94,96,0
19169,175,237,14
19175,25,25,4
19177,25,25,0
19179,88,217,11
19183,25,25,0
19185,25,25,0
19187,46,200,8
19191,25,25,0
19193,316,830,34
19197,47,47,0
20001,25,25,0
20003,12,12,0
20005,25,25,4
20007,32,35,0
20009,76,81,4
20013,25,25,0
20015,108,132,16
20019,17,25,0
20021,46,61,0
20023,16,16,0
20025,39,43,0
20027,17,25,0
20029,22,25,0
20031,25,25,0
20033,12,12,0
20035,53,74,4
20037,89,158,12
20039,21,24,0
20041,34,60,0
20045,110,148,10
20047,12,12,0
20051,149,194,34
20053,18,20,0
20055,90,100,8
20057,60,99,10
20059,44,44,5
20061,96,92,6
20063,21,21,0
20065,20,20,0
20067,26,26,0
20071,18,18,0
20073,25,25,0
20075,25,25,0
20077,25,0,0
20079,134,163,6
20081,13,13,0
20083,25,13,0
20085,12,25,0
20087,25,38,0
20089,24,25,0
20091,1519,1800,97
20093,25,25,0
20095,25,25,0
20097,15,15,0
20099,46,99,5
20101,25,25,0
20103,46,100,10
20105,10,14,0
20109,25,25,0
20111,21,25,6
20113,81,95,7
