,Date,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplaces,Residential,FIPS
175,2020-04-05,-48.0,-17.0,-52.0,-40.0,-27.0,15.0,48005
176,2020-04-11,-46.0,-4.0,-20.0,-38.0,-29.0,13.0,48005
177,2020-03-29,-49.0,-31.0,33.0,-76.0,-42.0,13.0,24003
178,2020-04-05,-51.0,-33.0,41.0,-80.0,-45.0,14.0,24003
179,2020-04-11,-47.0,-19.0,25.0,-80.0,-41.0,15.0,24003
180,2020-03-29,-55.0,-34.0,12.0,-45.0,-39.0,15.0,27003
181,2020-04-05,-42.0,-12.0,187.0,-16.0,-38.0,12.0,27003
182,2020-04-11,-36.0,2.0,118.0,-9.0,-36.0,14.0,27003
183,2020-03-29,-43.0,2.0,,,-21.0,,37007
184,2020-04-05,-50.0,-1.0,,,-31.0,,37007
185,2020-04-11,-50.0,-1.0,,,-28.0,,37007
186,2020-04-05,,,,,-26.0,,31003
187,2020-04-11,,,,,-26.0,,31003
188,2020-03-29,-75.0,-20.0,,,-43.0,,26009
189,2020-04-05,-73.0,-8.0,,,-40.0,,26009
190,2020-04-11,-73.0,-8.0,,,-43.0,,26009
191,2020-03-29,-38.0,-13.0,-35.0,-8.0,-27.0,20.0,4001
192,2020-04-05,-38.0,-8.0,-23.0,-16.0,-30.0,17.0,4001
193,2020-04-11,-80.0,-54.0,-59.0,-35.0,-34.0,16.0,4001
194,2020-03-29,-21.0,26.0,,,-24.0,,19007
195,2020-04-05,-7.0,52.0,,,-26.0,,19007
196,2020-04-11,-7.0,52.0,,,-14.0,,19007
197,2020-03-29,-28.0,-16.0,,,-19.0,,13001
198,2020-04-05,-44.0,-20.0,,,-19.0,,13001
199,2020-04-11,-44.0,-20.0,,,-16.0,,13001
200,2020-03-29,-20.0,2.0,,,-30.0,,51011
201,2020-04-05,-21.0,12.0,,,-28.0,,51011
202,2020-04-11,-21.0,12.0,,,-20.0,,51011
203,2020-03-29,-48.0,-31.0,-67.0,,-29.0,10.0,48007
204,2020-04-05,-46.0,-35.0,-59.0,,-34.0,10.0,48007
205,2020-04-11,-45.0,-31.0,-57.0,,-27.0,10.0,48007
206,2020-03-29,-52.0,-30.0,14.0,-36.0,-40.0,14.0,8005
207,2020-04-05,-48.0,-25.0,41.0,-31.0,-42.0,13.0,8005
208,2020-04-11,-45.0,-12.0,22.0,-27.0,-41.0,16.0,8005
209,2020-03-29,,,,,-27.0,,48009
210,2020-04-05,,,,,-38.0,,48009
211,2020-04-11,,,,,-42.0,,48009
212,2020-03-29,-60.0,-28.0,,,-44.0,,8007
213,2020-04-05,-58.0,-20.0,,,-46.0,,8007
214,2020-04-11,-58.0,-20.0,,,-44.0,,8007
215,2020-03-29,-41.0,-9.0,,,-36.0,,26011
216,2020-04-05,-28.0,13.0,,,-40.0,,26011
217,2020-04-11,-28.0,13.0,,,-35.0,,26011
218,2020-03-29,-22.0,-7.0,,,-11.0,,5001
219,2020-04-05,-23.0,8.0,,,-26.0,,5001
220,2020-04-11,-23.0,8.0,,,-24.0,,5001
221,2020-03-29,-62.0,-32.0,8.0,-82.0,-50.0,16.0,51013
222,2020-04-05,-67.0,-35.0,-1.0,-84.0,-55.0,18.0,51013
223,2020-04-11,-67.0,-23.0,-21.0,-81.0,-51.0,19.0,51013
224,2020-03-29,-27.0,-17.0,,,-26.0,18.0,42005
