,Parks,Parks,Parks
Date,2020-03-29,2020-04-05,2020-04-11
FIPS,,,
13071,,,
13073,-20.0,-19.0,4.0
13075,,,
13077,-56.0,,
13079,,,
13081,,,
13083,,,
13085,17.0,6.0,6.0
13087,,,
13089,-15.0,-12.0,26.0
13091,,,
13093,,,
13095,-37.0,-44.0,-33.0
13097,-2.0,-3.0,8.0
13099,,,
13103,,,
13105,,,
13107,,,
13109,,,
13111,38.0,16.0,66.0
13113,25.0,20.0,70.0
13115,28.0,28.0,28.0
13117,3.0,4.0,68.0
13119,-22.0,-29.0,-17.0
13121,-44.0,-49.0,-38.0
13123,,,
13127,-32.0,-39.0,-9.0
13129,,,
13131,,,
13133,,,
13135,-9.0,-8.0,36.0
13137,,,
13139,51.0,59.0,85.0
13141,,,
13143,-29.0,-37.0,-35.0
13145,,0.0,0.0
13147,,,
13149,,,
13151,22.0,-34.0,-6.0
13153,-6.0,-23.0,-8.0
13155,,,
13157,,,
13159,,,
13161,,,
13163,,,
13165,,,
13167,,,
13169,,,
13171,,,
13173,,,
13175,,,
13177,,,
13179,-17.0,-57.0,-22.0
13181,,,
13183,,,
13185,-13.0,-42.0,-33.0
13187,,,
13189,,,
13191,,,
13193,,,
13195,,,
13197,,,
13199,,,
13201,,,
13205,,,
13207,11.0,-2.0,-2.0
13209,,,
13211,,,
13213,,,
13215,19.0,-8.0,12.0
13217,-13.0,-21.0,-8.0
13219,,,
13221,,,
13223,-55.0,-47.0,-47.0
13225,,,
13227,,,
13229,,,
13231,,,
13233,,,
13235,,,
13237,,,
13241,37.0,11.0,11.0
13243,,,
13245,26.0,3.0,-4.0
13247,-18.0,-4.0,-4.0
13249,,,
13251,,,
13253,,,
13255,,,
13257,,,
13261,,,
13263,-9.0,-9.0,-9.0
13267,,,
13269,,,
13271,,,
13273,,,
13275,,,
13277,,,
13279,,,
13281,,,
13283,,,
13285,,,
13287,,,
13289,,,
13291,22.0,-10.0,-10.0
13293,,,
13295,-28.0,-57.0,-33.0
13297,,,
13299,,,
13301,,,
13303,,,
13305,,,
13311,-16.0,-42.0,-28.0
13313,-45.0,4.0,6.0
13315,,,
13317,,,
13319,,,
13321,,,
15001,-77.0,-79.0,-72.0
15003,-58.0,-61.0,-62.0
15007,-74.0,-69.0,-73.0
15009,-73.0,-77.0,-76.0
16001,33.0,42.0,24.0
16005,-6.0,-10.0,-40.0
16007,,,
16009,,,
16011,,,
16013,,,
16015,-50.0,-12.0,-12.0
16017,-22.0,-22.0,-22.0
16019,59.0,34.0,16.0
16021,,,
16027,35.0,42.0,24.0
16029,,,
16031,,,
16035,,,
16039,,,
16041,,,
16043,-33.0,-33.0,-38.0
16045,,,
16047,,,
16049,,,
16051,-56.0,-63.0,-62.0
16053,,,
16055,26.0,15.0,82.0
16057,,,
16059,,,
16063,,,
16065,,,
16067,,,
16069,-24.0,-24.0,-24.0
16071,,,
16073,,,
16075,,,
16077,,,
16079,,,
16081,,,
16083,-6.0,7.0,-16.0
16085,-57.0,-60.0,-64.0
16087,,,
17001,,,
17003,,,
17005,,,
17007,,,
17011,,,
17015,,,
17017,,,
17019,44.0,112.0,63.0
17021,,,
17023,,,
17025,,,
17027,,,
17029,,,
17031,-45.0,0.0,-6.0
17033,,,
17035,,,
17037,,,
17039,,,
17041,,,
17045,,,
17047,,,
17049,,,
17051,,,
17053,,,
17055,,,
17057,,,
17059,,,
17061,,,
17063,,,
17065,,,
17067,,,
17071,,,
17073,,,
17075,,,
17077,22.0,-9.0,8.0
17079,,,
17081,,,
17083,,,
17085,,,
17087,-20.0,-20.0,-20.0
17089,-20.0,104.0,74.0
17091,,,
17093,-25.0,6.0,6.0
17095,,,
17097,-36.0,58.0,47.0
17101,,,
17103,,,
17105,,,
17107,,,
17109,,,
17111,-26.0,89.0,70.0
17113,1.0,73.0,59.0
17115,,,
17117,,,
17119,58.0,4.0,30.0
17121,,,
17123,,,
17125,,,
17127,,,
17129,,,
17131,,,
17133,,,
17135,,,
17137,,,
17139,,,
17141,,,
17143,-16.0,57.0,23.0
17145,,,
17147,,,
17149,,,
17153,,,
17155,,,
17157,,,
17159,,,
17161,-55.0,-23.0,-31.0
17163,52.0,-15.0,31.0
17165,,,
17167,31.0,49.0,46.0
17169,,,
17173,,,
17175,,,
17177,,,
17179,-15.0,4.0,-4.0
17181,,,
17183,,,
17185,,,
17187,,,
17189,,,
17191,,,
17193,,,
17195,,,
17197,-36.0,51.0,39.0
17199,-45.0,-45.0,-45.0
17201,-40.0,60.0,20.0
17203,,,
18001,,,
18003,13.0,121.0,76.0
18005,10.0,-12.0,23.0
18007,,,
18009,,,
18011,,,
18013,,,
18015,,,
18017,,,
