,fips,pclon10,pclat10
258,8021,-105.989049,37.195652
259,8023,-105.448477,37.281779
260,8025,-103.857439,38.188547
261,8027,-105.381557,38.134215999999995
262,8029,-107.91055300000001,38.798565
263,8031,-104.955068,39.72143
264,8033,-108.75741000000001,37.740817
265,8035,-104.87971200000001,39.48527
266,8037,-106.717771,39.599453000000004
267,8039,-104.51913,39.382868
268,8041,-104.758477,38.873669
269,8043,-105.20653200000001,38.426058000000005
270,8045,-107.53935600000001,39.507560999999995
271,8047,-105.48021000000001,39.85702
272,8049,-105.9754,40.050388
273,8051,-106.944723,38.657886
274,8053,-107.29653,37.996875
275,8055,-104.884201,37.616312
276,8057,-106.291292,40.692851
277,8059,-105.128819,39.720524
278,8061,-102.68057900000001,38.470657
279,8063,-102.435733,39.309763000000004
280,8065,-106.30806100000001,39.245870000000004
281,8067,-107.806184,37.265198
282,8069,-105.099218,40.504546000000005
283,8071,-104.503149,37.196601
284,8073,-103.613697,39.173232
285,8075,-103.187715,40.639399
286,8077,-108.543768,39.092851
287,8079,-106.93558600000001,37.798623
288,8081,-107.625859,40.515239
289,8083,-108.557116,37.370816999999995
290,8085,-107.934568,38.479141999999996
291,8087,-103.78151700000001,40.256023
292,8089,-103.657432,38.024096
293,8091,-107.746232,38.139834
294,8093,-105.623144,39.311718
295,8095,-102.387354,40.599517
296,8097,-106.907765,39.232543
297,8099,-102.547035,38.083771999999996
298,8101,-104.645147,38.263684999999995
299,8103,-108.280174,40.051033000000004
300,8105,-106.238805,37.616658
301,8107,-106.89953500000001,40.453133
302,8109,-106.019489,37.915302000000004
303,8111,-107.67398899999999,37.804646000000005
304,8113,-107.96003400000001,37.974202000000005
305,8115,-102.32767,40.960246000000005
306,8117,-106.054579,39.573131
307,8119,-105.14053200000001,38.94355
308,8121,-103.156814,40.092526
309,8123,-104.788507,40.328082
310,8125,-102.486935,40.069472999999995
311,9001,-73.364521,41.207889
312,9003,-72.717282,41.761943
313,9005,-73.187494,41.727851
314,9007,-72.57140799999999,41.478564
315,9009,-72.941497,41.396052000000005
316,9011,-72.09768299999999,41.443373
317,9013,-72.37209,41.842762
318,9015,-71.995072,41.804225
319,10001,-75.558604,39.12322
320,10003,-75.634376,39.68502
321,10005,-75.346649,38.662387
322,11001,-77.01446800000001,38.910270000000004
323,12001,-82.386845,29.665903000000004
324,12003,-82.185477,30.288432
325,12005,-85.660217,30.206925
326,12007,-82.128192,29.953428999999996
327,12009,-80.690979,28.232195
328,12011,-80.227135,26.134058
329,12013,-85.122189,30.463143
330,12015,-82.119946,26.954793
331,12017,-82.453512,28.863598
332,12019,-81.79941,30.084386
333,12021,-81.699625,26.199831
334,12023,-82.660566,30.126051
335,12027,-81.864094,27.189369
336,12029,-83.056329,29.634179
337,12031,-81.622853,30.300302000000002
338,12033,-87.274788,30.485314000000002
339,12035,-81.224735,29.523494
340,12037,-84.822838,29.786787
341,12039,-84.581397,30.59828
342,12041,-82.808262,29.704639
343,12043,-81.185404,26.896029
344,12045,-85.259478,29.988578999999998
345,12047,-82.997218,30.501534000000003
346,12049,-81.815432,27.548312
347,12051,-81.20257099999999,26.705392
348,12053,-82.496961,28.50485
349,12055,-81.442555,27.460415
350,12057,-82.401275,27.976529
351,12059,-85.758558,30.847684
352,12061,-80.44058100000001,27.671827
353,12063,-85.21611899999999,30.800240000000002
354,12065,-83.886291,30.504031
355,12067,-83.179508,30.065417999999998
356,12069,-81.752026,28.735689
357,12071,-81.858144,26.574991999999998
358,12073,-84.270371,30.466103000000004
359,12075,-82.666319,29.379995
360,12077,-84.905169,30.399795
361,12079,-83.430563,30.47263
362,12081,-82.532775,27.477054
363,12083,-82.123367,29.140116
364,12085,-80.244395,27.1443
365,12086,-80.298888,25.774565
366,12087,-81.26394499999999,24.739678
367,12089,-81.647153,30.607962
368,12091,-86.567105,30.542828999999998
369,12093,-80.822153,27.272057
370,12095,-81.384377,28.532854999999998
371,12097,-81.383484,28.266765000000003
372,12099,-80.146119,26.617075
373,12101,-82.51608,28.261606
374,12103,-82.727651,27.899794
375,12105,-81.799975,28.03114
376,12107,-81.720431,29.609299
377,12109,-81.421504,29.977088000000002
378,12111,-80.353183,27.338067
379,12113,-87.03695400000001,30.549592999999998
380,12115,-82.423893,27.208205
381,12117,-81.310445,28.697834000000004
382,12119,-82.03546899999999,28.825768
383,12121,-82.987546,30.214688
384,12123,-83.59796700000001,30.064881
385,12125,-82.35691899999999,30.010768
386,12127,-81.123944,29.073725
387,12129,-84.331546,30.185525
388,12131,-86.190665,30.583728999999998
389,12133,-85.625419,30.650717999999998
390,13001,-82.338473,31.77388
391,13003,-82.886363,31.317301
392,13005,-82.466071,31.547221
393,13007,-84.437989,31.307754
394,13009,-83.245659,33.084849
395,13011,-83.506647,34.351255
396,13013,-83.7275,33.993054
397,13015,-84.829122,34.208434999999994
398,13017,-83.248636,31.727638
399,13019,-83.252459,31.238588
400,13021,-83.687184,32.832049
401,13023,-83.33214,32.401368
402,13025,-81.96996999999999,31.216648
403,13027,-83.54009,30.842082
404,13029,-81.37595400000001,31.979537
405,13031,-81.76241999999999,32.417702
406,13033,-81.998447,33.101987
407,13035,-83.97000200000001,33.296102000000005
408,13037,-84.66844499999999,31.527411999999998
409,13039,-81.635079,30.814165000000003
410,13043,-82.06230500000001,32.399861
411,13045,-85.044673,33.622192999999996
412,13047,-85.17282,34.927795
413,13049,-82.023033,30.780002000000003
414,13051,-81.126449,32.036008
415,13053,-84.899254,32.344231
416,13055,-85.344167,34.495509000000006
417,13057,-84.496595,34.169606
418,13059,-83.380863,33.950406
419,13061,-85.013368,31.633549
420,13063,-84.362238,33.553383000000004
421,13065,-82.740932,31.017888
422,13067,-84.557878,33.943253999999996
423,13069,-82.84066700000001,31.516
424,13071,-83.768671,31.180954999999997
425,13073,-82.165654,33.516220000000004
426,13075,-83.424499,31.149846999999998
427,13077,-84.736399,33.379117
428,13079,-83.934002,32.707681
