fips,num_neighbors,center_00,center_10,pop_00,pop_10
47049,6,40.97853923953925,39.47853902055538,41.48049253031594,41.366761337526306
47051,7,42.99615157993254,43.06735314059214,43.247482467505634,43.404829477746944
47053,6,39.43783985138409,40.238927481466625,39.66424480595749,39.7089905843579
47055,6,43.8624118549048,44.51519052156408,44.08743017487777,44.56470855135232
47057,7,35.16361055652917,35.56361436585569,35.601240593632426,35.60933273010688
47059,6,37.929210823212586,36.342224040539655,38.922850021574796,39.00312927842361
47061,5,34.49294644367781,33.567282910600014,35.08738476586423,35.07094760834123
47063,5,31.28924289052793,32.20486955202481,31.945280023798734,31.99702358806083
47065,10,41.10959519138128,41.952892526923506,39.803941552975274,39.74799144810139
47067,5,38.208670715491415,36.855554764791314,37.93198253278415,37.97191972038017
47069,8,45.964349283886634,45.665771513194336,47.36577330425389,47.6399852002155
47071,8,46.80489412338438,46.58075718502336,46.860149245569694,46.92161396634293
47073,7,41.34565134441913,42.04725134848137,41.562434626905436,41.57500711761417
47075,6,39.0987057452232,40.703262760505545,39.21616826140127,39.41706301096404
47077,5,37.732668548213645,37.67268739058791,37.57281122522345,37.578219424645255
47079,6,40.82672947443069,41.19162122423919,41.8465749596537,41.92539554761137
47081,6,40.35106266153201,40.56052999860947,40.77666858430643,40.836477378586544
47083,5,33.63940045989977,33.86846649150978,34.413872500449614,34.653886086659625
47085,5,36.015926856642686,35.244254222397615,36.43956976072384,36.47630462641094
47087,5,30.222173293650297,29.994889609054024,29.78056037573891,29.771564067652555
47089,5,30.145115848029654,31.57747638897169,29.477235973656718,29.479532951199822
47091,7,39.59889117508173,38.24801804189798,40.88735395063354,41.14677906098751
47093,8,39.76701838335596,41.60467854682437,38.572284810105366,38.57572322559389
47095,5,34.96305119169361,32.259639024776085,35.342870688254735,35.505235519816985
47097,5,37.356678588124794,38.02217227401593,36.7116142003473,37.067919240993206
47099,5,40.756214904583416,40.19598915716984,40.81686868751863,40.88959333431303
47101,5,37.578649962746994,37.13048186344672,37.791952103900215,38.00701265782867
47103,7,41.50693849914741,41.19375645766843,41.99045615354951,42.053687612042246
47105,5,33.44192452938641,35.96247984572596,33.165258215170574,32.81171704100207
47107,6,36.13780145749041,36.50076661570323,35.85929421728082,35.7319127948121
47109,4,32.55409763030484,33.1656594809951,32.93786510876542,32.971896162208765
47111,7,34.04797939738877,33.2391403664857,35.2061710268046,35.26124047080955
47113,7,41.110546510842575,41.21665239259891,39.6035547907994,39.301862626251726
47115,6,37.11782051968343,38.25556285647272,37.12173806397107,37.391147220862045
47117,6,41.25157804197507,39.96372374810604,41.37170806886875,40.90836929471307
47119,6,42.221160887372264,41.07695469313863,41.92345317587252,41.84904691679094
47121,5,36.880514439897254,34.66536596729167,36.32785334776642,36.0816911217157
47123,6,41.082203267302766,38.40509183434588,42.176293543585494,42.192176633305316
47125,7,40.79360696324365,41.22451521263303,40.30618963438492,40.4883868226735
47127,4,26.957204938398093,28.749324822495936,26.07637640459452,26.332430043379112
47129,5,36.87659269234764,36.96746252232676,37.315049917866176,37.34933203568047
47131,6,35.488570724365225,35.88679635053047,35.29767961822788,35.3652243770707
47133,5,30.6236740250512,31.817690346552883,29.871175088927806,29.746820857282348
47135,6,40.73621462454894,39.658091221235544,40.92858502825005,41.1572290253633
47137,6,34.403706040941444,34.10423994617164,34.85341850588364,35.062803170355046
47139,6,39.396898732485006,37.978944307532764,39.15625270429378,39.23769485275051
47141,7,38.0889808424753,38.02987310394878,36.94779510799431,36.798532711054875
47143,5,37.33841215959781,35.90778542084061,38.042793494997944,38.10483530218327
47145,8,42.18424323793238,42.45495265093907,42.25704633665268,42.15838953627278
47147,7,38.89830214474635,39.56516917632189,38.73701778027146,38.72502621048802
47149,7,43.26483126702357,42.81090990774643,43.150778404706976,42.65931976442228
47151,7,42.68662849557601,40.96648640153783,43.362549781822544,43.660600454173085
47153,6,37.174025887407886,34.34977787905985,37.56528215295012,37.38231398498107
47155,6,42.36008610102396,38.56857851838285,42.94742734764171,43.03698051002814
47157,6,47.10935739282936,46.59715129147963,44.062150561609464,43.34199678528119
47159,6,32.46853388196922,31.690322911094203,33.871113830694284,34.12721546710309
47161,7,42.118421314344516,42.04023646317524,42.27349785102176,42.49565826942956
47163,7,34.71928189114131,35.71498937112036,33.63461277166579,33.625032528589195
47165,7,36.56543438465337,37.3964471050774,36.53110886997214,36.38952367122677
47167,6,45.04861652148876,43.11102326049838,44.06061778672953,43.80318654223348
47169,4,25.919076166656268,25.9729284267222,27.01768379455871,27.06475086669823
47171,6,30.709540527021478,30.5714265989333,31.057431480377574,31.101944502718425
47173,5,32.310272000060664,32.16749700454607,32.896180349245526,32.89523615085569
47175,5,34.18329331950447,33.38056432283003,33.80551210030442,33.93274715984362
47177,7,36.853138459781704,35.33651123406127,37.2218115122726,37.05358750401168
47179,5,30.31346207101517,32.5082284394694,29.146878822492717,29.12132916219819
47181,6,42.845306367331034,41.657088756435186,43.20371585291766,43.21879898555107
47183,6,41.190419494961,42.48606178152917,41.65511475394843,41.744308211361975
47185,5,33.56282461375061,33.138805814059054,32.230508251978975,32.34436759099665
47187,7,43.01131085286458,43.79424850523885,41.998596547656184,41.551392707405554
47189,7,37.70013620399844,38.60868142511341,38.70102276939916,38.80241403051798
48001,5,55.634214471324086,54.12037365023302,54.66306741612651,54.428329301446595
48003,6,64.7117467409833,65.77315172526458,63.17616502874167,63.11865014929439
48005,8,64.35890320236022,61.84983561117634,66.88734186572486,67.04806983420717
48007,4,48.40203104020272,51.09818248440868,47.87275867885314,47.68866663857219
48009,5,50.39807367174635,50.33751721547059,50.39364838308582,50.41248676494187
48011,5,53.6585726309488,51.47566943574351,55.00853647534969,54.85513320473658
