FIPS,03/29/20_grocery,03/29/20_parks,03/29/20_residential,03/29/20_transit,03/29/20_workplaces,03/29/20retail,04/05/20_grocery,04/05/20_parks,04/05/20_residential,04/05/20_transit,04/05/20_workplaces,04/05/20retail,04/11/20_grocery,04/11/20_parks,04/11/20_residential,04/11/20_transit,04/11/20_workplaces,04/11/20retail
6015,-11.0,-26.0,,,-29.0,-31.0,-11.0,-32.0,,,-30.0,-32.0,-11.0,20.0,,,-23.0,-31.0
6017,-37.0,-35.0,13.0,-50.0,-48.0,-58.0,-45.0,-83.0,15.0,-53.0,-54.0,-68.0,-27.0,-45.0,14.0,-42.0,-48.0,-57.0
6019,-14.0,-27.0,11.0,-43.0,-31.0,-40.0,-16.0,-66.0,13.0,-53.0,-35.0,-45.0,-3.0,-46.0,13.0,-39.0,-31.0,-39.0
6021,-14.0,-11.0,2.0,-20.0,-36.0,-23.0,25.0,-36.0,2.0,-27.0,-33.0,-54.0,25.0,-36.0,2.0,-16.0,-26.0,-47.0
6023,-23.0,-10.0,11.0,-48.0,-35.0,-48.0,-25.0,-29.0,12.0,-58.0,-38.0,-49.0,-14.0,-18.0,12.0,-55.0,-35.0,-45.0
6025,-31.0,-65.0,16.0,-62.0,-32.0,-53.0,-29.0,-74.0,17.0,-64.0,-35.0,-57.0,-30.0,-77.0,22.0,-67.0,-37.0,-60.0
6027,-37.0,-35.0,,,-39.0,-75.0,-37.0,-54.0,,,-49.0,-81.0,-37.0,-52.0,,,-43.0,-81.0
6029,-17.0,-16.0,11.0,-37.0,-30.0,-43.0,-13.0,-27.0,11.0,-40.0,-32.0,-43.0,-2.0,-24.0,13.0,-37.0,-29.0,-39.0
6031,-14.0,-12.0,10.0,-43.0,-27.0,-34.0,-12.0,-52.0,11.0,-59.0,-28.0,-36.0,3.0,-39.0,11.0,-49.0,-27.0,-34.0
6033,-13.0,-42.0,16.0,-42.0,-33.0,-38.0,-2.0,-49.0,15.0,-32.0,-38.0,-39.0,5.0,-40.0,17.0,-42.0,-36.0,-33.0
6035,-8.0,,,,-22.0,-30.0,-3.0,,,,-19.0,-37.0,-3.0,,,,-19.0,-37.0
6037,-27.0,-48.0,17.0,-54.0,-41.0,-51.0,-27.0,-59.0,17.0,-57.0,-43.0,-53.0,-19.0,-54.0,20.0,-52.0,-43.0,-51.0
6039,-25.0,-20.0,11.0,-30.0,-30.0,-39.0,-30.0,-59.0,12.0,-28.0,-34.0,-47.0,-10.0,-29.0,13.0,-26.0,-32.0,-30.0
6041,-30.0,-59.0,17.0,-61.0,-42.0,-61.0,-38.0,-70.0,18.0,-65.0,-47.0,-64.0,-29.0,-63.0,19.0,-55.0,-46.0,-59.0
6043,-23.0,-72.0,,,-45.0,-75.0,-54.0,-87.0,,,-53.0,-86.0,-54.0,-83.0,,,-51.0,-86.0
6045,-29.0,-39.0,17.0,-44.0,-32.0,-47.0,-26.0,-51.0,16.0,-56.0,-34.0,-46.0,-12.0,-51.0,17.0,-39.0,-31.0,-39.0
6047,-18.0,-1.0,11.0,-37.0,-26.0,-34.0,-24.0,-60.0,13.0,-48.0,-31.0,-44.0,-8.0,-25.0,13.0,-34.0,-29.0,-38.0
6049,-9.0,,,,-26.0,-59.0,4.0,,,,-26.0,-59.0,4.0,,,,-28.0,-59.0
6051,-60.0,-57.0,,,-73.0,-100.0,-67.0,-61.0,,,-73.0,-100.0,-67.0,-46.0,,,-70.0,-96.0
6053,-19.0,-48.0,14.0,-45.0,-43.0,-46.0,-29.0,-79.0,16.0,-50.0,-46.0,-53.0,-10.0,-56.0,13.0,-32.0,-33.0,-45.0
6055,-34.0,-24.0,18.0,-45.0,-51.0,-53.0,-37.0,-52.0,19.0,-55.0,-52.0,-59.0,-28.0,-14.0,16.0,-34.0,-50.0,-51.0
6057,-26.0,-48.0,15.0,-73.0,-41.0,-56.0,-38.0,-70.0,17.0,-83.0,-48.0,-66.0,-24.0,-48.0,13.0,-71.0,-41.0,-53.0
6059,-24.0,-31.0,17.0,-55.0,-44.0,-52.0,-26.0,-53.0,18.0,-59.0,-46.0,-55.0,-13.0,-42.0,19.0,-47.0,-43.0,-51.0
6061,-27.0,-2.0,13.0,-55.0,-44.0,-52.0,-42.0,-69.0,15.0,-70.0,-48.0,-62.0,-13.0,-15.0,14.0,-51.0,-41.0,-50.0
6063,-8.0,,,,-25.0,-30.0,-18.0,,,,-36.0,-64.0,-18.0,,,,-18.0,-64.0
6065,-20.0,-44.0,14.0,-41.0,-39.0,-43.0,-21.0,-60.0,15.0,-45.0,-41.0,-46.0,-12.0,-59.0,17.0,-45.0,-39.0,-42.0
6067,-21.0,-1.0,13.0,-57.0,-37.0,-45.0,-27.0,-58.0,15.0,-68.0,-42.0,-52.0,-3.0,-23.0,14.0,-54.0,-37.0,-44.0
6069,-25.0,-36.0,23.0,,-32.0,-45.0,-33.0,-76.0,22.0,,-38.0,-54.0,-9.0,-54.0,25.0,,-38.0,-44.0
6071,-23.0,-36.0,14.0,-42.0,-34.0,-45.0,-21.0,-49.0,14.0,-46.0,-36.0,-46.0,-11.0,-44.0,16.0,-45.0,-35.0,-43.0
6073,-26.0,-51.0,15.0,-64.0,-41.0,-50.0,-28.0,-70.0,16.0,-69.0,-43.0,-54.0,-17.0,-68.0,19.0,-63.0,-42.0,-49.0
6075,-37.0,-55.0,21.0,-66.0,-53.0,-75.0,-41.0,-65.0,22.0,-70.0,-54.0,-77.0,-33.0,-59.0,22.0,-70.0,-54.0,-77.0
