,Workplaces,Workplaces,Workplaces
Date,2020-03-29,2020-04-05,2020-04-11
FIPS,,,
18065,-31.0,-28.0,-31.0
18067,-47.0,-44.0,-41.0
18069,-34.0,-34.0,-27.0
18071,-41.0,-45.0,-44.0
18073,-33.0,-31.0,-26.0
18075,-22.0,-25.0,-20.0
18077,-23.0,-31.0,-26.0
18079,-37.0,-41.0,-41.0
18081,-37.0,-38.0,-37.0
18083,-31.0,-30.0,-31.0
18085,-33.0,-34.0,-36.0
18089,-38.0,-38.0,-35.0
18093,-34.0,-38.0,-32.0
18095,-35.0,-38.0,-35.0
18097,-38.0,-40.0,-38.0
18099,-25.0,-27.0,-30.0
18101,-36.0,-41.0,-51.0
18103,-39.0,-34.0,-35.0
18105,-42.0,-44.0,-40.0
18107,-31.0,-35.0,-33.0
18109,-32.0,-38.0,-31.0
18111,-27.0,-22.0,-27.0
18113,-42.0,-34.0,-37.0
18115,-53.0,-40.0,-49.0
18117,-45.0,-50.0,-48.0
18119,-29.0,-33.0,-27.0
18121,-37.0,-34.0,-48.0
18123,-45.0,-40.0,-41.0
18125,-39.0,-42.0,-56.0
18127,-34.0,-38.0,-37.0
18129,-22.0,-25.0,-18.0
18131,-34.0,-36.0,-48.0
18133,-26.0,-33.0,-26.0
18135,-28.0,-20.0,-23.0
18137,-27.0,-33.0,-30.0
18139,-35.0,-38.0,-34.0
18141,-35.0,-34.0,-39.0
18143,-33.0,-27.0,-38.0
18145,-32.0,-35.0,-38.0
18147,-24.0,-26.0,-27.0
18149,-25.0,-21.0,-26.0
18151,-37.0,-36.0,-36.0
18153,-20.0,-29.0,-24.0
18155,-44.0,-46.0,-54.0
18157,-41.0,-40.0,-43.0
18159,-33.0,-38.0,-34.0
18161,-39.0,-37.0,-48.0
18163,-29.0,-31.0,-34.0
18165,-20.0,-23.0,-27.0
18167,-36.0,-37.0,-35.0
18169,-26.0,-31.0,-31.0
18171,-32.0,-34.0,-56.0
18173,-30.0,-32.0,-34.0
18175,-25.0,-24.0,-24.0
18177,-32.0,-31.0,-32.0
18179,-29.0,-30.0,-28.0
18181,-39.0,-28.0,-32.0
18183,-32.0,-33.0,-38.0
19001,-33.0,-36.0,-43.0
19005,-22.0,-25.0,-38.0
19007,-24.0,-26.0,-14.0
19009,-28.0,-28.0,-28.0
19011,-33.0,-33.0,-33.0
19013,-30.0,-30.0,-30.0
19015,-22.0,-28.0,-17.0
19017,-34.0,-31.0,-31.0
19019,-23.0,-25.0,-17.0
19021,-13.0,-16.0,-17.0
19023,-30.0,-32.0,-43.0
19025,-29.0,-27.0,-37.0
19027,-29.0,-20.0,-26.0
19029,-16.0,-16.0,-20.0
19031,-18.0,-22.0,-21.0
