FIPS,Total population,Male,Female,Under 5 years,5 to 9 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over,Median age (years),16 years and over,18 years and over,62 years and over,65 years and over,18 years and over!!Male,18 years and over!!Female,65 years and over!!Male,65 years and over!!Female,One race,Two or more races,Exclusively White,Exclusively Black or African American,Margin of Error!!Exclusively Black or African American,Exclusively American Indian and Alaska Native,Exclusively American Indian and Alaska Native!!Cherokee tribal grouping,Exclusively American Indian and Alaska Native!!Chippewa tribal grouping,Exclusively American Indian and Alaska Native!!Navajo tribal grouping,Exclusively American Indian and Alaska Native!!Sioux tribal grouping,Exclusively Asian,Exclusively Asian!!Asian Indian,Exclusively Asian!!Chinese,Exclusively Asian!!Filipino,Exclusively Asian!!Japanese,Exclusively Asian!!Korean,Exclusively Asian!!Vietnamese,Exclusively Asian!!Other Asian,Exclusively Native Hawaiian and Other Pacific Islander,Exclusively Native Hawaiian and Other Pacific Islander!!Native Hawaiian,Exclusively Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro,Exclusively Native Hawaiian and Other Pacific Islander!!Samoan,Exclusively Native Hawaiian and Other Pacific Islander!!Other Pacific Islander,Exclusively Some other race,Interracial White and Black or African American,Interracial White and American Indian and Alaska Native,Interracial White and Asian,Interracial Black or African American and American Indian and Alaska Native,Total White,Total Black or African American,Total American Indian and Alaska Native,Total Asian,Total Native Hawaiian and Other Pacific Islander,Total Some other race,Hispanic or Latino (of any race),Hispanic or Latino (of any race)!!Mexican,Hispanic or Latino (of any race)!!Puerto Rican,Hispanic or Latino (of any race)!!Cuban,Hispanic or Latino (of any race)!!Other Hispanic or Latino,Not Hispanic or Latino,Not Hispanic or Latino!!White alone,Not Hispanic or Latino!!Black or African American alone,Not Hispanic or Latino!!American Indian and Alaska Native alone,Not Hispanic or Latino!!Asian alone,Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Not Hispanic or Latino!!Some other race alone,Not Hispanic or Latino!!Two or more races,Not Hispanic or Latino!!Interracial Two races including Some other race,"Not Hispanic or Latino!!Interracial Two races excluding Some other race, and Three or more races",Total housing units
51740,94632,46138,48494,6852,7234,6913,15715,11262,11157,6304,5391,8200,4191,1543,35.3,74516,72782,16684,13934,34519,38263,5817,8117,89961,4671,37625,47317,2100,1554,0,0,0,0,1429,0,0,0,0,0,0,0,0,0,0,0,0,2036,2328,680,305,743,41297,50900,3336,1990,0,2097,4409,2406,815,106,1082,90223,35271,47132,1554,1429,0,247,4590,0,4590,40887
51760,228783,107729,121054,13179,9420,19536,50447,27896,24378,14917,13275,18282,6998,4933,34.0,193398,189076,38011,30213,88173,100903,12292,17921,222179,6604,108092,106543,1780,236,0,0,0,0,5502,1886,920,838,37,719,699,403,0,0,0,0,0,1806,2703,835,1074,558,113866,110638,2017,6975,198,2320,16176,4015,1276,379,10506,212607,94939,105654,106,5419,0,441,6048,206,5842,101081
51770,99920,47479,52441,7311,6876,5867,15504,13744,11332,5841,6843,10452,3402,3051,38.1,79177,77691,20920,16905,35687,42004,6596,10309,95432,4488,61938,29378,1878,162,0,0,0,0,3048,0,0,0,0,0,0,0,0,0,0,0,0,906,0,0,0,0,66093,32563,0,3824,0,1371,6538,368,1679,1443,3048,93382,57831,28130,162,3048,0,361,3850,0,3850,47009
51800,91185,44445,46740,5881,5854,5624,11951,11594,12803,6090,6338,7822,4034,1289,38.8,72305,69105,16750,13145,32653,36452,5816,7329,87118,4067,46485,37311,1456,174,0,0,0,0,1952,0,0,0,0,0,0,0,0,0,0,0,0,1196,540,301,522,649,49365,39945,2031,2783,0,2294,4259,0,0,0,0,86926,44731,37311,174,1742,0,108,2860,0,2860,37333
51810,450189,221277,228912,28088,28024,32323,74610,59414,55363,29495,26320,37443,18610,7798,36.5,362105,350750,79425,63851,170322,180428,27362,36489,427895,22294,296395,86768,3043,1861,0,0,0,0,32129,2291,3140,19287,495,721,3356,2839,143,0,0,0,0,10599,8406,1262,6336,1750,315151,99191,5640,40939,1514,12246,37365,12310,11087,892,13076,412824,275371,84333,1431,31875,143,1152,18519,247,18272,186134
53005,201877,99991,101886,14010,15550,11504,27698,25101,23733,12488,12008,18189,8203,3690,35.8,153104,147878,37303,30082,73401,74477,14106,15976,194448,7429,166821,3534,1009,848,0,0,0,0,5970,1465,516,2041,165,268,570,945,199,0,0,0,0,17076,1538,2173,2192,0,174062,5177,3267,8351,884,17923,44919,0,0,0,0,156958,140748,3235,837,5723,199,123,6093,0,6093,77373
53007,77036,38586,38450,4739,6173,4764,10072,9708,8394,5874,4825,8315,4521,1582,39.2,60734,58983,17156,14418,29536,29447,6817,7601,73626,3410,57505,228,311,462,0,0,0,0,1100,0,0,0,0,0,0,0,142,0,0,0,0,14189,0,0,0,0,60915,661,1855,1234,628,15433,21792,0,0,0,0,55244,52011,228,331,1100,142,0,1432,0,1432,38075
53009,76737,38390,38347,3330,3423,3080,7676,8180,7688,6723,6379,12898,6162,3101,50.6,65156,63662,26223,22161,31500,32162,10281,11880,73812,2925,67645,965,410,3491,0,0,0,0,1516,0,0,0,0,0,0,0,6,0,0,0,0,189,0,0,0,0,70564,1220,5274,2198,0,335,4933,0,0,0,0,71804,63326,781,3438,1474,6,0,2779,0,2779,37331
53011,481857,238961,242896,29387,31374,27681,65339,64457,63166,31231,30068,46501,20809,7158,38.6,380248,367068,92707,74468,179458,187610,33838,40630,455381,26476,406807,7651,1393,3933,306,0,24,0,20836,1700,5322,2563,706,2703,3625,4217,4700,0,0,0,0,11454,6082,5414,6958,797,430181,16682,11703,31231,7593,13736,47985,36852,945,662,9526,433872,375460,7626,2935,20570,4263,461,22557,188,22369,186159
53015,108987,53593,55394,7027,5754,5692,13447,12459,13569,6873,8240,12649,5713,2494,40.5,86221,83594,26140,20856,40927,42667,9759,11097,103286,5701,95325,714,521,3164,0,0,0,0,1376,0,0,0,0,0,0,0,278,0,0,0,0,2429,1033,2612,861,27,100936,1877,6038,2498,622,3150,9975,0,0,0,0,99012,90365,714,1513,1376,278,508,4258,65,4193,44959
53021,94347,48874,45473,8398,8670,5942,15112,12987,10079,3213,4288,5691,2806,670,30.3,66706,63428,11826,9167,33379,30049,4754,4413,87483,6864,65677,2772,2279,1747,0,0,0,0,3043,0,0,0,0,0,0,0,74,0,0,0,0,14170,0,0,0,0,72194,4769,2805,5046,0,16364,50456,45494,331,0,4631,43891,37227,1361,0,2802,0,404,2097,94,2003,28659
53025,97331,49789,47542,7347,7396,6037,13235,12081,9949,4968,5328,8744,4012,1325,33.4,71819,69041,18097,14081,35478,33563,7358,6723,94211,3120,67489,1036,445,1189,0,0,0,0,1161,0,0,0,0,0,0,0,41,0,0,0,0,23295,90,903,198,0,70074,1446,2915,1967,0,24616,41005,0,0,0,0,56326,51891,1036,878,1108,0,0,1413,63,1350,37969
53027,73901,37073,36828,3256,4205,3687,7958,8689,9177,5255,5859,10090,4673,1549,44.5,61308,58802,19386,16312,30081,28721,7624,8688,70539,3362,65300,1120,192,2922,0,0,0,0,597,0,0,0,0,0,0,0,154,0,0,0,0,446,167,1971,542,0,68628,1760,4948,1646,243,566,7563,0,0,0,0,66338,58376,1120,2732,597,154,76,3283,62,3221,36434
53029,84460,42186,42274,4336,3283,5617,12234,8769,8538,5382,6648,12673,6296,1834,44.2,71556,69776,24801,20803,34755,35021,9745,11058,78971,5489,71787,1717,657,379,0,0,0,0,3551,0,0,0,0,0,0,0,254,0,0,0,0,1283,314,1288,337,0,76303,3096,3551,5670,957,2231,6859,5399,413,153,894,77601,66281,1717,379,3551,254,563,4856,548,4308,42274
53033,2233163,1121145,1112018,129380,129764,133686,410103,335001,293538,139853,125879,177427,79338,38126,36.8,1826241,1780303,367735,294891,890547,889756,130945,163946,2087560,145603,1408383,150183,4955,14104,252,426,127,276,399090,95622,115557,43951,23141,30736,46851,43232,17348,2102,1933,6361,6952,98452,18451,15914,65724,3229,1536482,187779,43590,483733,30199,114878,218263,149351,10580,3203,55129,2014900,1309871,146988,11966,397554,17109,6036,125376,4062,121314,952597
53035,269805,138086,131719,15594,15900,21403,38813,31600,32928,18875,18496,30258,14265,3225,39.2,220424,214549,59085,47748,109698,104851,22355,25393,247530,22275,215234,6585,1033,2314,0,0,0,0,13575,47,1484,8057,1046,645,1083,1213,2739,0,0,0,0,7083,4357,5403,7870,154,236448,11978,8826,23334,4324,9111,21523,13956,2042,278,5247,248282,205462,6453,2090,13220,2698,152,18207,278,17929,113732
53041,79604,39969,39635,4904,3960,3865,9815,9032,9416,5223,6723,9892,5046,1642,43.4,64562,62605,20546,16580,31009,31596,7982,8598,73835,5769,70849,267,186,355,0,0,0,0,435,0,0,0,0,0,0,0,186,0,0,0,0,1743,755,1944,1085,0,76460,1755,3136,1533,681,2554,8194,0,0,0,0,71410,66190,267,178,435,186,0,4154,0,4154,35335
