FIPS,03/29/20_residential,04/05/20_residential,03/29/20_workplaces,04/05/20_workplaces,03/29/20_transit,04/05/20_transit,03/29/20_parks,04/05/20_parks,03/29/20_grocery,04/05/20_grocery,03/29/20retail,04/05/20retail
5059,10.0,8.0,-24.0,-22.0,-28.0,-30.0,,,9.0,21.0,5.0,-16.0
5061,,,-29.0,-17.0,,,,,-7.0,4.0,-8.0,-36.0
5063,13.0,12.0,-24.0,-21.0,,,,,9.0,50.0,-27.0,-40.0
5065,,,-29.0,-25.0,,,,,-15.0,8.0,-24.0,-22.0
5067,,,-14.0,-25.0,,,,,-12.0,24.0,-10.0,-12.0
5069,11.0,12.0,-26.0,-27.0,-14.0,-18.0,,,4.0,13.0,-30.0,-32.0
5071,-2.0,-2.0,-14.0,-18.0,,,-28.0,-12.0,12.0,4.0,-24.0,-34.0
5075,,,-30.0,-32.0,,,,,-6.0,-1.0,-19.0,-22.0
5079,,,-23.0,-20.0,,,,,-16.0,-4.0,-60.0,-60.0
5081,,,-34.0,-31.0,,,,,5.0,-4.0,-7.0,-25.0
5083,,,-18.0,-21.0,,,,,13.0,9.0,-5.0,-24.0
5085,15.0,16.0,-27.0,-26.0,,,,,-5.0,4.0,-23.0,-29.0
5087,,,-11.0,-32.0,,,,,17.0,-13.0,-10.0,-31.0
5089,,,-26.0,-24.0,,,,,5.0,3.0,4.0,-16.0
5091,12.0,15.0,-32.0,-35.0,-24.0,-38.0,-35.0,-37.0,-10.0,-9.0,-33.0,-35.0
5093,10.0,11.0,-15.0,-20.0,-18.0,-24.0,,,-1.0,18.0,-11.0,-14.0
5095,,,-34.0,-20.0,,,,,-8.0,-8.0,-26.0,-40.0
5097,,,-33.0,-33.0,,,,,,,,
5099,,,-21.0,-28.0,-23.0,-36.0,,,,,-61.0,-61.0
5101,,,-38.0,-31.0,,,,,,,,
5103,,,-16.0,-18.0,,,,,-21.0,-20.0,-9.0,-16.0
5105,,,-35.0,-33.0,,,,,,,,
5107,,,-32.0,-29.0,,,,,-6.0,16.0,-1.0,-5.0
5109,,,-33.0,-28.0,,,,,13.0,-8.0,-30.0,-30.0
5111,,,-15.0,-19.0,,,,,-5.0,7.0,2.0,-2.0
5113,,,-25.0,-23.0,,,,,3.0,31.0,-17.0,-51.0
5115,12.0,14.0,-22.0,-21.0,-11.0,-25.0,,,-9.0,-4.0,-32.0,-40.0
5117,,,-26.0,-24.0,,,,,,,,
5119,9.0,9.0,-30.0,-31.0,-38.0,-45.0,73.0,34.0,-9.0,-5.0,-35.0,-38.0
5121,,,-23.0,-28.0,,,,,12.0,12.0,-22.0,-33.0
5123,,,-25.0,-14.0,-22.0,-29.0,,,10.0,28.0,-16.0,-26.0
5125,7.0,8.0,-33.0,-32.0,-10.0,-22.0,-52.0,-65.0,-13.0,-7.0,-26.0,-30.0
5127,,,-27.0,-23.0,,,,,,,-39.0,-53.0
5129,,,-39.0,-43.0,,,,,,,,
5131,7.0,9.0,-27.0,-30.0,-41.0,-41.0,45.0,-10.0,-11.0,-7.0,-36.0,-42.0
5133,,,-19.0,-28.0,,,,,-11.0,-8.0,-24.0,-35.0
5135,,,-26.0,-24.0,,,,,-7.0,0.0,-17.0,-27.0
5137,,,-26.0,-26.0,,,,,-29.0,8.0,-11.0,-23.0
5139,8.0,9.0,-24.0,-23.0,,,,,-8.0,-2.0,-33.0,-32.0
5141,,,-39.0,-32.0,,,,,,,-20.0,-33.0
5143,8.0,11.0,-34.0,-36.0,-10.0,-29.0,37.0,-21.0,-16.0,-18.0,-37.0,-45.0
5145,9.0,13.0,-21.0,-26.0,4.0,-6.0,-19.0,-23.0,-12.0,5.0,-27.0,-32.0
5149,,,-19.0,-15.0,,,16.0,-27.0,13.0,10.0,-11.0,-27.0
6001,17.0,18.0,-44.0,-49.0,-64.0,-72.0,-14.0,-61.0,-27.0,-36.0,-58.0,-65.0
6005,0.0,0.0,-44.0,-52.0,,,-50.0,-64.0,-20.0,-44.0,-41.0,-56.0
6007,11.0,12.0,-34.0,-38.0,-45.0,-53.0,-23.0,-63.0,-16.0,-23.0,-45.0,-47.0
6009,10.0,10.0,-39.0,-45.0,,,-28.0,-75.0,-12.0,-18.0,-42.0,-56.0
6011,,,-37.0,-39.0,-32.0,-42.0,,,-1.0,-6.0,-37.0,-46.0
6013,15.0,17.0,-41.0,-44.0,-49.0,-60.0,-15.0,-53.0,-21.0,-25.0,-48.0,-54.0
6015,,,-29.0,-30.0,,,-26.0,-32.0,-11.0,-11.0,-31.0,-32.0
6017,13.0,15.0,-48.0,-54.0,-50.0,-53.0,-35.0,-83.0,-37.0,-45.0,-58.0,-68.0
6019,11.0,13.0,-31.0,-35.0,-43.0,-53.0,-27.0,-66.0,-14.0,-16.0,-40.0,-45.0
