,FIPS,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline
Date,,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11
1262,27119,1.6801916844642364,-3.009548369461524,-6.432725697765249,-24.0,-21.0,-16.0,-21.0,-12.217010771585315,-16.762757567974784,-24.55885274235481,-33.0,-38.0,-38.0,-29.0,-21.038351030603632,-22.87953870929691,-31.643974578503524,-39.0,-42.0,-33.0,-33.0,-25.442245353304692,-22.350343423966375,-31.102918449628834,-30.0,-42.0,-38.0,-43.0,-22.344519639665904,4.714137288671926,2.742653626862743,2.0,-2.0,2.0,-6.0,-12.0,3.1206532541969647,2.960248707548408,-11.0,-18.0,-2.0,-4.0,-6.0,4.537971391090516,5.2126541153266315,0.0,4.0,6.0,4.0,-4.0,2.952276827994002,4.383763353838445,11.0,10.0,20.0,0.0,6.0
1263,27121,1.563461712877276,,-1.9193828237271615,6.0,0.0,2.0,-10.0,-6.0,,-18.57908556732057,-24.914170389309582,2.0,-20.0,-10.0,-17.0,,-17.0,-27.217152437557655,-32.75225704377033,-9.0,-24.0,-22.0,,-25.0,-23.0,-29.179032682459244,-33.27554518223392,-15.0,-24.0,,-22.0,-29.0,-48.0,-31.195632257911885,1.369552489231749,-0.3373316599690518,,-9.807084318324778,0.11590180487693166,-2.359904891874036,-4.062276760709779,-4.1960249415791475,-2.2993630433668035,,-15.645754347666529,-4.563245885524093,-7.791800422109538,3.8757544203485477,1.47995592817196,3.688934373389216,,5.226373111935618,-13.32104320061632,1.895040370600828,1.6629565395732302,-1.0741204879227706,
1264,27123,1.651244596833949,2.123098172967857,-1.6808301323864567,1.759953003852192,-1.4100413430323584,-0.8342586760514571,1.584114874989586,0.0957639408450104,-1.237098762918144,0.1465806450322315,-3.6392448089340337,-4.726571937614075,-10.972099066752298,-14.376831435083519,-14.895779799377825,-20.558318343147125,2.0143866019333836,2.594523445942564,-13.907748088815392,-22.55617289184774,-23.802515299833104,1.5725861886478247,-31.0,0.8950305716521113,2.1347601533595535,-1.433117981844293,-1.8269190896368916,-1.7466276487622814,-5.166639565051083,-32.0,-3.4500313926997257,-3.5186556553213575,-6.612755858639378,-38.0,-10.517998104981672,-30.374252898633124,-22.0,-17.070468446090054,-16.11333339093307,-23.337037351086465,-39.0,-36.0,-43.0,-35.0,-26.57155749675932,-34.90692413243269,-31.794417611221547,-26.63044751076825,-28.66851867554323,-37.0,-33.0,-38.0,-38.53006704537672,-43.0,-44.0,-26.5098754432851,-2.4005177458433526
1265,27125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5443482269265674,-14.0,-29.861626049929164,,,,,-4.0,0.0,4.0,,
1266,27127,-4.0,-0.4537402348878349,-3.509818153422476,-14.190893825765931,3.0,-1.0,-1.0,9.0,3.0,4.495135451767768,3.364220410531307,6.0,6.0,-1.0,6.0,-3.0,1.699413263185051,0.4022528302608778,3.0,-1.0,3.0,4.0,1.0,1.8843480862247206,-6.470412250283708,-6.0,-11.0,-8.0,-9.0,-15.0,-14.510173616180218,-24.499911362115597,-27.0,-32.0,-25.0,-26.0,-31.0,-23.29350551977599,-29.154199703905398,-31.0,-32.0,-29.0,-32.0,-31.0,-28.915842182476702,-32.55736466715402,-30.0,-35.0,-30.0,-32.0,-41.0,-27.889971906048327,0.0,1.209365091479116,-7.0,1.0,-5.0
1267,27129,2.0,,3.0,-6.0,0.814047637218674,-12.0,-16.0,1.0,,3.0,3.0,2.0,7.221071455828011,1.0,2.0,,-5.0,3.0,6.0,-6.0,0.395317454260442,-4.0,,-1.0,1.0,5.0,2.0,-2.0,-4.802341272869779,,-5.0,-7.0,-16.0,-16.0,-18.0,-14.0,-22.0,-25.0,-32.0,-32.0,-27.0,-27.0,-22.0,-20.0,-31.0,-36.0,-34.0,-35.0,-33.0,-28.0,-27.0,-33.0,-37.0,-39.0,-38.0,-47.0,-30.0
1268,27131,4.0,-5.0,-18.0,-11.0,-12.0,-11.0,-14.0,1.0,-12.0,-8.0,-1.0,3.0,2.0,-1.0,6.0,-2.0,1.0,4.0,-1.0,7.0,4.0,1.0,3.0,-1.0,2.0,-1.0,2.0,-6.0,4.0,0.0,-12.0,-14.0,-19.0,-18.0,-23.0,-4.0,-22.0,-26.0,-30.0,-29.0,-31.0,-33.0,-17.0,-24.0,-33.0,-36.0,-35.0,-35.0,-40.0,-26.0,-31.0,-36.0,-36.0,-37.0,-37.0,-50.0,-23.0
1269,27133,3.0,0.0,8.0,2.0,0.0,-1.0,0.0,-1.0,1.0,-10.0,-34.0,-5.0,0.0,0.0,3.0,3.0,12.0,3.0,1.0,2.0,1.0,4.0,4.0,11.0,2.0,1.0,1.0,0.0,-1.0,-2.0,-5.0,-22.0,-27.0,-29.0,-33.0,-21.0,-26.0,-34.0,-47.0,-48.0,-48.0,-49.0,-32.0,-34.0,-44.0,-50.0,-50.0,-51.0,-50.0,-34.0,-36.0,-45.0,-51.0,-51.0,-52.0,-62.0,
1270,27135,-36.0,-2.164953179654648,0.0,10.0,3.0,2.0,1.0,-1.0,-1.0,2.8781647926016904,-9.0,-26.0,-2.0,5.0,2.0,1.5913764055487327,2.5304588018495777,11.0,6.0,8.0,11.0,4.0,2.5913764055487327,3.0609176036991554,6.0,1.0,6.0,5.0,-4.0,-3.8172471889025354,-4.347705990752114,-5.0,-9.0,-12.0,-8.0,-16.0,-19.591376405548733,-25.53045880184958,-20.0,-27.0,-26.0,-29.0,-35.0,-28.713211612947045,-34.93908239630085,-29.0,-37.0,-37.0,-31.0,-36.0,-31.65229400924789,-35.06091760369916,-35.0,-34.0,-37.0,-34.0,-58.0
1271,27137,-35.06091760369916,-2.0,-7.0,-13.0,-1.0,-2.0,0.0,-1.0,-2.0,-1.0,-15.0,-34.0,-11.0,0.0,-3.0,2.0,-7.0,1.0,1.0,0.0,2.0,1.0,1.0,-1.0,-1.0,2.0,2.0,2.0,1.0,4.0,-1.0,-7.0,-13.0,-15.0,-16.0,-19.0,-18.0,-27.0,-25.0,-28.0,-27.0,-30.0,-31.0,-24.0,-25.0,-29.0,-30.0,-30.0,-31.0,-32.0,-29.0,-27.0,-28.0,-33.0,-32.0,-33.0,-54.0
1272,27139,-28.0,2.0,2.7694271085531392,-14.0,2.0,2.0,-11.0,-2.0,2.0,-35.55044781095007,0.0,-2.0,-1.0,-1.0,2.0,7.0,-34.30182627103861,0.0,-6.0,0.0,6.0,1.0,-2.0,2.3473860391081147,-9.0,-14.0,-10.0,-11.0,-15.0,2.0,-1.6173721077276604,-12.0,-14.0,-17.0,-15.0,-24.0,-13.0,-7.931465863545202,-25.0,-31.0,-31.0,-30.0,-35.0,-22.0,-13.6155354781046,-33.0,-37.0,-28.0,-34.0,-36.0,-26.0,-34.83891543609241,-33.0,-35.0,-34.0,-37.0,-47.0
1273,27141,-20.0,8.0,-4.0,-5.0,2.0,0.0,-2.0,-3.0,10.0,-8.0,-10.0,-13.0,5.0,2.0,5.0,12.0,-4.0,3.0,1.0,2.0,1.0,-1.0,6.0,-4.0,3.0,3.0,-1.0,2.0,6.0,2.0,8.0,-10.0,-14.0,-19.0,-18.0,-27.0,-16.0,-22.0,-25.0,-34.0,-35.0,-36.0,-31.0,-16.0,-20.0,-31.0,-34.0,-34.0,-33.0,-34.0,-18.0,-33.0,-34.0,-35.0,-34.0,-40.0,-50.0
1274,27143,,,-20.0,5.0,1.0,-1.0,1.0,5.0,,-1.0,1.0,0.0,1.0,-13.0,,,-42.0,-7.0,0.0,2.0,6.0,,,7.0,5.0,5.0,4.0,5.0,,,4.0,5.0,6.0,2.0,3.0,4.0,,3.0,4.0,0.0,2.0,-4.0,-11.0,,-12.0,-13.0,-18.0,-15.0,-20.0,-21.0,,-31.0,-29.0,-30.0,-32.0,-22.0,-23.0
1275,27145,-32.0,-33.0,-34.0,-34.0,-34.0,-25.0,-26.0,-32.0,-35.0,-33.0,-36.0,-56.0,-27.0,0.0,0.0,2.0,4.0,0.0,-2.0,-6.0,-4.0,0.0,-16.0,-37.0,-12.0,-1.0,-2.0,0.0,-2.0,7.0,1.0,-2.0,3.0,-1.0,-3.0,-5.0,5.0,-1.0,-2.0,1.0,-1.0,-4.0,-6.0,-2.0,-17.0,-22.0,-23.0,-26.0,-21.0,-22.0,-28.0,-42.0,-43.0,-43.0,-41.0,-29.0,-30.0
1276,27147,-39.0,-45.0,-44.0,-46.0,-45.0,-36.0,-36.0,-39.0,-44.0,-46.0,-45.0,-61.0,-37.0,-0.8936671945110499,3.0,-17.0,-3.0,0.0,1.0,7.0,-0.5426117269295583,-1.4894453241850834,-2.0,-2.0,-3.0,-1.0,3.0,4.297889064837017,6.351055467581492,9.0,6.0,1.0,0.0,-1.0,-1.8405007917665752,-4.7873343890221,1.0,10.0,2.0,8.0,2.0,-1.5957781296740334,-7.8405007917665746,-6.0,-4.0,-14.0,-10.0,-16.0,-20.191556259348065,-30.085223453859115,-27.0,-31.0,-33.0,-34.0,-30.0,-29.59577812967403,-34.84050079176657
1277,27149,-32.0,,-30.0,-37.0,-34.0,-33.0,-26.0,-35.7873343890221,,-31.0,-31.0,-36.0,-34.0,-44.0,-31.946833597255527,,0.0,-1.0,1.0,3.0,2.0,-1.0,,-2.0,-2.0,4.0,-22.0,-65.0,-15.0,-10.0,-9.0,2.0,-19.878459597466637,,-27.103456796477325,-23.764583679620742,-22.764105536693336,-18.83298638074586,-15.666246092806123,-18.975789546903993,,-28.01492554145041,-25.617267060466073,-31.7070767861546,-32.785189142966466,-27.700047703148662,-28.00931537298171,,-32.35594586259934,-37.83458703868804,-30.729880767669542,-26.280860651278708,-29.104694729161906,-31.675155968547298,,-22.27615003100294,
1278,27151,-15.058824128207434,,-15.783044665176858,-7.5837214287117325,-9.499735442488005,-17.422211005616735,,-11.38219326471211,,-10.683857783315204,-19.472724576557297,-23.279998789926847,-16.471634526851922,-15.365259989702578,,,-17.619988437704748,-19.85411352575649,4.0,-14.302851678757596,-19.781674084915018,-18.878327536185072,,,5.0,4.0,2.0,1.7896293579421318,-2.884690664740535,,-10.776996619166674,-16.466041581538292,3.0,3.0,-8.068365186899467,1.631679503716805,,-5.940320125286635,,4.0,3.0,5.0,3.0,,2.0,2.0,-1.0,-2.0,-6.0,-14.0,,-24.0,-28.0,-30.0,-34.0,-33.0,
1279,27153,-36.0,-41.0,-47.0,-48.0,-49.0,-50.0,-43.0,-44.0,-48.0,-50.0,-51.0,-51.0,-52.0,-45.0,-44.0,-49.0,-51.0,-51.0,-52.0,-61.0,-45.0,8.0,0.0,0.0,-1.0,0.0,-1.0,0.0,3.0,0.0,-17.0,-31.0,-10.0,0.0,2.0,-1.0,5.0,3.0,1.0,0.0,2.0,1.0,3.0,8.0,3.0,0.0,4.0,0.0,0.0,2.0,1.0,-9.0,-19.0,-21.0,-20.0,-27.0,-17.0
1280,27157,-27.0,-29.0,-36.0,-36.0,-38.0,-38.0,-24.0,-33.0,-36.0,-38.0,-40.0,-38.0,-40.0,-29.0,-29.0,-37.0,-40.0,-42.0,-38.0,-59.0,-30.0,0.0,0.0,2.0,1.0,1.0,-1.0,1.0,-1.0,0.0,-19.0,-53.0,-13.0,-5.0,0.0,6.0,4.0,6.0,2.0,2.0,2.0,2.0,5.0,4.0,5.0,2.0,1.0,1.0,1.0,2.0,0.0,-10.0,-20.0,-23.0,-26.0,-28.0,-22.0
1281,27159,-26.0,-32.0,-44.0,-43.0,-44.0,-44.0,-31.0,-31.0,-42.0,-46.0,-45.0,-46.0,-45.0,-33.0,-35.0,-43.0,-46.0,-46.0,-47.0,-62.0,-36.0,-2.0,-3.0,0.0,4.0,2.0,0.0,0.0,-2.0,2.0,-21.0,-50.0,-12.0,-8.0,-7.0,1.0,0.0,1.0,2.0,2.0,4.0,4.0,1.0,2.0,3.0,3.0,1.0,2.0,2.0,-6.0,0.0,-11.0,-16.0,-19.0,-19.0,-24.0,
1282,27161,-18.0,-21.0,-28.0,-35.0,-37.0,-36.0,-35.0,-25.0,-25.0,-36.0,-36.0,-37.0,-37.0,-38.0,-31.0,-30.0,-37.0,-38.0,-39.0,-39.0,-57.0,-29.0,4.146679549148973,-3.199539856593988,-12.0,-2.0,-3.0,-7.0,-14.0,4.6281863686423,-5.111993905165688,3.0,5.0,12.0,2.0,5.0,8.542941134244062,-1.43376535717126,5.0,5.0,2.0,-2.0,-2.0,4.70497721876188,-2.2421624737931065,5.0,7.0,12.0,0.0,3.0,1.2740299896835052,1.5883818795360674,0.0,-4.0,-7.0,-11.0,-19.0
1283,27163,-17.047741462322065,-24.0875459514283,-22.0,-14.0,-19.0,-28.0,-31.0,-20.332009142251465,-26.08984666845836,-21.0,-23.0,-26.0,-30.0,-25.0,-22.653780594257036,-31.712914191977717,-19.0,-21.0,-21.0,-26.0,-41.0,-23.92781058394054,-3.0,3.0,-16.0,-4.0,2.0,2.0,3.0,-3.0,-5.0,-12.0,-12.0,-7.0,2.0,2.0,5.0,6.0,-1.0,0.0,-9.0,-6.0,-5.0,-5.0,-9.0,-9.0,-4.0,0.0,-1.0,1.0,-3.0,-11.0,-16.0,-21.0,-25.0,-27.0,-30.0
1284,27165,-23.0,,-35.0,-38.0,-47.0,-51.0,-47.0,-47.0,,-31.0,-38.0,-48.0,-50.0,-49.0,-48.0,,-48.0,-38.0,-40.0,-48.0,-50.0,-50.0,,-49.0,-57.0,-33.0,2.0,1.0,4.0,,2.0,1.0,-2.0,0.0,1.0,6.0,-10.0,-27.0,1.0,2.0,2.0,1.0,5.0,8.0,3.0,2.0,3.0,3.0,3.0,4.0,7.0,3.0,2.0,2.0,0.0,-1.0,-4.0
1285,27167,,,-4.0,-15.0,-21.0,-22.0,-28.0,,,-20.0,-23.0,-30.0,-41.0,-44.0,,,-43.0,-44.0,-29.0,-32.0,-41.0,,,-45.0,-46.0,-44.0,-46.0,-32.0,,,-34.0,-41.0,-46.0,-46.0,-47.0,,,-61.0,-34.0,2.094554772622506,-2.350050593670243,-13.0,,,6.0,4.0,-2.0,-1.136437202702247,3.9902936802311983,,,-3.9174227349014203,6.0,11.0,9.0,4.0,
1286,27169,0.7046558040533702,7.131584042817846,-4.727907526127833,6.0,6.0,-0.037029270195339754,6.0,1.1315840428178459,5.171670464017717,-5.536675475186319,9.0,9.0,-8.630597263662692,6.0,-10.834266288560908,4.590688391893259,-11.151827381054785,0.0,-11.0,-9.0,-4.0,-13.0,-11.930794619493723,-19.07858903291263,-19.0,-19.0,-20.0,-17.0,-20.0,-18.43466100022297,-23.07858903291263,-23.0,-26.0,-22.0,-21.0,-18.0,-25.193962705129415,-26.617883549368944,-26.0,-28.0,-24.0,-15.0,-36.0,-22.121877723049042,0.0,0.0,-10.0,3.0,2.0,2.0,-3.0,4.0,3.0,3.0,2.0,4.0,4.0
1287,27171,3.0,3.0,0.0,6.0,5.0,2.0,5.0,3.0,3.0,6.434256449719056,7.0,5.0,2.0,6.0,6.0,-11.314626551815557,-10.186531665320057,3.0,-3.0,-1.0,-12.0,-12.0,-18.08852676822104,-22.66991477598003,-13.0,-12.0,-20.0,-16.0,-25.0,-27.543383932946778,-22.853758690061312,-23.0,-31.0,-31.0,-33.0,-36.0,-28.032928517261666,-25.71063370258175,-20.0,-23.0,-33.0,-32.0,-34.0,-24.512463960382114,-23.63859712087656,-32.0,-35.0,-22.0,-19.0,-30.0,-34.0,-3.887198702046372,-34.0,-30.0,-42.0,-25.0,0.0
1288,27173,,,-5.464179070086733,-1.6499131282508033,2.0,-5.0,-3.0,,,-1.0,-2.0,1.9527857896613583,4.0,-17.537638906070764,,,-25.558846471140082,-25.127245390415894,-30.242835663898198,-33.948032421725635,-2.0,,,-4.0,-30.06362269520795,-35.7900270181047,-39.200420533759576,-43.17921296869025,,,-45.17921296869026,-16.0,-17.0,-26.036110943575515,-26.678148260183914,,,-26.91516973972274,-24.16755785175667,-18.55674380234223,-9.0,-8.0,,,-18.62438572275386,-22.114149789136462,-21.87275460958411,-23.304355690308295,-19.556743802342226,,,-5.0,-2.0,-17.065812684301765,2.0346937725672216,2.589606484345128,
1289,28001,1.1580054036209395,-1.0,2.0,1.0,-1.7019698319076266,-3.8751966957131065,0.0,2.0,8.0,7.0,10.0,-21.031125419429834,-0.2735956771032484,1.0,1.0,4.0,0.0,7.0,-3.7092916819157034,3.15800540362094,-3.0,0.0,-10.0,-14.0,-5.065116353631155,-14.0,-19.0,-21.0,-17.0,-33.0,-28.0,-35.0,-34.0,-34.0,-31.0,-23.0,-30.0,-37.0,-34.0,-37.0,-37.0,-36.0,-34.0,-34.0,-35.0,-39.0,-37.0,-38.0,-49.0,-32.0,2.0,-2.0,-1.0,2.0,1.0,-4.0,-7.0
1290,28003,-5.0,3.0,-26.0,-63.0,-21.0,-11.0,-10.0,-1.0,4.0,3.0,2.0,0.0,1.0,2.0,1.0,2.0,2.0,0.0,0.0,-2.0,-4.0,-6.0,-9.0,-23.0,-12.935538005475255,-35.0,-39.0,-42.0,-45.0,-46.0,-48.0,-52.0,-57.0,-57.0,-58.0,-58.0,-52.0,-54.0,-57.0,-59.0,-59.0,-60.0,-59.0,-53.0,-54.0,-58.0,-59.0,-59.0,-60.0,-66.0,-53.0,3.0,3.0,-16.0,2.0,0.0,0.0
1291,28005,,,-10.687873581923213,2.0,4.0,5.0,-3.0,,,-2.0,0.0,2.0,1.0,3.0,,,7.0,2.0,3.0,0.0,3.0,,,3.0,4.0,3.0,3.0,2.0,,,2.0,3.0,1.0,1.0,-2.0,,,-12.0,-17.0,-20.0,-21.0,-26.0,,,-15.0,-21.0,-32.0,-40.0,-40.0,-41.0,-39.0,-27.0,-29.0,-41.0,-42.0,-43.0,
1292,28007,-43.0,-42.0,-30.0,-28.0,-40.0,-43.0,-44.0,-43.0,-53.0,-30.0,-3.0,7.0,-11.0,2.0,3.0,1.0,1.0,-11.0,7.0,-27.0,-63.0,-19.0,-12.0,-9.0,-1.0,5.0,4.0,-2.0,0.0,2.0,2.0,-3.0,11.0,0.0,-2.0,-2.0,-2.0,-1.0,-5.0,-11.0,-12.0,-24.0,-27.0,-29.0,-35.0,-36.0,-30.0,-37.0,-48.0,-45.0,-46.0,-47.0,-37.0,-25.0,-51.0,-50.0,
1293,28009,,,-49.0,-50.0,-50.0,-42.0,-37.0,,,-52.0,-50.0,-52.0,-51.0,-62.0,,,-46.0,-2.150375081489906,-1.5441304988661846,-1.0,0.0,,,0.0,1.0,3.0,-1.5806600368173036,1.973583742770701,,,-7.0,-41.0,-7.0,-1.0,-8.0,,,4.184403173999775,0.35910314863119813,7.0,0.0,1.0,,,5.0,4.0,2.132300874967714,0.5961360220762553,2.0,,,1.0,3.0,2.0,2.0,-2.1415312098740236,
1294,28011,-4.291399154206738,-2.0,-8.0,-18.0,-16.0,-17.0,-16.0,-23.095707696212177,-23.0,-31.0,-30.0,-30.0,-32.0,-16.0,-30.55177088627838,-28.0,-35.0,-39.0,-35.0,-32.0,-19.0,-31.581779694630395,-32.0,-36.0,-32.0,-33.0,-49.0,-9.0,-1.0,-3.0,-5.0,0.0,-1.0,-3.0,-11.0,0.0,-2.0,-15.0,-18.0,1.0,-1.0,0.0,2.0,1.0,1.0,0.0,-3.0,-1.0,0.0,-1.0,-3.0,0.0,0.0,-1.0,-3.0,-3.0,-1.0
1295,28013,-3.0,-12.0,-16.0,-19.0,-22.0,-26.0,-20.0,-27.0,-29.0,-34.0,-37.0,-38.0,-37.0,-25.0,-30.0,-35.0,-37.0,-37.0,-38.0,-37.0,-28.0,-29.0,-35.0,-38.0,-39.0,-40.0,-52.0,-27.0,1.1306600323081146,-0.9497619089175593,-33.53871252551819,-13.773828321272584,-5.784294106939413,-9.0,-11.0,-12.0,0.20692924264058435,-5.8765695731861065,-5.368097290739322,-4.168637990296361,-1.9469778028368288,0.5931317002883467,0.021157778684432613,2.7868132557201646,-0.12225978458462648,2.9941206189398604,3.3922082606690154,-1.6536415789805663,-7.0,4.040323460999715,3.9419988585273122,5.111101260926741,-1.4734337663685022,0.9235268396958728,-0.788973417178941,-1.906820908686775,
1296,28015,,,-2.3223916449844886,0.3345124003476816,,,,,,,,-1.3589342184094984,-12.01817257442943,,,,,-14.359581322316082,-18.242785953134216,,,,,-11.0,-19.0,-15.463020720071423,-28.153153950515097,-19.0,,,-19.0,-30.0,-30.0,-26.0,-25.380812606766323,,,-30.056925285180498,-24.0,-26.0,-25.0,-20.0,,,-28.0,-33.29306627410934,-34.70639131449449,-26.0,-23.0,,,-36.0,-32.0,-40.0,-31.984584993011698,-2.0,
1297,28017,1.531341247639914,-18.0,1.0,-2.0,-7.0,-2.0,-4.021900796802751,0.0,4.020894165093276,-5.0,-1.0,-4.0,-2.0,-0.5088681656748879,2.0,6.0,3.5731295778264665,3.0,4.0,-3.0,-4.324893696746794,2.0,0.0,-4.0,4.958211669813448,-2.0,-3.0,-8.811763141570605,-4.0,-2.0,-4.0,2.0,-1.510447082546638,-8.0,-15.551831961177252,-12.0,-18.0,-16.0,-22.0,-8.0,-12.0,-15.288575072347776,-25.0,-31.0,-34.0,-36.0,-30.0,-13.0,-17.19548602785355,-16.0,-34.0,-33.0,-34.0,-35.0,-34.0,-18.27396290695034,-19.0
1298,28021,-16.0,,-31.0,-31.0,-37.0,-23.54291695403786,-38.0,-47.0,,-17.0,12.0,4.0,,-12.0,3.0,,,,0.0,,-3.0,8.0,,14.0,8.0,6.0,7.0,2.0,3.0,,7.0,16.0,4.0,7.0,7.0,2.0,,11.0,8.0,7.0,6.0,4.0,5.0,,5.0,5.0,8.0,12.0,4.0,-3.0,,-10.0,-12.0,-12.0,-18.0,-5.0,
1299,28023,-19.0,-17.0,-25.0,-25.0,-21.0,-25.0,-9.0,-23.0,-24.0,-28.0,-26.0,-29.0,-23.0,-20.0,-35.0,-24.0,-29.0,-28.0,-37.0,-8.291978037323458,-48.0,-23.0,1.0,-2.0,-1.0,3.0,-5.969732364302836,3.0,-1.0,-2.0,-1.0,7.0,-25.0,-5.75667693240107,-62.0,-15.0,-8.0,-6.0,5.0,6.0,-7.993802527103622,-26.551205354163372,-24.979072277333092,4.0,3.0,1.0,2.0,5.0,-36.80309716835496,-33.680906149052596,3.0,2.0,1.0,1.0,1.0,-41.14438533523534,
1300,28025,-37.23408845754383,0.0,0.0,0.0,-2.0,-15.0,-40.24958667221653,-45.383171521684076,-21.0,-26.0,-29.0,-32.0,-25.0,-6.585719105144797,-1.5658935921111807,-27.0,-39.0,-45.0,-47.0,-46.0,-6.903527072617659,-13.620395601766381,-46.0,-39.0,-35.0,-47.0,-48.0,-6.3792001058661985,-7.395641889178533,-49.0,-47.0,-46.0,-37.0,-36.0,-9.718507441407287,-9.837946318902933,-47.0,-48.0,-49.0,-49.0,-60.0,-3.0,-42.0,1.0,-3.0,-2.0,1.0,2.0,0.0,-2.0,-5.0,0.0,-31.0,-66.0,-18.0,-14.0,-13.0
1301,28027,1.0,4.0,3.0,2.0,2.0,1.0,3.0,2.0,3.0,2.0,0.0,-2.0,-1.0,-3.0,-5.0,-9.0,-18.0,-24.0,-28.0,-30.0,-31.0,-24.0,-27.0,-41.0,-46.0,-48.0,-48.0,-47.0,-34.0,-35.0,-48.0,-49.0,-49.0,-51.0,-49.0,-35.0,-34.0,-50.0,-52.0,-51.0,-52.0,-62.0,-38.0,1.0600960798516506,-1.2239280076680994,6.0,-2.0,4.0,-4.0,4.0,-1.0749820694738623,1.6035028082694571,-12.0,-33.0,-6.0,-5.0,-4.0
1302,28029,1.4930661055656376,4.506933894434363,2.0,4.0,2.0,5.0,8.0,2.455575070828707,3.6045210090229443,12.0,7.0,13.0,4.0,-2.0,-1.3954789909770562,-4.69337086736553,2.0,-13.0,-15.0,-23.0,-21.0,-20.642012043759877,-24.530557140302566,-27.0,-40.0,-35.0,-40.0,-35.0,-29.739599158348458,-32.49306610556563,-31.0,-42.0,-37.0,-42.0,-33.0,-33.28402408751975,-9.20759242305398,-12.45240010326358,-12.451585623335216,-34.097587114588585,-9.609130870989905,2.1810983315575028,-31.0,4.7510829904161005,1.6106438491004194,-3.4439110126806565,-22.194619500283213,-5.074718588932945,-0.7430708527066915,-36.0,-33.0,5.824913734555078,3.052633757910849,-7.977869817162203,2.413634957291498,-9.1653101985911,-39.0
1303,28031,-58.0,1.6770986018649072,-11.274324196203372,-16.954761564333815,-18.273341963200593,-12.640154430900461,-33.30662913263447,4.0,-5.057676289006436,-15.34406068615354,-20.47212779755107,-21.588899663915104,-22.75035960212681,-24.04020379029846,-2.7711602586523294,-17.054041888597077,-26.99629213635077,-27.327013377257767,-27.910408845313697,-29.026721432340164,-29.780258548391075,-23.54668298654251,-15.209822814781214,-32.413957367745105,-38.83850643283954,-35.64792293837191,-27.124287921405703,-27.813400466648705,-27.200785183038732,-20.762198272456402,-21.453995116276072,-23.077317249271722,-22.95521438500754,-24.98952577049684,-23.7869416834833,-7.811687946096656,-8.164544423524319,-3.9237203065394235,7.0,3.0,5.0,1.0,3.0,8.0,4.202761342181823,-12.0,-41.0,-8.0,-9.0,-1.0,14.0,7.852947684680209,6.0,1.0,3.0,2.0,7.0
