,FIPS,hospitals,staffed_beds,licensed_beds,icu_beds_Pre,icu_beds_Post
1621,30047,2,47.0,0.0,0.0,0
1622,30049,1,131.0,143.0,8.0,8
1623,30051,1,25.0,0.0,0.0,0
1624,30053,1,25.0,0.0,0.0,0
1625,30055,1,25.0,0.0,0.0,0
1626,30057,2,20.0,0.0,0.0,0
1627,30059,1,25.0,0.0,0.0,0
1628,30061,1,24.0,0.0,0.0,0
1629,30063,2,299.0,404.0,32.0,32
1630,30065,1,25.0,0.0,0.0,0
1631,30067,1,25.0,0.0,4.0,4
1633,30071,1,6.0,0.0,0.0,0
1634,30073,1,20.0,0.0,0.0,0
1636,30077,1,16.0,0.0,0.0,0
1637,30079,1,22.0,0.0,0.0,0
1638,30081,1,25.0,0.0,5.0,5
1639,30083,1,25.0,0.0,0.0,0
1640,30085,3,75.0,0.0,0.0,0
1641,30087,1,25.0,0.0,1.0,1
1642,30089,1,16.0,0.0,0.0,0
1643,30091,1,19.0,0.0,0.0,0
1644,30093,1,71.0,98.0,11.0,11
1645,30095,1,10.0,0.0,0.0,0
1646,30097,1,25.0,0.0,0.0,0
1647,30099,1,25.0,0.0,0.0,0
1648,30101,1,21.0,0.0,0.0,0
1650,30105,1,25.0,0.0,0.0,0
1651,30107,1,25.0,0.0,0.0,0
1653,30111,2,577.0,611.0,41.0,41
1654,31001,1,127.0,162.0,10.0,10
1655,31003,1,23.0,23.0,0.0,0
1659,31011,1,25.0,25.0,0.0,0
1660,31013,1,25.0,25.0,0.0,0
1661,31015,1,20.0,20.0,0.0,0
1662,31017,1,23.0,23.0,0.0,0
1663,31019,2,362.0,266.0,34.0,34
1664,31021,1,16.0,16.0,0.0,0
1665,31023,1,20.0,20.0,0.0,0
1668,31029,1,22.0,20.0,0.0,0
1669,31031,1,25.0,0.0,0.0,0
1670,31033,1,19.0,25.0,4.0,4
1672,31037,1,25.0,25.0,0.0,0
1673,31039,1,25.0,25.0,0.0,0
1674,31041,2,35.0,35.0,0.0,0
1676,31045,1,25.0,25.0,0.0,0
1677,31047,3,57.0,57.0,0.0,0
1680,31053,1,50.0,70.0,0.0,0
1681,31055,8,2208.0,2705.0,234.0,187
1682,31057,1,14.0,14.0,0.0,0
1683,31059,1,20.0,20.0,0.0,0
1684,31061,1,14.0,14.0,0.0,0
1686,31065,1,20.0,20.0,0.0,0
1687,31067,1,25.0,25.0,3.0,3
1688,31069,1,10.0,10.0,0.0,0
1693,31079,1,140.0,159.0,16.0,16
1694,31081,1,14.0,12.0,0.0,0
1695,31083,1,19.0,19.0,0.0,0
1698,31089,3,42.0,42.0,0.0,0
1700,31093,1,16.0,16.0,0.0,0
1701,31095,1,17.0,17.0,0.0,0
1702,31097,1,18.0,18.0,0.0,0
1703,31099,1,10.0,10.0,0.0,0
1704,31101,1,18.0,18.0,0.0,0
1706,31105,1,15.0,15.0,0.0,0
1707,31107,1,23.0,23.0,0.0,0
1708,31109,4,1392.0,1144.0,52.0,108
1709,31111,1,97.0,116.0,19.0,19
1713,31119,1,131.0,0.0,24.0,24
1714,31121,1,20.0,20.0,0.0,0
1715,31123,1,20.0,20.0,0.0,0
1716,31125,0,19.0,19.0,0.0,0
1717,31127,1,16.0,16.0,0.0,0
1718,31129,1,25.0,25.0,0.0,0
1719,31131,2,28.0,36.0,0.0,0
1720,31133,1,17.0,11.0,0.0,0
1721,31135,1,20.0,20.0,0.0,0
1722,31137,1,25.0,25.0,0.0,0
1723,31139,2,35.0,35.0,0.0,0
1724,31141,2,47.0,47.0,5.0,5
1725,31143,1,16.0,16.0,0.0,0
1726,31145,1,25.0,25.0,0.0,0
1727,31147,1,24.0,24.0,0.0,0
1728,31149,0,24.0,24.0,0.0,0
1729,31151,2,43.0,43.0,0.0,0
1730,31153,2,89.0,212.0,8.0,8
1731,31155,1,16.0,16.0,0.0,0
