FIPS,01/01/20,01/02/20,01/03/20,01/04/20,01/05/20,01/06/20,01/07/20,01/08/20,01/09/20,01/10/20,01/11/20,01/12/20,01/13/20,01/14/20,01/15/20,01/16/20,01/17/20,01/18/20,01/19/20,01/20/20,01/21/20,01/22/20,01/23/20,01/24/20,01/25/20,01/26/20,01/27/20,01/28/20,01/29/20,01/30/20,01/31/20,02/01/20,02/02/20,02/03/20,02/04/20,02/05/20,02/06/20,02/07/20,02/08/20,02/09/20,02/10/20,02/11/20,02/12/20,02/13/20,02/14/20,02/15/20,02/16/20,02/17/20,02/18/20,02/19/20,02/20/20,02/21/20,02/22/20,02/23/20,02/24/20,02/25/20,02/26/20,02/27/20,02/28/20,02/29/20,03/01/20,03/02/20,03/03/20,03/04/20,03/05/20,03/06/20,03/07/20,03/08/20,03/09/20,03/10/20,03/11/20,03/12/20,03/13/20,03/14/20,03/15/20,03/16/20,03/17/20,03/18/20,03/19/20,03/20/20,03/21/20,03/22/20,03/23/20,03/24/20,03/25/20,03/26/20,03/27/20,03/28/20,03/29/20,03/30/20,03/31/20,04/10/20,04/11/20,04/12/20
9009,168.66666666666666,265.3333333333333,389.3333333333333,532.6666666666666,135.33333333333334,239.33333333333334,252.0,234.66666666666666,153.57142857142858,270.7142857142857,182.66666666666666,158.0,243.33333333333334,322.14285714285717,200.0,252.0,142.0,174.0,213.33333333333334,154.0,212.66666666666666,455.3333333333333,580.2,486.92857142857144,179.2,252.14285714285714,252.85714285714286,168.57142857142858,142.85714285714286,165.33333333333334,518.6666666666666,349.3333333333333,229.28571428571428,250.0,339.2857142857143,165.0,192.85714285714286,255.71428571428572,166.42857142857142,202.66666666666666,212.14285714285714,380.6666666666667,212.0,273.84615384615387,167.69230769230768,179.28571428571428,274.2857142857143,406.0,184.28571428571428,189.23076923076923,176.0,168.66666666666666,247.14285714285714,532.1428571428571,478.46666666666664,255.33333333333334,242.0,175.71428571428572,190.0,182.0,161.33333333333334,317.0,220.0,183.07692307692307,166.0,282.14285714285717,146.0,205.0,297.77777777777777,248.0,157.42857142857142,212.0,189.28571428571428,162.5,144.0,136.0,164.66666666666666,295.7142857142857,200.0,250.66666666666666,150.0,156.66666666666666,146.42857142857142,162.66666666666666,212.0,196.875,208.0,210.0,150.0,169.33333333333334,172.0,146.66666666666666,135.33333333333334,346.6666666666667
9015,,,,,,,,,,,,,,,30.5,,,,,,,,,,38.0,,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10001,,,,,,,,,,,,,,,27.5,,,,,,,,,,35.0,,,,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10003,138.125,569.1666666666666,355.0,,,213.33333333333334,369.375,215.33333333333334,213.125,223.0,287.5,111.25,234.0,374.6666666666667,175.0,209.375,177.5,181.875,220.0,175.0,223.125,193.9,235.0,177.0344827586207,167.41176470588235,237.33333333333334,259.2857142857143,191.33333333333334,165.0,193.11764705882354,319.375,344.375,235.33333333333334,336.6666666666667,478.0,188.66666666666666,207.83333333333334,180.66666666666666,169.33333333333334,233.125,201.42857142857142,368.75,216.25,221.9375,175.71428571428572,180.0,216.66666666666666,197.14285714285714,229.28571428571428,177.69230769230768,205.0,198.75,292.0,342.0,432.6666666666667,255.0,235.55555555555554,126.47058823529412,210.66666666666666,187.5,179.375,260.7142857142857,232.77777777777777,168.57142857142858,187.5,282.0,161.875,265.625,334.0,281.42857142857144,173.4,251.875,195.33333333333334,156.92307692307693,164.375,132.6315789473684,196.875,222.66666666666666,279.1666666666667,244.375,170.625,198.125,224.66666666666666,205.0,210.0,258.125,234.0,237.5,220.625,235.0,207.5,172.5,192.5,308.0
10005,,,,,,,,,,,,,,,24.0,,,,,,,,,,38.0,,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001,170.625,844.375,338.125,329.375,148.75,300.625,745.7142857142857,240.0,343.75,333.7142857142857,326.875,137.5,364.6666666666667,414.6666666666667,229.75,182.0,178.75,369.375,216.0,185.625,210.625,351.53333333333336,522.3333333333334,378.93333333333334,157.52941176470588,331.3333333333333,306.0,195.33333333333334,173.0,310.1578947368421,414.0,687.5,282.0,537.3333333333334,501.3333333333333,320.6666666666667,289.2857142857143,194.0,247.33333333333334,478.6666666666667,270.6666666666667,336.25,275.3333333333333,265.0,172.14285714285714,305.0,312.6666666666667,444.375,317.14285714285717,152.85714285714286,331.875,175.33333333333334,360.6666666666667,732.6666666666666,565.9444444444445,353.75,375.0,150.66666666666666,243.75,190.625,336.25,358.75,360.0,167.85714285714286,263.125,315.3333333333333,161.25,345.0,275.38461538461536,260.0,216.1764705882353,398.125,206.0,176.92307692307693,210.0,351.875,296.25,311.3333333333333,359.375,250.0,164.0,238.75,230.0,238.0,227.5,313.75,301.3333333333333,288.125,305.0,260.6666666666667,250.0,161.33333333333334,219.33333333333334,379.0
12005,,,,,,,,,,,,,,,28.0,,,,,,,,,,27.0,,,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12009,,,,,,,,,,,,,,,42.75,,,,,,,,,,35.0,,,,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12011,249.375,469.0625,335.3125,190.0,188.75,261.53846153846155,216.875,264.375,252.25806451612902,247.9655172413793,263.75,278.125,292.5,275.7142857142857,286.3225806451613,487.8125,343.4375,264.0625,317.1875,211.5625,165.9375,146.85714285714286,237.22222222222223,255.95652173913044,227.35294117647058,213.66666666666666,294.3333333333333,419.3333333333333,212.93939393939394,188.3548387096774,389.6875,211.25,154.0,250.0,702.0689655172414,482.3333333333333,274.9259259259259,152.0,245.33333333333334,244.6875,324.54545454545456,329.0625,337.0,304.1111111111111,418.57142857142856,250.33333333333334,269.0,435.0,295.3333333333333,354.2857142857143,424.5833333333333,144.33333333333334,217.66666666666666,251.33333333333334,306.16129032258067,386.875,420.3125,163.0,163.4375,187.5,244.375,312.41379310344826,370.4074074074074,406.9230769230769,351.5625,168.66666666666666,205.0,240.3125,251.72413793103448,302.1875,364.55,493.75,628.6666666666666,474.61538461538464,525.0,418.3529411764706,323.6666666666667,334.64285714285717,307.85714285714283,323.57142857142856,288.75,298.4375,352.3333333333333,385.18518518518516,207.1875,264.48275862068965,419.0625,316.5625,274.6875,340.3125,163.75,180.3125,283.75,242.5
12017,,,,,,,,,,1.0,,,,,1.0,,,,,,,2.0,1.0,,,,,,,1.0,,,,,,,1.6666666666666667,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,
12023,,,,,,,,,,,,,,,27.0,,,,,,,,,,29.0,,,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12031,308.75,452.5,594.375,493.75,363.75,538.75,575.0,396.875,707.5,546.375,610.0,670.625,766.1538461538462,560.0,376.25,520.0,230.625,416.875,409.375,256.875,296.25,213.66666666666666,229.31578947368422,190.63636363636363,371.22222222222223,396.6666666666667,490.0,361.42857142857144,487.77777777777777,219.0,323.125,345.625,91.42857142857143,231.53846153846155,421.8181818181818,730.6666666666666,571.5333333333333,479.2307692307692,327.3333333333333,512.5,669.3333333333334,781.875,734.6153846153846,448.73333333333335,316.42857142857144,337.3333333333333,382.0,376.25,527.3333333333334,599.2857142857143,418.75,359.375,347.3333333333333,378.6666666666667,664.6666666666666,667.5,641.25,412.625,511.25,473.75,544.375,665.0,472.42857142857144,529.2857142857143,468.125,346.6666666666667,200.0,325.0,393.3333333333333,518.75,489.4375,612.5,653.3333333333334,569.2307692307693,568.75,306.5625,418.75,425.0,468.75,500.0,487.5,431.25,460.0,512.5,506.25,500.0,593.75,612.5,587.5,650.0,618.75,437.5,381.25,430.0
12033,,,,,,,,,,,,,,,28.5,,,,,,,,,,25.0,,,,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12035,,,,,,,,,,,,,,,,,,,,,,,,,33.0,,,,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12055,,,,,,,,,,,,,,,43.5,,,,,,,,,,38.0,,,,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12057,340.0,226.875,177.5,173.75,250.625,408.6666666666667,456.25,286.875,274.375,148.47058823529412,160.0,113.125,151.875,201.42857142857142,173.21052631578948,338.75,211.875,204.375,168.75,237.5,283.75,258.55555555555554,188.9047619047619,53.3448275862069,204.1578947368421,324.6666666666667,345.55555555555554,302.0,240.52631578947367,281.4117647058824,341.875,262.5,249.33333333333334,309.375,283.3333333333333,196.0,59.8125,252.66666666666666,306.0,252.5,256.6666666666667,81.81818181818181,214.6153846153846,146.13333333333333,260.0,252.0,172.66666666666666,206.875,180.66666666666666,317.85714285714283,157.5,234.0,265.0,218.0,216.0,228.66666666666666,189.33333333333334,0.6666666666666666,258.75,250.625,450.0,217.5,142.3684210526316,173.84615384615384,168.125,270.0,256.25,269.375,302.0,246.0,269.5,255.625,236.0,226.92307692307693,293.75,178.3,183.75,174.375,183.125,182.5,210.0,188.75,260.6666666666667,190.66666666666666,207.5,278.125,286.875,216.25,204.375,288.125,180.625,359.375,333.75,274.0
12059,,,,,,,,,,,,,,,29.0,,,,,,,,,,27.0,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12061,,,,,,,,,,,,,,,47.0,,,,,,,,,,,,,,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12069,,,,,,,,,,,,,,,36.0,,,,,,,,,,35.0,,,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12071,,,,,,,,,,,,,,,44.166666666666664,,,,,,,,,,38.0,,,,32.666666666666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12073,,,,,,,,,,,,,,,22.5,,,,,,,,,,26.0,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12077,,,,,,,,,,,,,,,29.0,,,,,,,,,,26.0,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
