FIPS,stay at home,>50 gatherings,>500 gatherings,public schools,restaurant dine-in,entertainment/gym,federal guidelines,foreign travel ban,Score,TCI+,Jobs+,Trips/Week+,Routes,Transit Shed,Transit
2170,,,,737503.0,737501.0,737501.0,737500.0,737495.0,0.5,0.2,2828,33,2,2,0
2180,,,,737503.0,737501.0,737501.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
2185,,,,737503.0,737501.0,737501.0,737500.0,737495.0,0.0,0.0,0,0,0,0,4
2188,,,,737503.0,737501.0,737501.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
2220,,,,737503.0,737501.0,737501.0,737500.0,737495.0,2.2,1.1,2798,218,2,4,1
2240,,,,737503.0,737501.0,737501.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
2261,,,,737503.0,737501.0,737501.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
2282,,,,737503.0,737501.0,737501.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
2290,,,,737503.0,737501.0,737501.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
4001,737515.0,737515.0,737515.0,737500.0,737504.0,,737500.0,737495.0,0.3,0.0,960,19,1,1,1
4003,737515.0,737515.0,737515.0,737500.0,737504.0,,737500.0,737495.0,0.7,0.0,1214,66,1,1,0
4005,737515.0,737515.0,737515.0,737500.0,737504.0,,737500.0,737495.0,2.1,1.2,11784,399,3,4,1
4007,737515.0,737515.0,737515.0,737500.0,737504.0,,737500.0,737495.0,0.0,0.0,0,0,0,0,0
4009,737515.0,737515.0,737515.0,737500.0,737504.0,,737500.0,737495.0,0.0,0.0,0,0,0,0,1
4011,737515.0,737515.0,737515.0,737500.0,737504.0,,737500.0,737495.0,0.0,0.0,0,0,0,0,0
4012,737515.0,737515.0,737515.0,737500.0,737504.0,,737500.0,737495.0,0.0,0.0,195,1,0,0,0
4013,737515.0,737515.0,737515.0,737500.0,737504.0,,737500.0,737495.0,4.4,3.1,100236,1146,3,25,2
4015,737515.0,737515.0,737515.0,737500.0,737504.0,,737500.0,737495.0,0.4,0.2,363,26,0,1,0
4017,737515.0,737515.0,737515.0,737500.0,737504.0,,737500.0,737495.0,0.1,0.0,24,2,0,0,1
4019,737515.0,737515.0,737515.0,737500.0,737504.0,,737500.0,737495.0,3.7,2.5,56905,885,4,20,2
4021,737515.0,737515.0,737515.0,737500.0,737504.0,,737500.0,737495.0,0.1,0.0,0,1,0,0,0
4023,737515.0,737515.0,737515.0,737500.0,737504.0,,737500.0,737495.0,0.0,0.0,0,0,0,0,0
4025,737515.0,737515.0,737515.0,737500.0,737504.0,,737500.0,737495.0,0.4,0.2,879,53,1,1,0
4027,737515.0,737515.0,737515.0,737500.0,737504.0,,737500.0,737495.0,2.0,1.1,15567,164,2,10,1
5001,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
5003,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
5005,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
5007,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.6,0.3,6197,36,1,2,0
5009,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
5011,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
5013,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
5015,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
5017,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,1
5019,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.2,0.1,32,1,0,0,0
5021,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
5023,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
5025,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
5027,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
5029,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
5031,,,,737501.0,737503.0,737503.0,737500.0,737495.0,1.4,0.7,7355,104,1,3,0
5033,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
5035,,,,737501.0,737503.0,737503.0,737500.0,737495.0,1.4,0.8,12452,78,1,4,0
5037,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
5039,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
5041,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
5043,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
5045,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
5047,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
5049,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,1
5051,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.9,0.5,4597,57,1,2,0
5053,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
5055,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
5057,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.3,0.2,0,5,0,0,0
5059,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.3,0.2,12,3,0,0,0
5061,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,1
5063,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
5065,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
5067,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
5069,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
5071,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
5073,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
5075,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.3,0.2,0,4,0,0,0
5077,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
5079,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
5081,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
5083,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
5085,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
5087,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
5089,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
5091,,,,737501.0,737503.0,737503.0,737500.0,737495.0,1.4,0.7,8913,94,2,7,0
5093,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
5095,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
5097,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
5099,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
5101,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
5103,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
5105,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
5107,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
5109,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
5111,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
5113,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
5115,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
5117,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
5119,,,,737501.0,737503.0,737503.0,737500.0,737495.0,2.3,1.4,69678,222,2,19,1
5121,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
5123,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
5125,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
5127,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
5129,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
5131,,,,737501.0,737503.0,737503.0,737500.0,737495.0,1.4,0.8,11216,70,1,5,0
5133,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
5135,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
5137,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
5139,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
5141,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
5143,,,,737501.0,737503.0,737503.0,737500.0,737495.0,2.5,1.5,20706,565,6,9,0
5145,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
5147,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,1
5149,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
6001,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,7.1,8.9,222025,2682,10,32,15
6003,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
6005,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,0.8,0.3,2268,66,2,4,0
6007,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,2.9,1.7,28092,478,5,13,1
6009,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,0.6,0.1,972,51,1,1,1
6011,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
6013,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,5.0,4.0,91167,1068,7,26,11
6015,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,2.1,1.1,4316,220,4,7,0
6017,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,1.3,0.6,5406,134,2,3,1
6019,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,3.2,2.1,48607,611,3,16,1
6021,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
6023,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,2.1,1.1,12880,198,3,6,2
6025,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,0.1,0.0,803,3,0,0,0
6027,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,0.4,0.1,216,27,1,1,1
6029,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,3.1,1.9,26813,552,3,12,0
6031,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,3.0,0.8,9939,450,7,7,0
6033,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,1.8,0.9,3318,174,2,7,1
6035,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,0.9,0.4,1638,51,2,3,0
6037,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,6.8,8.0,321664,2608,8,46,6
6039,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,1.2,0.6,6065,101,2,2,0
6041,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,4.8,3.6,79497,1153,10,17,10
6043,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,0.4,0.1,7938,52,0,5,2
6045,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,1.6,0.8,6309,142,2,4,0
6047,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,2.4,1.5,11658,268,4,7,1
6049,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,0.3,0.1,100,8,0,0,0
6051,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,3.5,1.9,2830,1178,6,3,21
6053,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,4.2,2.4,33243,870,6,16,1
6055,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,3.3,2.0,21478,475,4,7,1
6057,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,1.2,0.5,5333,105,2,4,1
6059,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,4.2,2.7,172595,528,4,32,2
6061,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,2.0,0.9,22351,184,3,7,1
6063,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,0.7,0.2,859,45,1,2,0
6065,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,3.3,2.0,27262,589,3,13,1
6067,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,4.8,4.1,93403,729,6,22,2
6069,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,1.7,1.0,4149,110,2,3,0
6071,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,4.4,3.1,44660,1098,3,17,1
6073,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,5.3,5.1,82735,1358,4,19,3
6075,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,9.6,31.7,653730,11896,26,37,36
6077,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,3.0,1.8,33035,373,5,12,1
6079,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,2.6,0.9,13506,277,4,6,1
6081,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,6.1,6.5,183088,1411,8,27,10
6083,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,4.3,2.5,31301,718,5,10,3
6085,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,6.5,6.7,222227,1629,6,40,4
6087,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,4.8,4.1,33599,1269,6,15,2
6089,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,1.8,1.0,11633,168,3,6,0
6091,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
6093,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,0.9,0.3,2647,63,2,3,0
6095,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,3.9,2.3,25574,597,5,12,3
6097,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,3.4,2.0,46795,430,7,21,2
6099,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,3.6,2.7,34836,540,4,13,0
6101,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,2.7,1.5,11554,277,2,6,0
6103,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,1.0,0.5,3041,76,3,3,0
6105,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,0.6,0.2,647,35,2,4,0
6107,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,4.1,2.5,29351,885,8,19,0
