,Retail & recreation,Retail & recreation,Grocery & pharmacy,Grocery & pharmacy,Parks,Parks,Transit stations,Transit stations,Workplaces,Workplaces,Residential,Residential
Date,2020-03-29,2020-04-05,2020-03-29,2020-04-05,2020-03-29,2020-04-05,2020-03-29,2020-04-05,2020-03-29,2020-04-05,2020-03-29,2020-04-05
FIPS,,,,,,,,,,,,
5085,-23.0,-29.0,-5.0,4.0,,,,,-27.0,-26.0,15.0,16.0
5087,-10.0,-31.0,17.0,-13.0,,,,,-11.0,-32.0,,
5089,4.0,-16.0,5.0,3.0,,,,,-26.0,-24.0,,
5091,-33.0,-35.0,-10.0,-9.0,-35.0,-37.0,-24.0,-38.0,-32.0,-35.0,12.0,15.0
5093,-11.0,-14.0,-1.0,18.0,,,-18.0,-24.0,-15.0,-20.0,10.0,11.0
5095,-26.0,-40.0,-8.0,-8.0,,,,,-34.0,-20.0,,
5097,,,,,,,,,-33.0,-33.0,,
5099,-61.0,-61.0,,,,,-23.0,-36.0,-21.0,-28.0,,
5101,,,,,,,,,-38.0,-31.0,,
5103,-9.0,-16.0,-21.0,-20.0,,,,,-16.0,-18.0,,
5105,,,,,,,,,-35.0,-33.0,,
5107,-1.0,-5.0,-6.0,16.0,,,,,-32.0,-29.0,,
5109,-30.0,-30.0,13.0,-8.0,,,,,-33.0,-28.0,,
5111,2.0,-2.0,-5.0,7.0,,,,,-15.0,-19.0,,
5113,-17.0,-51.0,3.0,31.0,,,,,-25.0,-23.0,,
5115,-32.0,-40.0,-9.0,-4.0,,,-11.0,-25.0,-22.0,-21.0,12.0,14.0
5117,,,,,,,,,-26.0,-24.0,,
5119,-35.0,-38.0,-9.0,-5.0,73.0,34.0,-38.0,-45.0,-30.0,-31.0,9.0,9.0
5121,-22.0,-33.0,12.0,12.0,,,,,-23.0,-28.0,,
5123,-16.0,-26.0,10.0,28.0,,,-22.0,-29.0,-25.0,-14.0,,
5125,-26.0,-30.0,-13.0,-7.0,-52.0,-65.0,-10.0,-22.0,-33.0,-32.0,7.0,8.0
5127,-39.0,-53.0,,,,,,,-27.0,-23.0,,
5129,,,,,,,,,-39.0,-43.0,,
5131,-36.0,-42.0,-11.0,-7.0,45.0,-10.0,-41.0,-41.0,-27.0,-30.0,7.0,9.0
5133,-24.0,-35.0,-11.0,-8.0,,,,,-19.0,-28.0,,
5135,-17.0,-27.0,-7.0,0.0,,,,,-26.0,-24.0,,
5137,-11.0,-23.0,-29.0,8.0,,,,,-26.0,-26.0,,
5139,-33.0,-32.0,-8.0,-2.0,,,,,-24.0,-23.0,8.0,9.0
5141,-20.0,-33.0,,,,,,,-39.0,-32.0,,
5143,-37.0,-45.0,-16.0,-18.0,37.0,-21.0,-10.0,-29.0,-34.0,-36.0,8.0,11.0
5145,-27.0,-32.0,-12.0,5.0,-19.0,-23.0,4.0,-6.0,-21.0,-26.0,9.0,13.0
5149,-11.0,-27.0,13.0,10.0,16.0,-27.0,,,-19.0,-15.0,,
6001,-58.0,-65.0,-27.0,-36.0,-14.0,-61.0,-64.0,-72.0,-44.0,-49.0,17.0,18.0
6005,-41.0,-56.0,-20.0,-44.0,-50.0,-64.0,,,-44.0,-52.0,0.0,0.0
6007,-45.0,-47.0,-16.0,-23.0,-23.0,-63.0,-45.0,-53.0,-34.0,-38.0,11.0,12.0
6009,-42.0,-56.0,-12.0,-18.0,-28.0,-75.0,,,-39.0,-45.0,10.0,10.0
6011,-37.0,-46.0,-1.0,-6.0,,,-32.0,-42.0,-37.0,-39.0,,
6013,-48.0,-54.0,-21.0,-25.0,-15.0,-53.0,-49.0,-60.0,-41.0,-44.0,15.0,17.0
6015,-31.0,-32.0,-11.0,-11.0,-26.0,-32.0,,,-29.0,-30.0,,
6017,-58.0,-68.0,-37.0,-45.0,-35.0,-83.0,-50.0,-53.0,-48.0,-54.0,13.0,15.0
6019,-40.0,-45.0,-14.0,-16.0,-27.0,-66.0,-43.0,-53.0,-31.0,-35.0,11.0,13.0
6021,-23.0,-54.0,-14.0,25.0,-11.0,-36.0,-20.0,-27.0,-36.0,-33.0,2.0,2.0
6023,-48.0,-49.0,-23.0,-25.0,-10.0,-29.0,-48.0,-58.0,-35.0,-38.0,11.0,12.0
6025,-53.0,-57.0,-31.0,-29.0,-65.0,-74.0,-62.0,-64.0,-32.0,-35.0,16.0,17.0
6027,-75.0,-81.0,-37.0,-37.0,-35.0,-54.0,,,-39.0,-49.0,,
6029,-43.0,-43.0,-17.0,-13.0,-16.0,-27.0,-37.0,-40.0,-30.0,-32.0,11.0,11.0
6031,-34.0,-36.0,-14.0,-12.0,-12.0,-52.0,-43.0,-59.0,-27.0,-28.0,10.0,11.0
6033,-38.0,-39.0,-13.0,-2.0,-42.0,-49.0,-42.0,-32.0,-33.0,-38.0,16.0,15.0
6035,-30.0,-37.0,-8.0,-3.0,,,,,-22.0,-19.0,,
6037,-51.0,-53.0,-27.0,-27.0,-48.0,-59.0,-54.0,-57.0,-41.0,-43.0,17.0,17.0
6039,-39.0,-47.0,-25.0,-30.0,-20.0,-59.0,-30.0,-28.0,-30.0,-34.0,11.0,12.0
6041,-61.0,-64.0,-30.0,-38.0,-59.0,-70.0,-61.0,-65.0,-42.0,-47.0,17.0,18.0
6043,-75.0,-86.0,-23.0,-54.0,-72.0,-87.0,,,-45.0,-53.0,,
6045,-47.0,-46.0,-29.0,-26.0,-39.0,-51.0,-44.0,-56.0,-32.0,-34.0,17.0,16.0
6047,-34.0,-44.0,-18.0,-24.0,-1.0,-60.0,-37.0,-48.0,-26.0,-31.0,11.0,13.0
6049,-59.0,-59.0,-9.0,4.0,,,,,-26.0,-26.0,,
6051,-100.0,-100.0,-60.0,-67.0,-57.0,-61.0,,,-73.0,-73.0,,
6053,-46.0,-53.0,-19.0,-29.0,-48.0,-79.0,-45.0,-50.0,-43.0,-46.0,14.0,16.0
6055,-53.0,-59.0,-34.0,-37.0,-24.0,-52.0,-45.0,-55.0,-51.0,-52.0,18.0,19.0
6057,-56.0,-66.0,-26.0,-38.0,-48.0,-70.0,-73.0,-83.0,-41.0,-48.0,15.0,17.0
6059,-52.0,-55.0,-24.0,-26.0,-31.0,-53.0,-55.0,-59.0,-44.0,-46.0,17.0,18.0
6061,-52.0,-62.0,-27.0,-42.0,-2.0,-69.0,-55.0,-70.0,-44.0,-48.0,13.0,15.0
6063,-30.0,-64.0,-8.0,-18.0,,,,,-25.0,-36.0,,
6065,-43.0,-46.0,-20.0,-21.0,-44.0,-60.0,-41.0,-45.0,-39.0,-41.0,14.0,15.0
6067,-45.0,-52.0,-21.0,-27.0,-1.0,-58.0,-57.0,-68.0,-37.0,-42.0,13.0,15.0
6069,-45.0,-54.0,-25.0,-33.0,-36.0,-76.0,,,-32.0,-38.0,23.0,22.0
6071,-45.0,-46.0,-23.0,-21.0,-36.0,-49.0,-42.0,-46.0,-34.0,-36.0,14.0,14.0
6073,-50.0,-54.0,-26.0,-28.0,-51.0,-70.0,-64.0,-69.0,-41.0,-43.0,15.0,16.0
6075,-75.0,-77.0,-37.0,-41.0,-55.0,-65.0,-66.0,-70.0,-53.0,-54.0,21.0,22.0
6077,-41.0,-49.0,-16.0,-21.0,-16.0,-58.0,-31.0,-45.0,-30.0,-36.0,12.0,14.0
6079,-56.0,-65.0,-29.0,-39.0,-27.0,-77.0,-58.0,-73.0,-45.0,-48.0,13.0,16.0
6081,-60.0,-65.0,-26.0,-32.0,-35.0,-63.0,-83.0,-86.0,-46.0,-50.0,19.0,20.0
6083,-47.0,-55.0,-17.0,-26.0,-30.0,-67.0,-51.0,-63.0,-40.0,-45.0,13.0,16.0
6085,-62.0,-68.0,-33.0,-45.0,-22.0,-70.0,-71.0,-78.0,-48.0,-52.0,17.0,19.0
6087,-55.0,-65.0,-27.0,-37.0,-40.0,-75.0,-57.0,-68.0,-41.0,-45.0,15.0,18.0
6089,-39.0,-42.0,-15.0,-11.0,-21.0,-41.0,-22.0,-34.0,-31.0,-35.0,9.0,10.0
6093,-35.0,-39.0,-20.0,-17.0,-6.0,-20.0,9.0,-25.0,-25.0,-28.0,13.0,10.0
6095,-45.0,-52.0,-21.0,-23.0,-18.0,-52.0,-37.0,-48.0,-34.0,-36.0,13.0,14.0
6097,-53.0,-54.0,-22.0,-24.0,-58.0,-61.0,-54.0,-55.0,-41.0,-43.0,15.0,15.0
6099,-44.0,-53.0,-19.0,-25.0,-12.0,-62.0,-28.0,-41.0,-29.0,-35.0,11.0,13.0
6101,-41.0,-47.0,-18.0,-21.0,-28.0,-47.0,-43.0,-50.0,-34.0,-43.0,13.0,15.0
6103,-34.0,-39.0,-9.0,-5.0,-9.0,-31.0,-22.0,-27.0,-27.0,-31.0,15.0,13.0
6105,-65.0,-39.0,-20.0,0.0,,,,,-28.0,-32.0,,
6107,-39.0,-41.0,-13.0,-12.0,-27.0,-50.0,-28.0,-33.0,-25.0,-29.0,11.0,11.0
6109,-48.0,-57.0,-17.0,-31.0,-67.0,-83.0,,,-38.0,-44.0,14.0,12.0
6111,-46.0,-50.0,-24.0,-29.0,-24.0,-56.0,-40.0,-50.0,-39.0,-39.0,14.0,15.0
6113,-43.0,-51.0,-23.0,-28.0,2.0,-48.0,-34.0,-47.0,-37.0,-43.0,13.0,16.0
6115,-34.0,-41.0,-12.0,-15.0,24.0,-37.0,-34.0,-37.0,-38.0,-41.0,13.0,14.0
8001,-49.0,-43.0,-25.0,-15.0,-12.0,10.0,-30.0,-24.0,-36.0,-36.0,13.0,12.0
8003,-44.0,-40.0,-28.0,-15.0,,,,,-28.0,-17.0,,
8005,-52.0,-48.0,-30.0,-25.0,14.0,41.0,-36.0,-31.0,-40.0,-42.0,14.0,13.0
8007,-60.0,-58.0,-28.0,-20.0,,,,,-44.0,-46.0,,
8011,,,,,,,,,,-34.0,,
8013,-59.0,-55.0,-32.0,-30.0,-7.0,23.0,-44.0,-42.0,-47.0,-47.0,15.0,15.0
8015,-56.0,-51.0,-31.0,-34.0,-36.0,-27.0,,,-45.0,-45.0,,
8019,-88.0,-87.0,-55.0,-53.0,-42.0,-18.0,,,-40.0,-48.0,,
8021,,,,,,,,,-29.0,-33.0,,
8029,-41.0,-27.0,-20.0,-11.0,-40.0,-6.0,,,-19.0,-27.0,5.0,5.0
8031,-63.0,-59.0,-25.0,-20.0,-17.0,6.0,-75.0,-76.0,-43.0,-45.0,16.0,14.0
8035,-56.0,-55.0,-36.0,-34.0,10.0,42.0,-50.0,-50.0,-43.0,-45.0,14.0,13.0
8037,-75.0,-73.0,-47.0,-42.0,-46.0,-46.0,-67.0,-67.0,-74.0,-74.0,26.0,26.0
8039,-22.0,-19.0,-16.0,-25.0,,,,,-37.0,-43.0,0.0,0.0
8041,-45.0,-42.0,-22.0,-17.0,-1.0,20.0,-55.0,-51.0,-40.0,-40.0,12.0,11.0
8043,-35.0,-24.0,-13.0,2.0,-7.0,7.0,,,-29.0,-27.0,14.0,15.0
8045,-51.0,-47.0,-35.0,-30.0,4.0,25.0,-34.0,-34.0,-45.0,-40.0,22.0,20.0
8047,,,,,,,,,-67.0,-63.0,,
8049,-85.0,-83.0,-49.0,-50.0,-84.0,-83.0,-43.0,-43.0,-60.0,-64.0,,
8051,-73.0,-65.0,-43.0,-38.0,-50.0,-35.0,,,-55.0,-55.0,,
8055,-62.0,-50.0,-43.0,-10.0,,,,,-28.0,-25.0,,
8059,-53.0,-48.0,-41.0,-34.0,-3.0,24.0,-39.0,-30.0,-43.0,-44.0,14.0,13.0
8063,-39.0,-34.0,-20.0,-20.0,,,-18.0,-28.0,-13.0,-20.0,,
8065,-82.0,-77.0,-33.0,-34.0,,,,,-57.0,-49.0,,
8067,-58.0,-51.0,-28.0,-15.0,4.0,21.0,-68.0,-66.0,-43.0,-46.0,25.0,21.0
8069,-53.0,-49.0,-27.0,-20.0,1.0,15.0,-38.0,-33.0,-38.0,-40.0,13.0,12.0
8071,-40.0,-37.0,-23.0,-27.0,,,,,-21.0,-27.0,,
8073,-33.0,-36.0,-31.0,-12.0,,,-31.0,-30.0,-30.0,-33.0,,
8075,-32.0,-29.0,-15.0,-13.0,,,,,-26.0,-29.0,,
8077,-40.0,-34.0,-21.0,-15.0,11.0,46.0,-35.0,-24.0,-35.0,-33.0,9.0,7.0
8081,-26.0,-27.0,-22.0,-24.0,,,,,-36.0,-33.0,,
8083,-39.0,-30.0,-14.0,2.0,,,,,-31.0,-25.0,-1.0,-1.0
8085,-45.0,-39.0,-31.0,-21.0,,,,,-36.0,-39.0,17.0,13.0
8087,-40.0,-40.0,-33.0,-27.0,0.0,-4.0,-23.0,-29.0,-18.0,-25.0,14.0,16.0
8089,-32.0,-25.0,-28.0,-17.0,,,,,-25.0,-23.0,,
8091,-28.0,-28.0,,,,,,,-56.0,-56.0,,
8093,-84.0,-63.0,-44.0,-41.0,3.0,46.0,,,-52.0,-48.0,,
8097,-100.0,-100.0,-56.0,-53.0,,,-85.0,-86.0,-75.0,-75.0,,
8099,-32.0,-18.0,-25.0,-4.0,,,-33.0,-32.0,-17.0,-26.0,,
8101,-42.0,-36.0,-21.0,-10.0,-45.0,-24.0,-32.0,-30.0,-29.0,-27.0,9.0,8.0
8103,,,,,,,,,-28.0,-36.0,,
8105,-38.0,-25.0,-24.0,-20.0,,,,,-17.0,-27.0,,
8107,-82.0,-83.0,-49.0,-52.0,-48.0,-58.0,-65.0,-65.0,-62.0,-63.0,-2.0,-2.0
