,Grocery & pharmacy,Grocery & pharmacy,Grocery & pharmacy
Date,2020-03-29,2020-04-05,2020-04-11
FIPS,,,
9001,-35.0,-30.0,-17.0
9003,-31.0,-25.0,-9.0
9005,-27.0,-27.0,-6.0
9007,-28.0,-27.0,0.0
9009,-31.0,-23.0,-8.0
9011,-28.0,-20.0,-3.0
9013,-33.0,-29.0,-3.0
9015,-27.0,-22.0,4.0
10001,-32.0,-29.0,-16.0
10003,-31.0,-30.0,-19.0
10005,-23.0,-26.0,-9.0
12001,-26.0,-30.0,-19.0
12003,-8.0,-6.0,-6.0
12005,-16.0,-24.0,-13.0
12007,0.0,-3.0,21.0
12009,-22.0,-36.0,-17.0
12011,-28.0,-30.0,-23.0
12013,-5.0,-14.0,-14.0
12015,-25.0,-35.0,-21.0
12017,-15.0,-28.0,3.0
12019,-15.0,-27.0,-1.0
12021,-29.0,-37.0,-25.0
12023,-8.0,-14.0,12.0
12027,-21.0,-20.0,-5.0
12029,-4.0,-6.0,-6.0
12031,-13.0,-24.0,-8.0
12033,-10.0,-15.0,-5.0
12035,-16.0,-27.0,1.0
12037,-12.0,-23.0,-23.0
12039,-10.0,-11.0,5.0
12041,-1.0,-12.0,-12.0
12043,,,
12045,-1.0,-17.0,-17.0
12047,-4.0,-3.0,-3.0
12049,-29.0,-32.0,-17.0
12051,-10.0,-16.0,-4.0
12053,-16.0,-30.0,-10.0
12055,-21.0,-31.0,-15.0
12057,-30.0,-34.0,-19.0
12059,-12.0,-19.0,-19.0
12061,-29.0,-33.0,-24.0
12063,-11.0,-14.0,-4.0
12065,-10.0,-13.0,-13.0
12067,,,
12069,-24.0,-35.0,-16.0
12071,-28.0,-38.0,-25.0
12073,-22.0,-24.0,-15.0
12075,-12.0,-19.0,-4.0
12077,-5.0,-14.0,-14.0
12079,-2.0,-14.0,-14.0
12081,-22.0,-36.0,-18.0
12083,-21.0,-29.0,-11.0
12085,-28.0,-39.0,-17.0
12086,-35.0,-36.0,-33.0
12087,-47.0,-54.0,-46.0
12089,-18.0,-24.0,-6.0
12091,-14.0,-23.0,-9.0
12093,-10.0,-22.0,-7.0
12095,-42.0,-47.0,-30.0
12097,-40.0,-45.0,-29.0
12099,-23.0,-33.0,-21.0
12101,-24.0,-33.0,-15.0
12103,-25.0,-32.0,-18.0
12105,-22.0,-31.0,-15.0
