FIPS,01/01/20,01/02/20,01/03/20,01/04/20,01/05/20,01/06/20,01/07/20,01/08/20,01/09/20,01/10/20,01/11/20,01/12/20,01/13/20,01/14/20,01/15/20,01/16/20,01/17/20,01/18/20,01/19/20,01/20/20,01/21/20,01/22/20,01/23/20,01/24/20,01/25/20,01/26/20,01/27/20,01/28/20,01/29/20,01/30/20,01/31/20,02/01/20,02/02/20,02/03/20,02/04/20,02/05/20,02/06/20,02/07/20,02/08/20,02/09/20,02/10/20,02/11/20,02/13/20,02/14/20,02/15/20,02/16/20,02/18/20,02/19/20,02/21/20,02/22/20,02/23/20,02/24/20,02/25/20,02/26/20,02/27/20,02/28/20,02/29/20,03/01/20,03/02/20,03/03/20,03/04/20,03/05/20,03/06/20,03/07/20,03/08/20,03/09/20,03/10/20,03/11/20,03/12/20,03/13/20,03/14/20,03/15/20,03/16/20,03/17/20,03/18/20,03/19/20,03/20/20,03/21/20,03/22/20,03/23/20,03/24/20,03/25/20,03/26/20,03/27/20,03/28/20,03/29/20,03/30/20,03/31/20,04/09/20
4007,12.5625,1.6538461538461537,10.59375,1.0,1.34375,1.9,1.5,1.0,1.125,1.6428571428571428,5.21875,4.40625,1.1111111111111112,1.0384615384615385,8.842105263157896,3.4827586206896552,0.96875,2.25,1.125,1.0833333333333333,1.0,1.3214285714285714,10.791666666666666,10.80952380952381,11.266666666666667,7.9,1.5333333333333334,1.1538461538461537,4.9,4.166666666666667,3.28125,4.25,1.7,1.0,1.5714285714285714,1.8,1.6666666666666667,3.2666666666666666,5.066666666666666,1.53125,1.0,0.875,1.0,,,,,18.5,1.0,0.9333333333333333,0.9333333333333333,3.3,5.25,1.0,1.0384615384615385,1.375,0.8125,0.90625,3.75,1.6538461538461537,2.090909090909091,4.125,0.6333333333333333,0.875,0.6875,0.6666666666666666,2.8666666666666667,0.5416666666666666,0.8125,0.6333333333333333,0.8076923076923077,8.53125,11.142857142857142,0.84375,1.3571428571428572,1.0,4.125,5.375,4.96875,1.2857142857142858,3.5357142857142856,1.0,0.625,0.75,4.125,6.0625,4.8125,10.333333333333334,0.59375
4012,,,,,,,,,,,,,,,34.0,,,,,,,,,27.714285714285715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4013,1.375,1.3846153846153846,1.0425531914893618,1.2708333333333333,1.2708333333333333,1.697674418604651,2.106382978723404,1.4523809523809523,1.0,39.11764705882353,0.7708333333333334,0.9583333333333334,1.125,103.6,10.659574468085106,1.5869565217391304,0.9148936170212766,1.1041666666666667,1.1875,1.0,0.625,0.55,139.70454545454547,66.16774193548387,98.28846153846153,59.301886792452834,132.36,142.49056603773585,86.7843137254902,0.8444444444444444,1.2765957446808511,0.8541666666666666,73.32075471698113,0.725,68.58823529411765,75.38461538461539,114.55813953488372,99.69811320754717,71.18867924528301,0.6875,111.5952380952381,0.6666666666666666,513.2631578947369,641.875,527.5,370.0,641.4285714285714,1.0,0.6666666666666666,39.056603773584904,44.867924528301884,59.97959183673469,0.625,0.2765957446808511,55.5531914893617,1.425531914893617,0.8333333333333334,0.6666666666666666,0.7727272727272727,56.86666666666667,125.85416666666667,0.723404255319149,55.679245283018865,0.7708333333333334,0.6875,69.76,0.6666666666666666,95.97916666666667,1.0,53.73076923076923,138.55555555555554,1.0,1.35,1.0,0.8292682926829268,0.7708333333333334,0.8333333333333334,0.7291666666666666,0.6666666666666666,66.74468085106383,0.6875,0.7659574468085106,0.6666666666666666,0.6595744680851063,0.6739130434782609,0.6666666666666666,0.6444444444444445,0.723404255319149,0.6666666666666666
4021,1.0,1.0,0.875,0.75,0.625,0.6,0.5714285714285714,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,15.571428571428571,1.0,1.0,0.8125,0.875,1.0,1.0,1.0,1.0,26.49397590361446,1.0,1.0,0.9333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4,0.9090909090909091,0.8666666666666667,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0625,1.25,1.3846153846153846,1.0,1.0,1.0,1.0,1.0625,1.0,1.0,1.0833333333333333,1.1875,1.5333333333333334,1.0769230769230769,1.25,1.4615384615384615,1.7142857142857142,1.8571428571428572,1.6,1.0,1.625,1.6875,1.1333333333333333,1.8125,1.9375,1.875,1.875,1.3125,1.6875,1.5625,1.5625,1.5625
4023,,,,,,,,,,,,,,,37.6,,,,,,,,,36.371428571428574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4025,,,,,,,,,,,,,,,39.0,,,,,,,,,30.142857142857142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4027,,,,,,,,,,,,,,,39.0,,,,,,,,,32.285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5007,,,,,,,,,,,,,,,25.0,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5019,,,,,,,,,,,,,,,2.0,,,,,,,,,27.428571428571427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5035,,,,,,,,,,,,,,,10.0,,,,,,,,,16.714285714285715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
