,Score,TCI+,Jobs+,Trips/Week+,Routes,Transit Shed,Transit,FIPS
489,1.4,0.8,12452,78,1,4,0,5035
2476,0.0,0.0,0,0,0,0,0,5037
2498,0.0,0.0,0,0,0,0,0,5039
2533,0.0,0.0,0,0,0,0,0,5041
2564,0.0,0.0,0,0,0,0,0,5043
2618,0.0,0.0,0,0,0,0,0,5045
2646,0.0,0.0,0,0,0,0,0,5047
2670,0.0,0.0,0,0,0,0,1,5049
598,0.9,0.5,4597,57,1,2,0,5051
2734,0.0,0.0,0,0,0,0,0,5053
2757,0.0,0.0,0,0,0,0,0,5055
792,0.3,0.2,0,5,0,0,0,5057
841,0.3,0.2,12,3,0,0,0,5059
2889,0.0,0.0,0,0,0,0,1,5061
2914,0.0,0.0,0,0,0,0,0,5063
2930,0.0,0.0,0,0,0,0,0,5065
2933,0.0,0.0,0,0,0,0,0,5067
2960,0.0,0.0,0,0,0,0,0,5069
2985,0.0,0.0,0,0,0,0,0,5071
3053,0.0,0.0,0,0,0,0,0,5073
822,0.3,0.2,0,4,0,0,0,5075
3103,0.0,0.0,0,0,0,0,0,5077
3130,0.0,0.0,0,0,0,0,0,5079
1114,0.0,0.0,0,0,0,0,0,5081
1121,0.0,0.0,0,0,0,0,0,5083
1130,0.0,0.0,0,0,0,0,0,5085
1156,0.0,0.0,0,0,0,0,0,5087
1180,0.0,0.0,0,0,0,0,0,5089
478,1.4,0.7,8913,94,2,7,0,5091
1281,0.0,0.0,0,0,0,0,0,5093
1292,0.0,0.0,0,0,0,0,0,5095
1302,0.0,0.0,0,0,0,0,0,5097
1351,0.0,0.0,0,0,0,0,0,5099
1356,0.0,0.0,0,0,0,0,0,5101
1423,0.0,0.0,0,0,0,0,0,5103
1461,0.0,0.0,0,0,0,0,0,5105
1473,0.0,0.0,0,0,0,0,0,5107
1484,0.0,0.0,0,0,0,0,0,5109
1502,0.0,0.0,0,0,0,0,0,5111
1504,0.0,0.0,0,0,0,0,0,5113
1515,0.0,0.0,0,0,0,0,0,5115
1531,0.0,0.0,0,0,0,0,0,5117
317,2.3,1.4,69678,222,2,19,1,5119
1557,0.0,0.0,0,0,0,0,0,5121
1751,0.0,0.0,0,0,0,0,0,5123
1634,0.0,0.0,0,0,0,0,0,5125
1662,0.0,0.0,0,0,0,0,0,5127
1673,0.0,0.0,0,0,0,0,0,5129
487,1.4,0.8,11216,70,1,5,0,5131
1680,0.0,0.0,0,0,0,0,0,5133
1686,0.0,0.0,0,0,0,0,0,5135
1762,0.0,0.0,0,0,0,0,0,5137
1857,0.0,0.0,0,0,0,0,0,5139
1878,0.0,0.0,0,0,0,0,0,5141
